1 ; Abomination ; Summon Abomination 2/6 ; 3BB ; Uncommon ; Mark Tedin ;  Fourth Edition
2 ; Animate Dead ; Enchant Dead Creature ; 1B ; Uncommon ; Anson Maddocks ;  Fourth Edition
3 ; Ashes to Ashes ; Sorcery ; 1BB ; Uncommon ; Drew Tucker ;  Fourth Edition
4 ; Bad Moon ; Enchantment ; 1B ; Rare ; Jesper Myrfors ;  Fourth Edition
5 ; Black Knight ; Summon Knight 2/2 ; BB ; Uncommon ; Jeff A. Menges ;  Fourth Edition
6 ; Blight ; Enchant Land ; BB ; Uncommon ; Pete Venters ;  Fourth Edition
7 ; Bog Imp ; Summon Imp 1/1 ; 1B ; Common ; Ron Spencer ;  Fourth Edition
8 ; Bog Wraith ; Summon Wraith 3/3 ; 3B ; Uncommon ; Jeff A. Menges ;  Fourth Edition
9 ; Carrion Ants ; Summon Ants 0/1 ; 2BB ; Uncommon ; Richard Thomas ;  Fourth Edition
10 ; Cosmic Horror ; Summon Horror 7/7 ; 3BBB ; Rare ; Jesper Myrfors ;  Fourth Edition
11 ; Cursed Land ; Enchant Land ; 2BB ; Uncommon ; Jesper Myrfors ;  Fourth Edition
12 ; Cyclopean Mummy ; Summon Mummy 2/1 ; 1B ; Common ; Edward P. Beard, Jr. ;  Fourth Edition
13 ; Dark Ritual ; Interrupt ; B ; Common ; Sandra Everingham ;  Fourth Edition
14 ; Deathgrip ; Enchantment ; BB ; Uncommon ; Anson Maddocks ;  Fourth Edition
15 ; Deathlace ; Interrupt ; B ; Rare ; Sandra Everingham ;  Fourth Edition
16 ; Drain Life ; Sorcery ; X1B ; Common ; Douglas Shuler ;  Fourth Edition
17 ; Drudge Skeletons ; Summon Skeletons 1/1 ; 1B ; Common ; Sandra Everingham ;  Fourth Edition
18 ; El-Hajj‚j ; Summon El-Hajj‚j 1/1 ; 1BB ; Rare ; Dameon Willich ;  Fourth Edition
19 ; Erg Raiders ; Summon Raiders 2/3 ; 1B ; Common ; Dameon Willich ;  Fourth Edition
20 ; Evil Presence ; Enchant Land ; B ; Uncommon ; Sandra Everingham ;  Fourth Edition
21 ; Fear ; Enchant Creature ; BB ; Common ; Mark Poole ;  Fourth Edition
22 ; Frozen Shade ; Summon Shade 0/1 ; 2B ; Common ; Douglas Shuler ;  Fourth Edition
23 ; Gloom ; Enchantment ; 2B ; Uncommon ; Dan Frazier ;  Fourth Edition
24 ; Greed ; Enchantment ; 3B ; Rare ; Phil Foglio ;  Fourth Edition
25 ; Howl from Beyond ; Instant ; XB ; Common ; Mark Poole ;  Fourth Edition
26 ; Hypnotic Specter ; Summon Specter 2/2 ; 1BB ; Uncommon ; Douglas Shuler ;  Fourth Edition
27 ; Jun˙n Efreet ; Summon Efreet 3/3 ; 1BB ; Uncommon ; Christopher Rush ;  Fourth Edition
28 ; Lord of the Pit ; Summon Demon 7/7 ; 4BBB ; Rare ; Mark Tedin ;  Fourth Edition
29 ; Lost Soul ; Summon Lost Soul 2/1 ; 1BB ; Common ; Randy Asplund-Faith ;  Fourth Edition
30 ; Marsh Gas ; Instant ; B ; Common ; Douglas Shuler ;  Fourth Edition
31 ; Mind Twist ; Sorcery ; XB ; Rare ; Julie Baroh ;  Fourth Edition
32 ; Murk Dwellers ; Summon Murk Dwellers 2/2 ; 3B ; Common ; Drew Tucker ;  Fourth Edition
