1 ; Abuna's Chant ; Instant ; 3W ; Common ; John Matson ;  Fifth Dawn
2 ; Armed Response ; Instant ; 2W ; Common ; Doug Chaffee ;  Fifth Dawn
3 ; Auriok Champion ; Creature - Human Cleric 1/1 ; WW ; Rare ; Michael Sutfin ;  Fifth Dawn
4 ; Auriok Salvagers ; Creature - Human Soldier 2/4 ; 3W ; Uncommon ; Randy Gallegos ;  Fifth Dawn
5 ; Auriok Windwalker ; Creature - Human Wizard 2/3 ; 3W ; Rare ; Jeremy Jarvis ;  Fifth Dawn
6 ; Beacon of Immortality ; Instant ; 5W ; Rare ; Rob Alexander ;  Fifth Dawn
7 ; Bringer of the White Dawn ; Creature - Bringer 5/5 ; 7WW ; Rare ; Kev Walker ;  Fifth Dawn
8 ; Circle of Protection: Artifacts ; Enchantment ; 1W ; Uncommon ; Terese Nielsen ;  Fifth Dawn
9 ; Leonin Squire ; Creature - Cat Soldier 2/2 ; 1W ; Common ; Pete Venters ;  Fifth Dawn
10 ; Loxodon Anchorite ; Creature - Elephant Cleric 2/3 ; 2WW ; Common ; Jim Nelson ;  Fifth Dawn
11 ; Loxodon Stalwart ; Creature - Elephant Soldier 3/3 ; 3WW ; Uncommon ; Paolo Parente ;  Fifth Dawn
12 ; Raksha Golden Cub ; Creature - Cat Soldier Legend 3/4 ; 5WW ; Rare ; Pete Venters ;  Fifth Dawn
13 ; Retaliate ; Instant ; 2WW ; Rare ; Vance Kovacs ;  Fifth Dawn
14 ; Roar of Reclamation ; Sorcery ; 5WW ; Rare ; Justin Sweet ;  Fifth Dawn
15 ; Skyhunter Prowler ; Creature - Cat Knight 1/3 ; 2W ; Common ; Vance Kovacs ;  Fifth Dawn
16 ; Skyhunter Skirmisher ; Creature - Cat Knight 1/1 ; 1WW ; Uncommon ; Greg Staples ;  Fifth Dawn
17 ; Stand Firm ; Instant ; W ; Common ; Matt Cavotta ;  Fifth Dawn
18 ; Stasis Cocoon ; Enchant Artifact ; 1W ; Common ; Kev Walker ;  Fifth Dawn
19 ; Steelshaper's Gift ; Sorcery ; W ; Uncommon ; Tim Hildebrandt ;  Fifth Dawn
20 ; Vanquish ; Instant ; 2W ; Uncommon ; Carl Critchlow ;  Fifth Dawn
21 ; Acquire ; Sorcery ; 3UU ; Rare ; Daren Bader ;  Fifth Dawn
22 ; Advanced Hoverguard ; Creature - Drone 2/2 ; 3U ; Common ; Scott M. Fischer ;  Fifth Dawn
