1 ; Abyssal Specter ; Summon Specter 2/3 ; 2BB ; Uncommon ; George Pratt ;  Fifth Edition
2 ; Animate Dead ; Enchantment ; 1B ; Uncommon ; Anson Maddocks ;  Fifth Edition
3 ; Ashes to Ashes ; Sorcery ; 1BB ; Uncommon ; Doug Keith ;  Fifth Edition
4 ; Bad Moon ; Enchantment ; 1B ; Rare ; Gary Leach ;  Fifth Edition
5 ; Black Knight ; Summon Knight 2/2 ; BB ; Uncommon ; Adrian Smith ;  Fifth Edition
6 ; Blight ; Enchant Land ; BB ; Uncommon ; Ian Miller ;  Fifth Edition
7 ; Bog Imp ; Summon Imp 1/1 ; 1B ; Common ; Ron Spencer ;  Fifth Edition
8 ; Bog Rats ; Summon Rats 1/1 ; B ; Common ; Ron Spencer ;  Fifth Edition
9 ; Bog Wraith ; Summon Wraith 3/3 ; 3B ; Uncommon ; Jeff A. Menges ;  Fifth Edition
10 ; Breeding Pit ; Enchantment ; 3B ; Uncommon ; Adrian Smith ;  Fifth Edition
11 ; Broken Visage ; Instant ; 4B ; Rare ; Margaret Organ-Kean ;  Fifth Edition
12 ; Carrion Ants ; Summon Ants 0/1 ; 2BB ; Uncommon ; John Coulthart ;  Fifth Edition
13 ; Cloak of Confusion ; Enchant Creature ; 1B ; Common ; Margaret Organ-Kean ;  Fifth Edition
14 ; Cursed Land ; Enchant Land ; 2BB ; Uncommon ; Jesper Myrfors ;  Fifth Edition
15 ; Dark Ritual ; Mana Source ; B ; Common ; Clint Langley ;  Fifth Edition
16 ; Deathgrip ; Enchantment ; BB ; Uncommon ; Anson Maddocks ;  Fifth Edition
17 ; Derelor ; Summon Thrull 4/4 ; 3B ; Rare ; Anson Maddocks ;  Fifth Edition
18 ; Drain Life ; Sorcery ; X1B ; Common ; Andrew Robinson ;  Fifth Edition
19 ; Drudge Skeletons ; Summon Skeletons 1/1 ; 1B ; Common ; Ian Miller ;  Fifth Edition
20 ; Erg Raiders ; Summon Raiders 2/3 ; 1B ; Common ; Stuart Griffin ;  Fifth Edition
21 ; Evil Eye of Orms-by-Gore ; Summon Evil Eye 3/6 ; 4B ; Uncommon ; George Pratt ;  Fifth Edition
22 ; Evil Presence ; Enchant Land ; B ; Uncommon ; Bob Eggleton ;  Fifth Edition
23 ; Fallen Angel ; Summon Angel 3/3 ; 3BB ; Uncommon ; Anson Maddocks ;  Fifth Edition
24 ; Fear ; Enchant Creature ; BB ; Common ; Doug Keith ;  Fifth Edition
25 ; Frozen Shade ; Summon Shade 0/1 ; 2B ; Common ; DiTerlizzi ;  Fifth Edition
26 ; Funeral March ; Enchant Creature ; 1BB ; Common ; John Coulthart ;  Fifth Edition
27 ; Gloom ; Enchantment ; 2B ; Uncommon ; Douglas Shuler ;  Fifth Edition
28 ; Greater Werewolf ; Summon Lycanthrope 2/4 ; 4B ; Uncommon ; Dennis Detwiller ;  Fifth Edition
29 ; Hecatomb ; Enchantment ; 1BB ; Rare ; George Pratt ;  Fifth Edition
30 ; Howl from Beyond ; Instant ; XB ; Common ; John Coulthart ;  Fifth Edition
31 ; Initiates of the Ebon Hand ; Summon Clerics 1/1 ; B ; Common ; Heather Hudson ;  Fifth Edition
32 ; Kjeldoran Dead ; Summon Dead 3/1 ; B ; Common ; Melissa A. Benson ;  Fifth Edition
33 ; Knight of Stromgald ; Summon Knight 2/1 ; BB ; Uncommon ; Mark Poole ;  Fifth Edition
34 ; Krovikan Fetish ; Enchant Creature ; 2B ; Common ; Heather Hudson ;  Fifth Edition
35 ; Leshrac's Rite ; Enchant Creature ; B ; Uncommon ; Mike Raabe ;  Fifth Edition
36 ; Lord of the Pit ; Summon Demon 7/7 ; 4BBB ; Rare ; Mark Tedin ;  Fifth Edition
37 ; Lost Soul ; Summon Lost Soul 2/1 ; 1BB ; Common ; Randy Asplund ;  Fifth Edition
38 ; Mind Ravel ; Sorcery ; 2B ; Common ; Mark Tedin ;  Fifth Edition
39 ; Mind Warp ; Sorcery ; X3B ; Uncommon ; Liz Danforth ;  Fifth Edition
40 ; Mindstab Thrull ; Summon Thrull 2/2 ; 1BB ; Common ; Mark Tedin ;  Fifth Edition
41 ; Mole Worms ; Summon Worms 1/1 ; 2B ; Uncommon ; Adrian Smith ;  Fifth Edition
42 ; Murk Dwellers ; Summon Murk Dwellers 2/2 ; 3B ; Common ; Drew Tucker ;  Fifth Edition
43 ; Necrite ; Summon Thrull 2/2 ; 1BB ; Common ; Ron Spencer ;  Fifth Edition
44 ; Necropotence ; Enchantment ; BBB ; Rare ; Mark Tedin ;  Fifth Edition
45 ; Nether Shadow ; Summon Shadow 1/1 ; BB ; Rare ; DiTerlizzi ;  Fifth Edition
46 ; Nightmare ; Summon Nightmare */* ; 5B ; Rare ; Melissa A. Benson ;  Fifth Edition
47 ; Paralyze ; Enchant Creature ; B ; Common ; Ron Spencer ;  Fifth Edition
48 ; Pestilence ; Enchantment ; 2BB ; Common ; Kev Walker ;  Fifth Edition
49 ; Pit Scorpion ; Summon Scorpion 1/1 ; 2B ; Common ; Ian Miller ;  Fifth Edition
50 ; Plague Rats ; Summon Rats */* ; 2B ; Common ; Anson Maddocks ;  Fifth Edition
51 ; Pox ; Sorcery ; BBB ; Rare ; Scott M. Fischer ;  Fifth Edition
52 ; Rag Man ; Summon Rag Man 2/1 ; 2BB ; Rare ; Daniel Gelon ;  Fifth Edition
53 ; Raise Dead ; Sorcery ; B ; Common ; David Seeley ;  Fifth Edition
54 ; Scathe Zombies ; Summon Zombies 2/2 ; 2B ; Common ; Tom Kyffin ;  Fifth Edition
55 ; Sengir Autocrat ; Summon Autocrat 2/2 ; 3B ; Rare ; David A. Cherry ;  Fifth Edition
56 ; Sorceress Queen ; Summon Sorceress 1/1 ; 1BB ; Rare ; Kaja Foglio ;  Fifth Edition
57 ; Stromgald Cabal ; Summon Knights 2/2 ; 1BB ; Rare ; Anson Maddocks ;  Fifth Edition
58 ; Terror ; Instant ; 1B ; Common ; Ron Spencer ;  Fifth Edition
59 ; The Wretched ; Summon Wretched 2/5 ; 3BB ; Rare ; Christopher Rush ;  Fifth Edition
60 ; Thrull Retainer ; Enchant Creature ; B ; Uncommon ; Ron Spencer ;  Fifth Edition
61 ; Torture ; Enchant Creature ; B ; Common ; Mark Tedin ;  Fifth Edition
62 ; Touch of Death ; Sorcery ; 2B ; Common ; Melissa A. Benson ;  Fifth Edition
63 ; Unholy Strength ; Enchant Creature ; B ; Common ; Tom Kyffin ;  Fifth Edition
64 ; Vampire Bats ; Summon Bats 0/1 ; B ; Common ; Anson Maddocks ;  Fifth Edition
65 ; Wall of Bone ; Summon Wall 1/4 ; 2B ; Uncommon ; Anson Maddocks ;  Fifth Edition
66 ; Warp Artifact ; Enchant Artifact ; BB ; Rare ; Amy Weber ;  Fifth Edition
67 ; Weakness ; Enchant Creature ; B ; Common ; Kev Walker ;  Fifth Edition
68 ; Xenic Poltergeist ; Summon Poltergeist 1/1 ; 1BB ; Rare ; Mike Kerr ;  Fifth Edition
69 ; Zombie Master ; Summon Lord 2/3 ; 1BB ; Rare ; Stuart Griffin ;  Fifth Edition
70 ; Ather Storm ; Enchantment ; 3U ; Uncommon ; Mark Tedin ;  Fifth Edition
71 ; Air Elemental ; Summon Elemental 4/4 ; 3UU ; Uncommon ; D. Alexander Gregory ;  Fifth Edition
72 ; Anti-Magic Aura ; Enchant Creature ; 2U ; Uncommon ; Zak Plucinski ;  Fifth Edition
73 ; Azure Drake ; Summon Drake 2/4 ; 3U ; Uncommon ; Janine Johnston ;  Fifth Edition
74 ; Binding Grasp ; Enchant Creature ; 3U ; Uncommon ; Jeff Miracola ;  Fifth Edition
75 ; Boomerang ; Instant ; UU ; Common ; Alan Rabinowitz ;  Fifth Edition
76 ; Brainstorm ; Instant ; U ; Common ; Christopher Rush ;  Fifth Edition
77 ; Counterspell ; Interrupt ; UU ; Common ; Hannibal King ;  Fifth Edition
78 ; Dance of Many ; Enchantment ; UU ; Rare ; Sandra Everingham ;  Fifth Edition
79 ; Dand‚n ; Summon Dand‚n 4/1 ; UU ; Common ; Drew Tucker ;  Fifth Edition
80 ; Dark Maze ; Summon Wall 4/5 ; 4U ; Common ; David Seeley ;  Fifth Edition
81 ; Deflection ; Interrupt ; 3U ; Rare ; Mike Raabe ;  Fifth Edition
82 ; Drain Power ; Sorcery ; UU ; Rare ; Jerry Tiritilli ;  Fifth Edition
83 ; Energy Flux ; Enchantment ; 2U ; Uncommon ; Kaja Foglio ;  Fifth Edition
84 ; Enervate ; Instant ; 1U ; Common ; L. A. Williams ;  Fifth Edition
85 ; Feedback ; Enchant Enchantment ; 2U ; Uncommon ; Quinton Hoover ;  Fifth Edition
86 ; Flight ; Enchant Creature ; U ; Common ; Jerry Tiritilli ;  Fifth Edition
87 ; Flood ; Enchantment ; U ; Common ; Dennis Detwiller ;  Fifth Edition
88 ; Force Spike ; Interrupt ; U ; Common ; John Matson ;  Fifth Edition
89 ; Forget ; Sorcery ; UU ; Rare ; Mike Kimble ;  Fifth Edition
90 ; Gaseous Form ; Enchant Creature ; 2U ; Common ; Doug Keith ;  Fifth Edition
91 ; Glacial Wall ; Summon Wall 0/7 ; 2U ; Uncommon ; Greg Simanson ;  Fifth Edition
92 ; Homarid Warrior ; Summon Homarid 3/3 ; 4U ; Common ; Pete Venters ;  Fifth Edition
93 ; Hurkyl's Recall ; Instant ; 1U ; Rare ; NÈNÈ Thomas ;  Fifth Edition
94 ; Hydroblast ; Interrupt ; U ; Uncommon ; Kaja Foglio ;  Fifth Edition
95 ; Juxtapose ; Sorcery ; 3U ; Rare ; Justin Hampton ;  Fifth Edition
96 ; Krovikan Sorcerer ; Summon Wizard 1/1 ; 2U ; Common ; Pat Morrissey ;  Fifth Edition
97 ; Labyrinth Minotaur ; Summon Minotaur 1/4 ; 3U ; Common ; Anson Maddocks ;  Fifth Edition
98 ; Leviathan ; Summon Leviathan 10/10 ; 5UUUU ; Rare ; Mark Tedin ;  Fifth Edition
99 ; Lifetap ; Enchantment ; UU ; Uncommon ; Mike Dringenberg ;  Fifth Edition
100 ; Lord of Atlantis ; Summon Lord 2/2 ; UU ; Rare ; Melissa A. Benson ;  Fifth Edition
101 ; Magical Hack ; Interrupt ; U ; Rare ; Julie Baroh ;  Fifth Edition
102 ; Magus of the Unseen ; Summon Wizard 1/1 ; 1U ; Rare ; Kaja Foglio ;  Fifth Edition
103 ; Memory Lapse ; Interrupt ; 1U ; Common ; Mark Tedin ;  Fifth Edition
104 ; Merfolk of the Pearl Trident ; Summon Merfolk 1/1 ; U ; Common ; John Matson ;  Fifth Edition
105 ; Mind Bomb ; Sorcery ; U ; Uncommon ; Mark Tedin ;  Fifth Edition
106 ; Phantasmal Forces ; Summon Phantasm 4/1 ; 3U ; Uncommon ; Mark Poole ;  Fifth Edition
107 ; Phantasmal Terrain ; Enchant Land ; UU ; Common ; David A. Cherry ;  Fifth Edition
108 ; Phantom Monster ; Summon Phantasm 3/3 ; 3U ; Uncommon ; Rebecca Guay ;  Fifth Edition
109 ; Pirate Ship ; Summon Ship 4/3 ; 4U ; Rare ; Tom W‰nerstrand ;  Fifth Edition
110 ; Portent ; Sorcery ; U ; Common ; Liz Danforth ;  Fifth Edition
111 ; Power Sink ; Interrupt ; XU ; Common ; Richard Thomas ;  Fifth Edition
112 ; Prodigal Sorcerer ; Summon Wizard 1/1 ; 2U ; Common ; Douglas Shuler ;  Fifth Edition
113 ; Psychic Venom ; Enchant Land ; 1U ; Common ; Brian Snoddy ;  Fifth Edition
114 ; Ray of Command ; Instant ; 3U ; Common ; Harold McNeill ;  Fifth Edition
115 ; Recall ; Sorcery ; XXU ; Rare ; Richard Kane Ferguson ;  Fifth Edition
116 ; Reef Pirates ; Summon Ships 2/2 ; 1UU ; Common ; Tom W‰nerstrand ;  Fifth Edition
117 ; Remove Soul ; Interrupt ; 1U ; Common ; Mike Dringenberg ;  Fifth Edition
118 ; Sea Serpent ; Summon Serpent 5/5 ; 5U ; Common ; Ian Miller ;  Fifth Edition
119 ; Sea Spirit ; Summon Spirit 2/3 ; 4U ; Uncommon ; DiTerlizzi ;  Fifth Edition
120 ; Sea Sprite ; Summon Faerie 1/1 ; 1U ; Uncommon ; Rebecca Guay ;  Fifth Edition
121 ; Seasinger ; Summon Merfolk 0/1 ; 1UU ; Uncommon ; John Matson ;  Fifth Edition
122 ; Segovian Leviathan ; Summon Leviathan 3/3 ; 4U ; Uncommon ; Melissa A. Benson ;  Fifth Edition
123 ; Sibilant Spirit ; Summon Spirit 5/6 ; 5U ; Rare ; Ron Spencer ;  Fifth Edition
124 ; Sleight of Mind ; Interrupt ; U ; Rare ; Mark Poole ;  Fifth Edition
125 ; Soul Barrier ; Enchantment ; 2U ; Common ; Harold McNeill ;  Fifth Edition
126 ; Spell Blast ; Interrupt ; XU ; Common ; Greg Simanson ;  Fifth Edition
127 ; Stasis ; Enchantment ; 1U ; Rare ; Fay Jones ;  Fifth Edition
