1 ; Animate Wall ; Enchant Creature ; W ; Rare ; Richard Kane Ferguson ;  Classic Sixth Edition
2 ; Archangel ; Creature - Angel 5/5 ; 5WW ; Rare ; Quinton Hoover ;  Classic Sixth Edition
3 ; Ardent Militia ; Creature - Soldier 2/5 ; 4W ; Uncommon ; Zina Saunders ;  Classic Sixth Edition
4 ; Armageddon ; Sorcery ; 3W ; Rare ; Rob Alexander ;  Classic Sixth Edition
5 ; Armored Pegasus ; Creature - Pegasus 1/2 ; 1W ; Common ; Andrew Robinson ;  Classic Sixth Edition
6 ; Castle ; Enchantment ; 3W ; Uncommon ; Dameon Willich ;  Classic Sixth Edition
7 ; Celestial Dawn ; Enchantment ; 1WW ; Rare ; Liz Danforth ;  Classic Sixth Edition
8 ; Circle of Protection: Black ; Enchantment ; 1W ; Common ; Gerry Grace ;  Classic Sixth Edition
9 ; Circle of Protection: Blue ; Enchantment ; 1W ; Common ; Gerry Grace ;  Classic Sixth Edition
10 ; Circle of Protection: Green ; Enchantment ; 1W ; Common ; Gerry Grace ;  Classic Sixth Edition
11 ; Circle of Protection: Red ; Enchantment ; 1W ; Common ; Gerry Grace ;  Classic Sixth Edition
12 ; Circle of Protection: White ; Enchantment ; 1W ; Common ; Gerry Grace ;  Classic Sixth Edition
13 ; Crusade ; Enchantment ; WW ; Rare ; D. Alexander Gregory ;  Classic Sixth Edition
14 ; Daraja Griffin ; Creature - Griffin 2/2 ; 3W ; Uncommon ; Stuart Griffin ;  Classic Sixth Edition
15 ; D'Avenant Archer ; Creature - Soldier 1/2 ; 2W ; Common ; Douglas Shuler ;  Classic Sixth Edition
16 ; Disenchant ; Instant ; 1W ; Common ; Brian Snoddy ;  Classic Sixth Edition
17 ; Divine Transformation ; Enchant Creature ; 2WW ; Uncommon ; NÈNÈ Thomas ;  Classic Sixth Edition
18 ; Ekundu Griffin ; Creature - Griffin 2/2 ; 3W ; Common ; David A. Cherry ;  Classic Sixth Edition
19 ; Enlightened Tutor ; Instant ; W ; Uncommon ; Dan Frazier ;  Classic Sixth Edition
20 ; Ethereal Champion ; Creature - Avatar 3/4 ; 2WWW ; Rare ; Terese Nielsen ;  Classic Sixth Edition
21 ; Exile ; Instant ; 2W ; Rare ; Rob Alexander ;  Classic Sixth Edition
22 ; Healing Salve ; Instant ; W ; Common ; Dan Frazier ;  Classic Sixth Edition
23 ; Heavy Ballista ; Creature - Soldier 2/3 ; 3W ; Uncommon ; Ron Spencer ;  Classic Sixth Edition
24 ; Hero's Resolve ; Enchant Creature ; 1W ; Common ; Pete Venters ;  Classic Sixth Edition
25 ; Icatian Town ; Sorcery ; 5W ; Rare ; Tom W‰nerstrand ;  Classic Sixth Edition
26 ; Infantry Veteran ; Creature - Soldier 1/1 ; W ; Common ; Christopher Rush ;  Classic Sixth Edition
27 ; Kismet ; Enchantment ; 3W ; Uncommon ; Kaja Foglio ;  Classic Sixth Edition
