1 ; Angelic Page ; Creature - Spirit 1/1 ; 1W ; Common ; Marc Fishman ;  Seventh Edition
2 ; Ardent Militia ; Creature - Soldier 2/5 ; 4W ; Uncommon ; Paolo Parente ;  Seventh Edition
3 ; Blessed Reversal ; Instant ; 1W ; Rare ; Christopher Moeller ;  Seventh Edition
4 ; Breath of Life ; Sorcery ; 3W ; Uncommon ; Roger Raupp ;  Seventh Edition
5 ; Castle ; Enchantment ; 3W ; Uncommon ; Edward P. Beard, Jr. ;  Seventh Edition
6 ; Circle of Protection: Black ; Enchantment ; 1W ; Common ; Mark Romanoski ;  Seventh Edition
7 ; Circle of Protection: Blue ; Enchantment ; 1W ; Common ; Greg & Tim Hildebrandt ;  Seventh Edition
8 ; Circle of Protection: Green ; Enchantment ; 1W ; Common ; Alan Pollack ;  Seventh Edition
9 ; Circle of Protection: Red ; Enchantment ; 1W ; Common ; Gary Ruddell ;  Seventh Edition
10 ; Circle of Protection: White ; Enchantment ; 1W ; Common ; Darrell Riche ;  Seventh Edition
11 ; Cloudchaser Eagle ; Creature - Bird 2/2 ; 3W ; Common ; Aaron Boyd ;  Seventh Edition
12 ; Crossbow Infantry ; Creature - Soldier 1/1 ; 1W ; Common ; James Bernardin ;  Seventh Edition
13 ; Disenchant ; Instant ; 1W ; Common ; Andrew Goldhawk ;  Seventh Edition
14 ; Eager Cadet ; Creature - Soldier 1/1 ; W ; Common ; Greg & Tim Hildebrandt ;  Seventh Edition
15 ; Elite Archers ; Creature - Soldier 3/3 ; 5W ; Rare ; Dan Frazier ;  Seventh Edition
16 ; Gerrard's Wisdom ; Sorcery ; 2WW ; Uncommon ; Donato Giancola ;  Seventh Edition
17 ; Glorious Anthem ; Enchantment ; 1WW ; Rare ; Terese Nielsen ;  Seventh Edition
18 ; Healing Salve ; Instant ; W ; Common ; Greg & Tim Hildebrandt ;  Seventh Edition
19 ; Heavy Ballista ; Creature - Soldier 2/3 ; 3W ; Uncommon ; Brian Snoddy ;  Seventh Edition
20 ; Holy Strength ; Enchant Creature ; W ; Common ; Scott M. Fischer ;  Seventh Edition
21 ; Honor Guard ; Creature - Soldier 1/1 ; W ; Common ; Mark Zug ;  Seventh Edition
22 ; Intrepid Hero ; Creature - Soldier 1/1 ; 2W ; Rare ; Mike Ploog ;  Seventh Edition
23 ; Kjeldoran Royal Guard ; Creature - Soldier 2/5 ; 3WW ; Rare ; Carl Critchlow ;  Seventh Edition
24 ; Knight Errant ; Creature - Knight 2/2 ; 1W ; Common ; Matthew D. Wilson ;  Seventh Edition
25 ; Knighthood ; Enchantment ; 2W ; Uncommon ; Greg & Tim Hildebrandt ;  Seventh Edition
26 ; Longbow Archer ; Creature - Soldier 2/2 ; WW ; Uncommon ; Ray Lago ;  Seventh Edition
27 ; Master Healer ; Creature - Cleric 1/4 ; 4W ; Rare ; Greg & Tim Hildebrandt ;  Seventh Edition
28 ; Northern Paladin ; Creature - Knight 3/3 ; 2WW ; Rare ; Carl Critchlow ;  Seventh Edition
29 ; Pacifism ; Enchant Creature ; 1W ; Common ; Eric Peterson ;  Seventh Edition
30 ; Pariah ; Enchant Creature ; 2W ; Rare ; Scott M. Fischer ;  Seventh Edition
31 ; Purify ; Sorcery ; 3WW ; Rare ; Doug Chaffee ;  Seventh Edition
32 ; Razorfoot Griffin ; Creature - Griffin 2/2 ; 3W ; Common ; Pete Venters ;  Seventh Edition
33 ; Reprisal ; Instant ; 1W ; Uncommon ; Ciruelo ;  Seventh Edition
34 ; Reverse Damage ; Instant ; 1WW ; Rare ; Eric Peterson ;  Seventh Edition
35 ; Rolling Stones ; Enchantment ; 1W ; Rare ; Don Hazeltine ;  Seventh Edition
36 ; Sacred Ground ; Enchantment ; 1W ; Rare ; Gary Ruddell ;  Seventh Edition
37 ; Sacred Nectar ; Sorcery ; 1W ; Common ; Dana Knutson ;  Seventh Edition
38 ; Samite Healer ; Creature - Cleric 1/1 ; 1W ; Common ; Anson Maddocks ;  Seventh Edition
39 ; Sanctimony ; Enchantment ; 1W ; Uncommon ; Patrick Faricy ;  Seventh Edition
40 ; Seasoned Marshal ; Creature - Soldier 2/2 ; 2WW ; Uncommon ; Edward P. Beard, Jr. ;  Seventh Edition
41 ; Serra Advocate ; Creature - Angel 2/2 ; 3W ; Uncommon ; Matthew D. Wilson ;  Seventh Edition
