1 ; Angel of Mercy ; Creature - Angel 3/3 ; 4W ; Uncommon ; Melissa A. Benson ;  Eighth Edition
2 ; Angelic Page ; Creature - Spirit 1/1 ; 1W ; Common ; Marc Fishman ;  Eighth Edition
3 ; Ardent Militia ; Creature - Soldier 2/5 ; 4W ; Uncommon ; Paolo Parente ;  Eighth Edition
4 ; Avatar of Hope ; Creature - Avatar 4/9 ; 6WW ; Rare ; Mark Zug ;  Eighth Edition
5 ; Aven Cloudchaser ; Creature - Bird Soldier 2/2 ; 3W ; Common ; Justin Sweet ;  Eighth Edition
6 ; Aven Flock ; Creature - Bird Soldier 2/3 ; 4W ; Common ; Greg & Tim Hildebrandt ;  Eighth Edition
7 ; Blessed Reversal ; Instant ; 1W ; Rare ; Christopher Moeller ;  Eighth Edition
8 ; Blinding Angel ; Creature - Angel 2/4 ; 3WW ; Rare ; Todd Lockwood ;  Eighth Edition
9 ; Chastise ; Instant ; 3W ; Uncommon ; Carl Critchlow ;  Eighth Edition
10 ; Circle of Protection: Black ; Enchantment ; 1W ; Uncommon ; Mark Romanoski ;  Eighth Edition
11 ; Circle of Protection: Blue ; Enchantment ; 1W ; Uncommon ; Greg & Tim Hildebrandt ;  Eighth Edition
12 ; Circle of Protection: Green ; Enchantment ; 1W ; Uncommon ; Alan Pollack ;  Eighth Edition
13 ; Circle of Protection: Red ; Enchantment ; 1W ; Uncommon ; Gary Ruddell ;  Eighth Edition
14 ; Circle of Protection: White ; Enchantment ; 1W ; Uncommon ; Darrell Riche ;  Eighth Edition
15 ; Crossbow Infantry ; Creature - Soldier 1/1 ; 1W ; Common ; James Bernardin ;  Eighth Edition
16 ; Demystify ; Instant ; W ; Common ; Christopher Rush ;  Eighth Edition
17 ; Diving Griffin ; Creature - Griffin 2/2 ; 1WW ; Common ; John Howe ;  Eighth Edition
18 ; Elite Archers ; Creature - Soldier 3/3 ; 5W ; Rare ; Greg Staples ;  Eighth Edition
19 ; Elite Javelineer ; Creature - Soldier 2/2 ; 2W ; Uncommon ; Mark Poole ;  Eighth Edition
20 ; Glorious Anthem ; Enchantment ; 1WW ; Rare ; Kev Walker ;  Eighth Edition
21 ; Glory Seeker ; Creature - Soldier 2/2 ; 1W ; Common ; Dave Dorman ;  Eighth Edition
22 ; Healing Salve ; Instant ; W ; Common ; Greg & Tim Hildebrandt ;  Eighth Edition
23 ; Holy Day ; Instant ; W ; Common ; Pete Venters ;  Eighth Edition
24 ; Holy Strength ; Enchant Creature ; W ; Common ; Scott M. Fischer ;  Eighth Edition
25 ; Honor Guard ; Creature - Soldier 1/1 ; W ; Common ; Mark Zug ;  Eighth Edition
26 ; Intrepid Hero ; Creature - Soldier 1/1 ; 2W ; Rare ; Greg Hildebrandt ;  Eighth Edition
27 ; Ivory Mask ; Enchantment ; 2WW ; Rare ; Glen Angus ;  Eighth Edition
28 ; Karma ; Enchantment ; 2WW ; Uncommon ; Bob Eggleton ;  Eighth Edition
29 ; Master Decoy ; Creature - Soldier 1/2 ; 1W ; Common ; Ben Thompson ;  Eighth Edition
30 ; Master Healer ; Creature - Cleric 1/4 ; 4W ; Rare ; Greg & Tim Hildebrandt ;  Eighth Edition
31 ; Noble Purpose ; Enchantment ; 3WW ; Rare ; Kev Walker ;  Eighth Edition
32 ; Oracle's Attendants ; Creature - Soldier 1/5 ; 3W ; Rare ; Dany Orizio ;  Eighth Edition
33 ; Pacifism ; Enchant Creature ; 1W ; Common ; Robert Bliss ;  Eighth Edition
34 ; Peach Garden Oath ; Sorcery ; W ; Uncommon ; Qiao Dafu ;  Eighth Edition
35 ; Rain of Blades ; Instant ; W ; Uncommon ; Rob Alexander ;  Eighth Edition
36 ; Razorfoot Griffin ; Creature - Griffin 2/2 ; 3W ; Common ; Ben Thompson ;  Eighth Edition
37 ; Redeem ; Instant ; 1W ; Common ; D. Alexander Gregory ;  Eighth Edition
38 ; Rolling Stones ; Enchantment ; 1W ; Rare ; Don Hazeltine ;  Eighth Edition
39 ; Sacred Ground ; Enchantment ; 1W ; Rare ; Gary Ruddell ;  Eighth Edition
40 ; Sacred Nectar ; Sorcery ; 1W ; Common ; Janine Johnston ;  Eighth Edition
41 ; Samite Healer ; Creature - Cleric 1/1 ; 1W ; Common ; Anson Maddocks ;  Eighth Edition
42 ; Sanctimony ; Enchantment ; 1W ; Uncommon ; Patrick Faricy ;  Eighth Edition
43 ; Savannah Lions ; Creature - Lion 2/1 ; W ; Rare ; Carl Critchlow ;  Eighth Edition
44 ; Seasoned Marshal ; Creature - Soldier 2/2 ; 2WW ; Uncommon ; Matthew D. Wilson ;  Eighth Edition
45 ; Serra Angel ; Creature - Angel 4/4 ; 3WW ; Rare ; Mark Zug ;  Eighth Edition
46 ; Solidarity ; Instant ; 3W ; Common ; John Zeleznik ;  Eighth Edition
47 ; Spirit Link ; Enchant Creature ; W ; Uncommon ; Kev Walker ;  Eighth Edition
48 ; Standing Troops ; Creature - Soldier 1/4 ; 2W ; Common ; Daren Bader ;  Eighth Edition
49 ; Staunch Defenders ; Creature - Soldier 3/4 ; 3WW ; Uncommon ; Tristan Elwell ;  Eighth Edition
50 ; Story Circle ; Enchantment ; 1WW ; Rare ; Alan Pollack ;  Eighth Edition
51 ; Suntail Hawk ; Creature - Bird 1/1 ; W ; Common ; Heather Hudson ;  Eighth Edition
52 ; Sunweb ; Creature - Wall 5/6 ; 3W ; Rare ; Greg Staples ;  Eighth Edition
53 ; Sword Dancer ; Creature - Rebel 1/2 ; 1W ; Uncommon ; Roger Raupp ;  Eighth Edition
