1 ; Balduvian Dead ; Summon Zombies 2/3 ; 3B ; Uncommon ; Mike Kimble ;  Alliances
2 ; Casting of Bones ; Enchant Creature ; 2B ; Common ; Anson Maddocks ;  Alliances
3 ; Casting of Bones ; Enchant Creature ; 2B ; Common ; Anson Maddocks ;  Alliances
4 ; Contagion ; Instant ; 3BB ; Uncommon ; Mike Raabe ;  Alliances
5 ; Diseased Vermin ; Summon Rats 1/1 ; 2B ; Uncommon ; Scott Kirschner ;  Alliances
6 ; Dystopia ; Enchantment ; 1BB ; Rare ; Ruth Thompson ;  Alliances
7 ; Fatal Lore ; Sorcery ; 2BB ; Rare ; Lawrence Snelly ;  Alliances
8 ; Feast or Famine ; Instant ; 3B ; Common ; Pete Venters ;  Alliances
9 ; Feast or Famine ; Instant ; 3B ; Common ; Pete Venters ;  Alliances
10 ; Fevered Strength ; Instant ; 2B ; Common ; Brian Snoddy ;  Alliances
11 ; Fevered Strength ; Instant ; 2B ; Common ; Brian Snoddy ;  Alliances
12 ; Insidious Bookworms ; Summon Worms 1/1 ; B ; Common ; Greg Simanson ;  Alliances
13 ; Insidious Bookworms ; Summon Worms 1/1 ; B ; Common ; Greg Simanson ;  Alliances
14 ; Keeper of Tresserhorn ; Summon Keeper 6/6 ; 5B ; Rare ; Z. Plucinski & D.A. Gregory ;  Alliances
15 ; Krovikan Horror ; Summon Horror 2/2 ; 3B ; Rare ; Christopher Rush ;  Alliances
16 ; Krovikan Plague ; Enchant Creature ; 2B ; Uncommon ; Liz Danforth ;  Alliances
17 ; Lim-Dul's High Guard ; Summon Skeleton 2/1 ; 1BB ; Common ; Anson Maddocks ;  Alliances
18 ; Lim-Dul's High Guard ; Summon Skeleton 2/1 ; 1BB ; Common ; Anson Maddocks ;  Alliances
19 ; Misinformation ; Instant ; B ; Uncommon ; Richard Kane Ferguson ;  Alliances
20 ; Phantasmal Fiend ; Summon Phantasm 1/5 ; 3B ; Common ; Scott Kirschner ;  Alliances
21 ; Phantasmal Fiend ; Summon Phantasm 1/5 ; 3B ; Common ; Scott Kirschner ;  Alliances
22 ; Phyrexian Boon ; Enchant Creature ; 2B ; Common ; Mark Tedin ;  Alliances
23 ; Phyrexian Boon ; Enchant Creature ; 2B ; Common ; Mark Tedin ;  Alliances
24 ; Ritual of the Machine ; Sorcery ; 2BB ; Rare ; Anson Maddocks ;  Alliances
25 ; Soldevi Adnate ; Summon Cleric 1/2 ; 1B ; Common ; Christopher Rush ;  Alliances
26 ; Soldevi Adnate ; Summon Cleric 1/2 ; 1B ; Common ; Christopher Rush ;  Alliances
27 ; Stench of Decay ; Instant ; 1BB ; Common ; Heather Hudson ;  Alliances
28 ; Stench of Decay ; Instant ; 1BB ; Common ; Heather Hudson ;  Alliances
29 ; Stromgald Spy ; Summon Spy 2/4 ; 3B ; Uncommon ; Zak Plucinski ;  Alliances
30 ; Swamp Mosquito ; Summon Mosquito 0/1 ; 1B ; Common ; Nicola Leonard ;  Alliances
31 ; Swamp Mosquito ; Summon Mosquito 0/1 ; 1B ; Common ; Nicola Leonard ;  Alliances
32 ; Arcane Denial ; Interrupt ; 1U ; Common ; Richard Kane Ferguson ;  Alliances
33 ; Arcane Denial ; Interrupt ; 1U ; Common ; Richard Kane Ferguson ;  Alliances
