1 ; Animate Dead ; Enchant Dead Creature ; 1B ; Uncommon ; Anson Maddocks ;  Limited Edition Alpha
2 ; Bad Moon ; Enchantment ; 1B ; Rare ; Jesper Myrfors ;  Limited Edition Alpha
3 ; Black Knight ; Summon Knight 2/2 ; BB ; Uncommon ; Jeff A. Menges ;  Limited Edition Alpha
4 ; Bog Wraith ; Summon Wraith 3/3 ; 3B ; Uncommon ; Jeff A. Menges ;  Limited Edition Alpha
5 ; Contract from Below ; Sorcery ; B ; Rare ; Douglas Schuler ;  Limited Edition Alpha
6 ; Cursed Land ; Enchant Land ; 2BB ; Uncommon ; Jesper Myrfors ;  Limited Edition Alpha
7 ; Dark Ritual ; Interrupt ; B ; Common ; Sandra Everingham ;  Limited Edition Alpha
8 ; Darkpact ; Sorcery ; BBB ; Rare ; Quinton Hoover ;  Limited Edition Alpha
9 ; Deathgrip ; Enchantment ; BB ; Uncommon ; Anson Maddocks ;  Limited Edition Alpha
10 ; Deathlace ; Interrupt ; B ; Rare ; Sandra Everingham ;  Limited Edition Alpha
11 ; Demonic Attorney ; Sorcery ; 1BB ; Rare ; Daniel Gelon ;  Limited Edition Alpha
12 ; Demonic Hordes ; Summon Demons 5/5 ; 3BBB ; Rare ; Jesper Myrfors ;  Limited Edition Alpha
13 ; Demonic Tutor ; Sorcery ; 1B ; Uncommon ; Douglas Schuler ;  Limited Edition Alpha
14 ; Drain Life ; Sorcery ; X1B ; Common ; Douglas Schuler ;  Limited Edition Alpha
15 ; Drudge Skeletons ; Summon Skeletons 1/1 ; 1B ; Common ; Sandra Everingham ;  Limited Edition Alpha
16 ; Evil Presence ; Enchant Land ; B ; Uncommon ; Sandra Everingham ;  Limited Edition Alpha
17 ; Fear ; Enchant Creature ; BB ; Common ; Mark Poole ;  Limited Edition Alpha
18 ; Frozen Shade ; Summon Shade 0/1 ; 2B ; Common ; Douglas Schuler ;  Limited Edition Alpha
19 ; Gloom ; Enchantment ; 2B ; Uncommon ; Dan Frazier ;  Limited Edition Alpha
20 ; Howl from Beyond ; Instant ; XB ; Common ; Mark Poole ;  Limited Edition Alpha
21 ; Hypnotic Specter ; Summon Specter 2/2 ; 1BB ; Uncommon ; Douglas Schuler ;  Limited Edition Alpha
22 ; Lich ; Enchantment ; BBBB ; Rare ; Daniel Gelon ;  Limited Edition Alpha
23 ; Lord of the Pit ; Summon Demon 7/7 ; 4BBB ; Rare ; Mark Tedin ;  Limited Edition Alpha
24 ; Mind Twist ; Sorcery ; XB ; Rare ; Julie Baroh ;  Limited Edition Alpha
25 ; Nether Shadow ; Summon Shadow 1/1 ; BB ; Rare ; Christopher Rush ;  Limited Edition Alpha
26 ; Nettling Imp ; Summon Imp 1/1 ; 2B ; Uncommon ; Quinton Hoover ;  Limited Edition Alpha
27 ; Nightmare ; Summon Nightmare */* ; 5B ; Rare ; Melissa Benson ;  Limited Edition Alpha
28 ; Paralyze ; Enchant Creature ; B ; Common ; Anson Maddocks ;  Limited Edition Alpha
29 ; Pestilence ; Enchantment ; 2BB ; Common ; Jesper Myrfors ;  Limited Edition Alpha
30 ; Plague Rats ; Summon Rats */* ; 2B ; Common ; Anson Maddocks ;  Limited Edition Alpha
31 ; Raise Dead ; Sorcery ; B ; Common ; Jeff A. Menges ;  Limited Edition Alpha
32 ; Royal Assassin ; Summon Assassin 1/1 ; 1BB ; Rare ; Tom Wänerstrand ;  Limited Edition Alpha
33 ; Sacrifice ; Interrupt ; B ; Uncommon ; Dan Frazier ;  Limited Edition Alpha
34 ; Scathe Zombies ; Summon Zombies 2/2 ; 2B ; Common ; Jesper Myrfors ;  Limited Edition Alpha
35 ; Scavenging Ghoul ; Summon Ghoul 2/2 ; 3B ; Uncommon ; Jeff A. Menges ;  Limited Edition Alpha
36 ; Sengir Vampire ; Summon Vampire 4/4 ; 3BB ; Uncommon ; Anson Maddocks ;  Limited Edition Alpha
37 ; Simulacrum ; Instant ; 1B ; Uncommon ; Mark Poole ;  Limited Edition Alpha
38 ; Sinkhole ; Sorcery ; BB ; Common ; Sandra Everingham ;  Limited Edition Alpha
39 ; Terror ; Instant ; 1B ; Common ; Ron Spencer ;  Limited Edition Alpha
40 ; Unholy Strength ; Enchant Creature ; B ; Common ; Douglas Schuler ;  Limited Edition Alpha
41 ; Wall of Bone ; Summon Wall 1/4 ; 2B ; Uncommon ; Anson Maddocks ;  Limited Edition Alpha
42 ; Warp Artifact ; Enchant Artifact ; BB ; Rare ; Amy Weber ;  Limited Edition Alpha
43 ; Weakness ; Enchant Creature ; B ; Common ; Douglas Schuler ;  Limited Edition Alpha
44 ; Will-O'-The-Wisp ; Summon Will-O'-The-Wisp 0/1 ; B ; Rare ; Jesper Myrfors ;  Limited Edition Alpha
45 ; Word of Command ; Instant ; BB ; Rare ; Jesper Myrfors ;  Limited Edition Alpha
46 ; Zombie Master ; Summon Lord 2/3 ; 1BB ; Rare ; Jeff A. Menges ;  Limited Edition Alpha
47 ; Air Elemental ; Summon Elemental 4/4 ; 3UU ; Uncommon ; Richard Thomas ;  Limited Edition Alpha
48 ; Ancestral Recall ; Instant ; U ; Rare ; Mark Poole ;  Limited Edition Alpha
49 ; Animate Artifact ; Enchant Non-Creature Artifact ; 3U ; Uncommon ; Douglas Schuler ;  Limited Edition Alpha
50 ; Blue Elemental Blast ; Interrupt ; U ; Common ; Richard Thomas ;  Limited Edition Alpha
51 ; Braingeyser ; Sorcery ; XUU ; Rare ; Mark Tedin ;  Limited Edition Alpha
52 ; Clone ; Summon Clone 0/0 ; 3U ; Uncommon ; Julie Baroh ;  Limited Edition Alpha
53 ; Control Magic ; Enchant Creature ; 2UU ; Uncommon ; Dameon Willich ;  Limited Edition Alpha
54 ; Copy Artifact ; Enchantment ; 1U ; Rare ; Amy Weber ;  Limited Edition Alpha
55 ; Counterspell ; Interrupt ; UU ; Uncommon ; Mark Poole ;  Limited Edition Alpha
56 ; Creature Bond ; Enchant Creature ; 1U ; Common ; Anson Maddocks ;  Limited Edition Alpha
57 ; Drain Power ; Sorcery ; UU ; Rare ; Douglas Schuler ;  Limited Edition Alpha
58 ; Feedback ; Enchant Enchantment ; 2U ; Uncommon ; Quinton Hoover ;  Limited Edition Alpha
59 ; Flight ; Enchant Creature ; U ; Common ; Anson Maddocks ;  Limited Edition Alpha
60 ; Invisibility ; Enchant Creature ; UU ; Common ; Anson Maddocks ;  Limited Edition Alpha
61 ; Jump ; Instant ; U ; Common ; Mark Poole ;  Limited Edition Alpha
62 ; Lifetap ; Enchantment ; UU ; Uncommon ; Anson Maddocks ;  Limited Edition Alpha
63 ; Lord of Atlantis ; Summon Lord of Atlantis 2/2 ; UU ; Rare ; Melissa Benson ;  Limited Edition Alpha
64 ; Magical Hack ; Interrupt ; U ; Rare ; Julie Baroh ;  Limited Edition Alpha
65 ; Mahamoti Djinn ; Summon Djinn 5/6 ; 4UU ; Rare ; Dan Frazier ;  Limited Edition Alpha
66 ; Mana Short ; Instant ; 2U ; Rare ; Dameon Willich ;  Limited Edition Alpha
67 ; Merfolk of the Pearl Trident ; Summon Merfolk 1/1 ; U ; Common ; Jeff A. Menges ;  Limited Edition Alpha
68 ; Phantasmal Forces ; Summon Phantasm 4/1 ; 3U ; Uncommon ; Mark Poole ;  Limited Edition Alpha
69 ; Phantasmal Terrain ; Enchant Land ; UU ; Common ; Dameon Willich ;  Limited Edition Alpha
70 ; Phantom Monster ; Summon Phantasm 3/3 ; 3U ; Uncommon ; Jesper Myrfors ;  Limited Edition Alpha
71 ; Pirate Ship ; Summon Ship 4/3 ; 4U ; Rare ; Tom Wänerstrand ;  Limited Edition Alpha
72 ; Power Leak ; Enchant Enchantment ; 1U ; Common ; Drew Tucker ;  Limited Edition Alpha
73 ; Power Sink ; Interrupt ; XU ; Common ; Richard Thomas ;  Limited Edition Alpha
74 ; Prodigal Sorcerer ; Summon Wizard 1/1 ; 2U ; Common ; Douglas Schuler ;  Limited Edition Alpha
75 ; Psionic Blast ; Instant ; 2U ; Uncommon ; Douglas Schuler ;  Limited Edition Alpha
76 ; Psychic Venom ; Enchant Land ; 1U ; Common ; Brian Snoddy ;  Limited Edition Alpha
77 ; Sea Serpent ; Summon Serpent 5/5 ; 5U ; Common ; Jeff A. Menges ;  Limited Edition Alpha
78 ; Siren's Call ; Instant ; U ; Uncommon ; Anson Maddocks ;  Limited Edition Alpha
79 ; Sleight of Mind ; Interrupt ; U ; Rare ; Mark Poole ;  Limited Edition Alpha
80 ; Spell Blast ; Interrupt ; XU ; Common ; Brian Snoddy ;  Limited Edition Alpha
81 ; Stasis ; Enchantment ; 1U ; Rare ; Fay Jones ;  Limited Edition Alpha
82 ; Steal Artifact ; Enchant Artifact ; 2UU ; Uncommon ; Amy Weber ;  Limited Edition Alpha
83 ; Thoughtlace ; Interrupt ; U ; Rare ; Mark Poole ;  Limited Edition Alpha
84 ; Time Walk ; Sorcery ; 1U ; Rare ; Amy Weber ;  Limited Edition Alpha
85 ; Timetwister ; Sorcery ; 2U ; Rare ; Mark Tedin ;  Limited Edition Alpha
86 ; Twiddle ; Instant ; U ; Common ; Rob Alexander ;  Limited Edition Alpha
87 ; Unsummon ; Instant ; U ; Common ; Douglas Schuler ;  Limited Edition Alpha
88 ; Vesuvan Doppelganger ; Summon Doppelganger 0/0 ; 3UU ; Rare ; Quinton Hoover ;  Limited Edition Alpha
89 ; Volcanic Eruption ; Sorcery ; XUUU ; Rare ; Douglas Schuler ;  Limited Edition Alpha
90 ; Wall of Air ; Summon Wall 1/5 ; 1UU ; Uncommon ; Richard Thomas ;  Limited Edition Alpha
91 ; Wall of Water ; Summon Wall 0/5 ; 1UU ; Uncommon ; Richard Thomas ;  Limited Edition Alpha
92 ; Water Elemental ; Summon Elemental 5/4 ; 3UU ; Uncommon ; Jeff A. Menges ;  Limited Edition Alpha
93 ; Aspect of Wolf ; Enchant Creature ; 1G ; Rare ; Jeff A. Menges ;  Limited Edition Alpha
94 ; Berserk ; Instant ; G ; Uncommon ; Dan Frazier ;  Limited Edition Alpha
95 ; Birds of Paradise ; Summon Mana Birds 0/1 ; G ; Rare ; Mark Poole ;  Limited Edition Alpha
96 ; Camouflage ; Instant ; G ; Uncommon ; Jesper Myrfors ;  Limited Edition Alpha
97 ; Channel ; Sorcery ; GG ; Uncommon ; Richard Thomas ;  Limited Edition Alpha
98 ; Cockatrice ; Summon Cockatrice 2/4 ; 3GG ; Rare ; Dan Frazier ;  Limited Edition Alpha
99 ; Craw Wurm ; Summon Wurm 6/4 ; 4GG ; Common ; Daniel Gelon ;  Limited Edition Alpha
100 ; Elvish Archers ; Summon Elves 2/1 ; 1G ; Rare ; Anson Maddocks ;  Limited Edition Alpha
101 ; Fastbond ; Enchantment ; G ; Rare ; Mark Poole ;  Limited Edition Alpha
102 ; Fog ; Instant ; G ; Common ; Jesper Myrfors ;  Limited Edition Alpha
103 ; Force of Nature ; Summon Force 8/8 ; 2GGGG ; Rare ; Douglas Schuler ;  Limited Edition Alpha
104 ; Fungusaur ; Summon Fungusaur 2/2 ; 3G ; Rare ; Daniel Gelon ;  Limited Edition Alpha
105 ; Gaea's Liege ; Summon Gaea's Liege */* ; 3GGG ; Rare ; Dameon Willich ;  Limited Edition Alpha
106 ; Giant Growth ; Instant ; G ; Common ; Sandra Everingham ;  Limited Edition Alpha
107 ; Giant Spider ; Summon Spider 2/4 ; 3G ; Common ; Sandra Everingham ;  Limited Edition Alpha
108 ; Grizzly Bears ; Summon Bears 2/2 ; 1G ; Common ; Jeff A. Menges ;  Limited Edition Alpha
109 ; Hurricane ; Sorcery ; XG ; Uncommon ; Dameon Willich ;  Limited Edition Alpha
110 ; Ice Storm ; Sorcery ; 2G ; Uncommon ; Dan Frazier ;  Limited Edition Alpha
111 ; Instill Energy ; Enchant Creature ; G ; Uncommon ; Dameon Willich ;  Limited Edition Alpha
112 ; Ironroot Treefolk ; Summon Treefolk 3/5 ; 4G ; Common ; Jesper Myrfors ;  Limited Edition Alpha
