1 ; Akrasan Squire ; Creature — Human Soldier 1/1 ; W ; Common ; Todd Lockwood ;  Shards of Alara
2 ; Angel's Herald ; Creature — Human Cleric 1/1 ; W ; Uncommon ; Greg Staples ;  Shards of Alara
3 ; Angelic Benediction ; Enchantment ; 3W ; Uncommon ; Michael Komarck ;  Shards of Alara
4 ; Angelsong ; Instant ; 1W ; Common ; Sal Villagran ;  Shards of Alara
5 ; Bant Battlemage ; Creature — Human Wizard 2/2 ; 2W ; Uncommon ; Donato Giancola ;  Shards of Alara
6 ; Battlegrace Angel ; Creature — Angel 4/4 ; 3WW ; Rare ; Matt Stewart ;  Shards of Alara
7 ; Cradle of Vitality ; Enchantment ; 3W ; Rare ; Trevor Hairsine ;  Shards of Alara
8 ; Dispeller's Capsule ; Artifact ; W ; Common ; Franz Vohwinkel ;  Shards of Alara
9 ; Elspeth, Knight-Errant ; Planeswalker — Elspeth 4 ; 2WW ; Mythic Rare ; Volkan Baga ;  Shards of Alara
10 ; Ethersworn Canonist ; Artifact Creature — Human Cleric 2/2 ; 1W ; Rare ; Izzy ;  Shards of Alara
11 ; Excommunicate ; Sorcery ; 2W ; Common ; Matt Stewart ;  Shards of Alara
12 ; Guardians of Akrasa ; Creature — Human Soldier 0/4 ; 2W ; Common ; Alan Pollack ;  Shards of Alara
13 ; Gustrider Exuberant ; Creature — Human Wizard 1/2 ; 2W ; Common ; Wayne Reynolds ;  Shards of Alara
14 ; Invincible Hymn ; Sorcery ; 6WW ; Rare ; Matt Stewart ;  Shards of Alara
15 ; Knight of the Skyward Eye ; Creature — Human Knight 2/2 ; 1W ; Common ; Matt Stewart ;  Shards of Alara
16 ; Knight of the White Orchid ; Creature — Human Knight 2/2 ; WW ; Rare ; Mark Zug ;  Shards of Alara
17 ; Knight-Captain of Eos ; Creature — Human Knight 2/2 ; 4W ; Rare ; Chris Rahn ;  Shards of Alara
18 ; Marble Chalice ; Artifact ; 2W ; Common ; Howard Lyon ;  Shards of Alara
19 ; Metallurgeon ; Artifact Creature — Human Artificer 1/2 ; 1W ; Uncommon ; Warren Mahy ;  Shards of Alara
20 ; Oblivion Ring ; Enchantment ; 2W ; Common ; Franz Vohwinkel ;  Shards of Alara
