1 ; Cuombajj Witches ; Summon Witches 1/3 ; BB ; Common (C4) ; Kaja Foglio ;  Arabian Nights
2 ; El-Hajjâj ; Summon El-Hajjâj 1/1 ; 1BB ; Uncommon (U2) ; Dameon Willich ;  Arabian Nights
3 ; Erg Raiders ; Summon Raiders 2/3 ; 1B ; Common (C3) ; Dameon Willich ;  Arabian Nights
4 ; Erg Raiders ; Summon Raiders 2/3 ; 1B ; Common (C2) ; Dameon Willich ;  Arabian Nights
5 ; Guardian Beast ; Summon Guardian 2/4 ; 3B ; Uncommon (U2) ; Ken Meyer Jr. ;  Arabian Nights
6 ; Hasran Ogress ; Summon Ogre 3/2 ; BB ; Common (C3) ; Dan Frazier ;  Arabian Nights
7 ; Hasran Ogress ; Summon Ogre 3/2 ; BB ; Common (C2) ; Dan Frazier ;  Arabian Nights
8 ; Junún Efreet ; Summon Efreet 3/3 ; 1BB ; Uncommon (U2) ; Christopher Rush ;  Arabian Nights
9 ; Juzám Djinn ; Summon Djinn 5/5 ; 2BB ; Uncommon (U2) ; Mark Tedin ;  Arabian Nights
10 ; Khabál Ghoul ; Summon Ghoul 1/1 ; 2B ; Uncommon (U3) ; Douglas Shuler ;  Arabian Nights
11 ; Oubliette ; Enchantment ; 1BB ; Common (C2) ; Douglas Shuler ;  Arabian Nights
12 ; Oubliette ; Enchantment ; 1BB ; Common (C2) ; Douglas Shuler ;  Arabian Nights
13 ; Sorceress Queen ; Summon Sorceress 1/1 ; 1BB ; Uncommon (U3) ; Kaja Foglio ;  Arabian Nights
14 ; Stone-Throwing Devils ; Summon Devils 1/1 ; B ; Common (C3) ; Ken Meyer Jr. ;  Arabian Nights
15 ; Stone-Throwing Devils ; Summon Devils 1/1 ; B ; Common (C1) ; Ken Meyer, Jr. ;  Arabian Nights
16 ; Dandân ; Summon Dandân 4/1 ; UU ; Common (C4) ; Drew Tucker ;  Arabian Nights
17 ; Fishliver Oil ; Enchant Creature ; 1U ; Common (C3) ; Anson Maddocks ;  Arabian Nights
18 ; Fishliver Oil ; Enchant Creature ; 1U ; Common (C1) ; Anson Maddocks ;  Arabian Nights
19 ; Flying Men ; Summon Flying Men 1/1 ; U ; Common (C5) ; Christopher Rush ;  Arabian Nights
20 ; Giant Tortoise ; Summon Tortoise 1/1 ; 1U ; Common (C3) ; Kaja Foglio ;  Arabian Nights
21 ; Giant Tortoise ; Summon Tortoise 1/1 ; 1U ; Common (C1) ; Kaja Foglio ;  Arabian Nights
22 ; Island Fish Jasconius ; Summon Island Fish 6/8 ; 4UUU ; Uncommon (U2) ; Jesper Myrfors ;  Arabian Nights
23 ; Merchant Ship ; Summon Ship 0/2 ; U ; Uncommon (U3) ; Tom Wänerstrand ;  Arabian Nights
24 ; Old Man of the Sea ; Summon Marid 2/3 ; 1UU ; Uncommon (U2) ; Susan Van Camp ;  Arabian Nights
25 ; Serendib Djinn ; Summon Djinn 5/6 ; 2UU ; Uncommon (U2) ; Anson Maddocks ;  Arabian Nights
26 ; Serendib Efreet ; Summon Efreet 3/4 ; 2U ; Uncommon (U2) ; Anson Maddocks ;  Arabian Nights
27 ; Sindbad ; Summon Sindbad 1/1 ; 1U ; Uncommon (U3) ; Julie Baroh ;  Arabian Nights
28 ; Unstable Mutation ; Enchant Creature ; U ; Common (C5) ; Douglas Shuler ;  Arabian Nights
29 ; Cyclone ; Enchantment ; 2GG ; Uncommon (U3) ; Mark Tedin ;  Arabian Nights
30 ; Desert Twister ; Sorcery ; 4GG ; Uncommon (U3) ; Susan Van Camp ;  Arabian Nights
31 ; Drop of Honey ; Enchantment ; G ; Uncommon (U2) ; Anson Maddocks ;  Arabian Nights
32 ; Erhnam Djinn ; Summon Djinn 4/5 ; 3G ; Uncommon (U2) ; Ken Meyer Jr. ;  Arabian Nights
33 ; Ghazbán Ogre ; Summon Ogre 2/2 ; G ; Common (C4) ; Jesper Myrfors ;  Arabian Nights
34 ; Ifh-Bíff Efreet ; Summon Efreet 3/3 ; 2GG ; Uncommon (U2) ; Jesper Myrfors ;  Arabian Nights
35 ; Metamorphosis ; Sorcery ; G ; Common (C4) ; Christopher Rush ;  Arabian Nights
36 ; Nafs Asp ; Summon Asp 1/1 ; G ; Common (C3) ; Christopher Rush ;  Arabian Nights
37 ; Nafs Asp ; Summon Asp 1/1 ; G ; Common (C2) ; Christopher Rush ;  Arabian Nights
38 ; Sandstorm ; Instant ; G ; Common (C4) ; Brian Snoddy ;  Arabian Nights
39 ; Singing Tree ; Summon Singing Tree 0/3 ; 3G ; Uncommon (U2) ; Rob Alexander ;  Arabian Nights
40 ; Wyluli Wolf ; Summon Wolf 1/1 ; 1G ; Common (C4) ; Susan Van Camp ;  Arabian Nights
41 ; Wyluli Wolf ; Summon Wolf 1/1 ; 1G ; Common (C1) ; Susan Van Camp ;  Arabian Nights
42 ; Aladdin ; Summon Aladdin 1/1 ; 2RR ; Uncommon (U2) ; Julie Baroh ;  Arabian Nights
43 ; Ali Baba ; Summon Ali Baba 1/1 ; R ; Uncommon (U3) ; Julie Baroh ;  Arabian Nights
44 ; Ali from Cairo ; Summon Ali from Cairo 0/1 ; 2RR ; Uncommon (U2) ; Mark Poole ;  Arabian Nights
45 ; Bird Maiden ; Summon Bird Maiden 1/2 ; 2R ; Common (C2) ; Kaja Foglio ;  Arabian Nights
46 ; Bird Maiden ; Summon Bird Maiden 1/2 ; 2R ; Common (C2) ; Kaja Foglio ;  Arabian Nights
47 ; Desert Nomads ; Summon Nomads 2/2 ; 2R ; Common (C4) ; Christopher Rush ;  Arabian Nights
48 ; Hurr Jackal ; Summon Jackal 1/1 ; R ; Common (C4) ; Drew Tucker ;  Arabian Nights
49 ; Kird Ape ; Summon Ape 1/1 ; R ; Common (C5) ; Ken Meyer Jr. ;  Arabian Nights
50 ; Magnetic Mountain ; Enchantment ; 1RR ; Uncommon (U3) ; Susan Van Camp ;  Arabian Nights
51 ; Mijae Djinn ; Summon Djinn 6/3 ; RRR ; Uncommon (U2) ; Susan Van Camp ;  Arabian Nights
52 ; Rukh Egg ; Summon Egg 0/3 ; 3R ; Common (C3) ; Christopher Rush ;  Arabian Nights
53 ; Rukh Egg ; Summon Egg 0/3 ; 3R ; Common (C1) ; Christopher Rush ;  Arabian Nights
54 ; Ydwen Efreet ; Summon Efreet 3/6 ; RRR ; Uncommon (U2) ; Drew Tucker ;  Arabian Nights
55 ; Abu Ja'far ; Summon Leper 0/1 ; W ; Uncommon (U3) ; Ken Meyer Jr. ;  Arabian Nights
56 ; Army of Allah ; Instant ; 1WW ; Common (C3) ; Brian Snoddy ;  Arabian Nights
57 ; Army of Allah ; Instant ; 1WW ; Common (C1) ; Brian Snoddy ;  Arabian Nights
58 ; Camel ; Summon Camel 0/1 ; W ; Common (C5) ; Sandra Everingham ;  Arabian Nights
59 ; Eye for an Eye ; Instant ; WW ; Uncommon (U3) ; Mark Poole ;  Arabian Nights
60 ; Jihad ; Enchantment ; WWW ; Uncommon (U2) ; Brian Snoddy ;  Arabian Nights
61 ; King Suleiman ; Summon King 1/1 ; 1W ; Uncommon (U2) ; Mark Poole ;  Arabian Nights
62 ; Moorish Cavalry ; Summon Cavalry 3/3 ; 2WW ; Common (C4) ; Dameon Willich ;  Arabian Nights
63 ; Moorish Cavalry ; Summon Cavalry 3/3 ; 2WW ; Common (C1) ; Dameon Willich ;  Arabian Nights
64 ; Piety ; Instant ; 2W ; Common (C3) ; Mark Poole ;  Arabian Nights
65 ; Piety ; Instant ; 2W ; Common (C1) ; Mark Poole ;  Arabian Nights
66 ; Repentant Blacksmith ; Summon Smith 1/2 ; 1W ; Uncommon (U2) ; Drew Tucker ;  Arabian Nights
67 ; Shahrazad ; Sorcery ; WW ; Uncommon (U2) ; Kaja Foglio ;  Arabian Nights
68 ; War Elephant ; Summon Elephant 2/2 ; 3W ; Common (C3) ; Kristen Bishop ;  Arabian Nights
69 ; War Elephant ; Summon Elephant 2/2 ; 3W ; Common (C1) ; Kristen Bishop ;  Arabian Nights
70 ; Aladdin's Lamp ; Mono Artifact ; 10 ; Uncommon (U2) ; Mark Tedin ;  Arabian Nights
71 ; Aladdin's Ring ; Mono Artifact ; 8 ; Uncommon (U2) ; Dan Frazier ;  Arabian Nights
72 ; Bottle of Suleiman ; Mono Artifact ; 4 ; Uncommon (U2) ; Jesper Myrfors ;  Arabian Nights
73 ; Brass Man ; Artifact Creature 1/3 ; 1 ; Uncommon (U3) ; Christopher Rush ;  Arabian Nights
74 ; City in a Bottle ; Continuous Artifact ; 2 ; Uncommon (U2) ; Drew Tucker ;  Arabian Nights
75 ; Dancing Scimitar ; Artifact Creature 1/5 ; 4 ; Uncommon (U2) ; Anson Maddocks ;  Arabian Nights
76 ; Ebony Horse ; Mono Artifact ; 3 ; Uncommon (U2) ; Dameon Willich ;  Arabian Nights
77 ; Flying Carpet ; Mono Artifact ; 4 ; Uncommon (U3) ; Mark Tedin ;  Arabian Nights
78 ; Jandor's Ring ; Mono Artifact ; 6 ; Uncommon (U2) ; Dan Frazier ;  Arabian Nights
79 ; Jandor's Saddlebags ; Mono Artifact ; 2 ; Uncommon (U2) ; Dameon Willich ;  Arabian Nights
80 ; Jeweled Bird ; Mono Artifact ; 1 ; Uncommon (U3) ; Amy Weber ;  Arabian Nights
81 ; Pyramids ; Poly Artifact ; 6 ; Uncommon (U2) ; Amy Weber ;  Arabian Nights
82 ; Ring of Ma'ruf ; Mono Artifact ; 5 ; Uncommon (U2) ; Dan Frazier ;  Arabian Nights
