1 ; Angelic Blessing ; Sorcery ; 2W ; Special ; Mark Zug ;  Starter 2000
2 ; Breath of Life ; Sorcery ; 3W ; Special ; DiTerlizzi ;  Starter 2000
3 ; Durkwood Boars ; Creature - Boar 4/4 ; 4G ; Special ; Mike Kimble ;  Starter 2000
4 ; Eager Cadet ; Creature - Soldier 1/1 ; W ; Special ; Scott M. Fischer ;  Starter 2000
5 ; Giant Octopus ; Creature - Octopus 3/3 ; 3U ; Special ; John Matson ;  Starter 2000
6 ; Hand of Death ; Sorcery ; 2B ; Special ; Heather Hudson ;  Starter 2000
7 ; Knight Errant ; Creature - Knight 2/2 ; 1W ; Special ; Dan Frazier ;  Starter 2000
8 ; Lava Axe ; Sorcery ; 4R ; Special ; Brian Snoddy ;  Starter 2000
9 ; Mons's Goblin Raiders ; Creature - Goblin 1/1 ; R ; Special ; Pete Venters ;  Starter 2000
10 ; Monstrous Growth ; Sorcery ; 1G ; Special ; Una Fricker ;  Starter 2000
11 ; Moon Sprite ; Creature - Faerie 1/1 ; 1G ; Special ; Terese Nielsen ;  Starter 2000
12 ; Ogre Warrior ; Creature - Ogre 3/3 ; 3R ; Special ; Jeff Miracola ;  Starter 2000
13 ; Rhox ; Creature - Rhino Beast 5/5 ; 4GG ; Special ; Mark Zug ;  Starter 2000
14 ; Royal Falcon ; Creature - Bird 1/1 ; 1W ; Special ; Carl Critchlow ;  Starter 2000
15 ; Sea Eagle ; Creature - Bird 1/1 ; 1U ; Special ; Anthony S. Waters ;  Starter 2000
16 ; Time Ebb ; Sorcery ; 2U ; Special ; Alan Rabinowitz ;  Starter 2000
17 ; Trained Orgg ; Creature - Beast 6/6 ; 6R ; Special ; Eric Peterson ;  Starter 2000
18 ; Vizzerdrix ; Creature - Beast 6/6 ; 6U ; Special ; Eric Peterson ;  Starter 2000
19 ; Wild Griffin ; Creature - Griffin 2/2 ; 2W ; Special ; Jeff Miracola ;  Starter 2000
20 ; Willow Elf ; Creature - Elf 1/1 ; G ; Special ; DiTerlizzi ;  Starter 2000
1 ; Angel of Light ; Creature - Angel 3/3 ; 4W ; Uncommon ; Todd Lockwood ;  Starter 1999
2 ; Angel of Mercy ; Creature - Angel 3/3 ; 4W ; Uncommon ; Melissa A. Benson ;  Starter 1999
3 ; Angelic Blessing ; Sorcery ; 2W ; Common ; Mark Zug ;  Starter 1999
4 ; Archangel ; Creature - Angel 5/5 ; 5WW ; Rare ; Quinton Hoover ;  Starter 1999
5 ; Ardent Militia ; Creature - Soldier 2/5 ; 4W ; Uncommon ; Zina Saunders ;  Starter 1999
6 ; Armageddon ; Sorcery ; 3W ; Rare ; Rob Alexander ;  Starter 1999
7 ; Bargain ; Sorcery ; 2W ; Uncommon ; Phil Foglio ;  Starter 1999
8 ; Blinding Light ; Sorcery ; 2W ; Rare ; John Coulthart ;  Starter 1999
9 ; Border Guard ; Creature - Soldier 1/4 ; 2W ; Common ; Kev Walker ;  Starter 1999
10 ; Breath of Life ; Sorcery ; 3W ; Uncommon ; DiTerlizzi ;  Starter 1999
11 ; Champion Lancer ; Creature - Knight 3/3 ; 4WW ; Rare ; Chippy ;  Starter 1999
12 ; Charging Paladin ; Creature - Knight 2/2 ; 2W ; Uncommon ; Kev Walker ;  Starter 1999
13 ; Devoted Hero ; Creature - Soldier 1/2 ; W ; Common ; DiTerlizzi ;  Starter 1999
