1 ; Blessed Breath ; Instant - Arcane ; W ; Common ; Tsutomu Kawade ;  Champions of Kamigawa
2 ; Bushi Tenderfoot ; Creature - Human Soldier 1/1 ; W ; Uncommon ; Mark Zug ;  Champions of Kamigawa
3 ; Cage of Hands ; Enchant Creature ; 2W ; Common ; Mark Tedin ;  Champions of Kamigawa
4 ; Call to Glory ; Instant ; 1W ; Common ; Wayne Reynolds ;  Champions of Kamigawa
5 ; Candles' Glow ; Instant - Arcane ; 1W ; Uncommon ; Alan Pollack ;  Champions of Kamigawa
6 ; Cleanfall ; Sorcery - Arcane ; 2W ; Uncommon ; Daren Bader ;  Champions of Kamigawa
7 ; Devoted Retainer ; Creature - Human Samurai 1/1 ; W ; Common ; Greg Hildebrandt ;  Champions of Kamigawa
8 ; Eight-and-a-Half-Tails ; Legendary Creature - Fox Cleric 2/2 ; WW ; Rare ; Daren Bader ;  Champions of Kamigawa
9 ; Ethereal Haze ; Instant - Arcane ; W ; Common ; Chris Appelhans ;  Champions of Kamigawa
10 ; Ghostly Prison ; Enchantment ; 2W ; Uncommon ; Lars Grant-West ;  Champions of Kamigawa
11 ; Harsh Deceiver ; Creature - Spirit 1/4 ; 3W ; Common ; Heather Hudson ;  Champions of Kamigawa
12 ; Hikari, Twilight Guardian ; Legendary Creature - Spirit 4/4 ; 3WW ; Rare ; Glen Angus ;  Champions of Kamigawa
13 ; Hold the Line ; Instant ; 1WW ; Rare ; Ron Spears ;  Champions of Kamigawa
14 ; Honden of Cleansing Fire ; Legendary Enchantment - Shrine ; 3W ; Uncommon ; Greg Staples ;  Champions of Kamigawa
15 ; Horizon Seed ; Creature - Spirit 2/1 ; 4W ; Uncommon ; Matt Cavotta ;  Champions of Kamigawa
16 ; Hundred-Talon Kami ; Creature - Spirit 2/3 ; 4W ; Common ; Paolo Parente ;  Champions of Kamigawa
17 ; Indomitable Will ; Enchant Creature ; 1W ; Common ; Christopher Rush ;  Champions of Kamigawa
18 ; Innocence Kami ; Creature - Spirit 2/3 ; 3WW ; Uncommon ; Mark Zug ;  Champions of Kamigawa
19 ; Isamaru, Hound of Konda ; Legendary Creature - Hound 2/2 ; W ; Rare ; Christopher Moeller ;  Champions of Kamigawa
20 ; Kabuto Moth ; Creature - Spirit 1/2 ; 2W ; Common ; Tomas Giorello ;  Champions of Kamigawa
21 ; Kami of Ancient Law ; Creature - Spirit 2/2 ; 1W ; Common ; Mark Tedin ;  Champions of Kamigawa
22 ; Kami of Old Stone ; Creature - Spirit 1/7 ; 3W ; Uncommon ; Stephen Tappin ;  Champions of Kamigawa
23 ; Kami of the Painted Road ; Creature - Spirit 3/3 ; 4W ; Common ; Ron Spencer ;  Champions of Kamigawa
24 ; Kami of the Palace Fields ; Creature - Spirit 3/2 ; 5W ; Uncommon ; Matt Cavotta ;  Champions of Kamigawa
25 ; Kitsune Blademaster ; Creature - Fox Samurai 2/2 ; 2W ; Common ; Keith Garletts ;  Champions of Kamigawa
26 ; Kitsune Diviner ; Creature - Fox Cleric 0/1 ; W ; Common ; Pete Venters ;  Champions of Kamigawa
27 ; Kitsune Healer ; Creature - Fox Cleric 2/2 ; 3W ; Common ; Michael Sutfin ;  Champions of Kamigawa
28 ; Kitsune Mystic ; Creature - Fox Wizard 2/3 ; 3W ; Rare ; Jim Murray ;  Champions of Kamigawa
29 ; Kitsune Riftwalker ; Creature - Fox Wizard 2/1 ; 1WW ; Common ; Pete Venters ;  Champions of Kamigawa
30 ; Konda, Lord of Eiganjo ; Legendary Creature - Human Samurai 3/3 ; 5WW ; Rare ; John Bolton ;  Champions of Kamigawa
31 ; Konda's Hatamoto ; Creature - Human Samurai 1/2 ; 1W ; Uncommon ; Lars Grant-West ;  Champions of Kamigawa
32 ; Lantern Kami ; Creature - Spirit 1/1 ; W ; Common ; John Avon ;  Champions of Kamigawa
33 ; Masako the Humorless ; Legendary Creature - Human Advisor 2/1 ; 2W ; Rare ; Ben Thompson ;  Champions of Kamigawa
34 ; Mothrider Samurai ; Creature - Human Samurai 2/2 ; 3W ; Common ; Mark Zug ;  Champions of Kamigawa
35 ; Myojin of Cleansing Fire ; Legendary Creature - Spirit 4/6 ; 5WWW ; Rare ; Kev Walker ;  Champions of Kamigawa
36 ; Nagao, Bound by Honor ; Legendary Creature - Human Samurai 3/3 ; 3W ; Uncommon ; Dave Dorman ;  Champions of Kamigawa
37 ; Otherworldly Journey ; Instant - Arcane ; 1W ; Uncommon ; Vance Kovacs ;  Champions of Kamigawa
38 ; Pious Kitsune ; Creature - Fox Cleric 1/2 ; 2W ; Common ; Anthony S. Waters ;  Champions of Kamigawa
39 ; Quiet Purity ; Instant - Arcane ; W ; Common ; Shishizaru ;  Champions of Kamigawa
40 ; Reciprocate ; Instant ; W ; Uncommon ; Pat Lee ;  Champions of Kamigawa
41 ; Reverse the Sands ; Sorcery ; 6WW ; Rare ; Jeremy Jarvis ;  Champions of Kamigawa
42 ; Samurai Enforcers ; Creature - Human Samurai 4/4 ; 4WW ; Uncommon ; Mitch Cotie ;  Champions of Kamigawa
43 ; Samurai of the Pale Curtain ; Creature - Fox Samurai 2/2 ; WW ; Uncommon ; Christopher Moeller ;  Champions of Kamigawa
44 ; Sensei Golden-Tail ; Legendary Creature - Fox Samurai 2/1 ; 1W ; Rare ; Stephen Tappin ;  Champions of Kamigawa
45 ; Silent-Chant Zubera ; Creature - Zubera Spirit 1/2 ; 1W ; Common ; Ben Thompson ;  Champions of Kamigawa
46 ; Takeno, Samurai General ; Legendary Creature - Human Samurai 3/3 ; 5W ; Rare ; Matt Cavotta ;  Champions of Kamigawa
47 ; Terashi's Cry ; Sorcery - Arcane ; 3W ; Common ; Jim Murray ;  Champions of Kamigawa
48 ; Vassal's Duty ; Enchantment ; 3W ; Rare ; Dave Dorman ;  Champions of Kamigawa
