1 ; Aurora Eidolon ; Creature - Spirit 2/2 ; 3W ; Common ; Justin Sweet ;  Dissension
2 ; Azorius Herald ; Creature - Spirit 2/1 ; 2W ; Uncommon ; Justin Sweet ;  Dissension
3 ; Beacon Hawk ; Creature - Bird 1/1 ; 1W ; Common ; William Simpson ;  Dissension
4 ; Blessing of the Nephilim ; Enchantment - Aura ; W ; Uncommon ; Greg Hildebrandt ;  Dissension
5 ; Brace for Impact ; Instant ; 4W ; Uncommon ; Dan Scott ;  Dissension
6 ; Carom ; Instant ; 1W ; Common ; Alex Horley-Orlandelli ;  Dissension
7 ; Celestial Ancient ; Creature - Elemental 3/3 ; 3WW ; Rare ; Mark Tedin ;  Dissension
8 ; Condemn ; Instant ; W ; Uncommon ; Daren Bader ;  Dissension
9 ; Freewind Equenaut ; Creature - Human Archer 2/2 ; 2W ; Common ; Rebecca Guay ;  Dissension
10 ; Guardian of the Guildpact ; Creature - Spirit 2/3 ; 3W ; Common ; Fred Hooper ;  Dissension
11 ; Haazda Exonerator ; Creature - Human Cleric 1/1 ; W ; Common ; Kev Walker ;  Dissension
12 ; Haazda Shield Mate ; Creature - Human Soldier 1/1 ; 2W ; Rare ; Ron Spears ;  Dissension
13 ; Mistral Charger ; Creature - Pegasus 2/1 ; 1W ; Uncommon ; Terese Nielsen ;  Dissension
14 ; Paladin of Prahv ; Creature - Human Knight 3/4 ; 4WW ; Uncommon ; William Simpson ;  Dissension
15 ; Proclamation of Rebirth ; Sorcery ; 2W ; Rare ; William Simpson ;  Dissension
16 ; Proper Burial ; Enchantment ; 3W ; Rare ; Luca Zontini ;  Dissension
17 ; Soulsworn Jury ; Creature - Spirit 1/4 ; 2W ; Common ; Zoltan Boros & Gabor Szikszai ;  Dissension
18 ; Steeling Stance ; Instant ; 1WW ; Common ; Randy Gallegos ;  Dissension
19 ; Stoic Ephemera ; Creature - Spirit 5/5 ; 2W ; Uncommon ; Randy Gallegos ;  Dissension
20 ; Valor Made Real ; Instant ; W ; Common ; Jeff Miracola ;  Dissension
21 ; Wakestone Gargoyle ; Creature - Gargoyle 3/4 ; 3W ; Rare ; Jim Murray ;  Dissension
22 ; Court Hussar ; Creature - Vedalken Knight 1/3 ; 2U ; Uncommon ; Ron Spears ;  Dissension
23 ; Cytoplast Manipulator ; Creature - Human Wizard Mutant 0/0 ; 2UU ; Rare ; Dan Scott ;  Dissension
24 ; Enigma Eidolon ; Creature - Spirit 2/2 ; 3U ; Common ; Shishizaru ;  Dissension
25 ; Govern the Guildless ; Sorcery ; 5U ; Rare ; Alex Horley-Orlandelli ;  Dissension
26 ; Helium Squirter ; Creature - Beast Mutant 0/0 ; 4U ; Common ; Hideaki Takamura ;  Dissension
27 ; Novijen Sages ; Creature - Human Advisor Mutant 0/0 ; 4UU ; Rare ; Luca Zontini ;  Dissension
28 ; Ocular Halo ; Enchantment - Aura ; 3U ; Common ; Ralph Horsley ;  Dissension
29 ; Plaxmanta ; Creature - Beast 2/2 ; 1U ; Uncommon ; Alan Pollack ;  Dissension
30 ; Psychic Possession ; Enchantment - Aura ; 2UU ; Rare ; Mark Tedin ;  Dissension
31 ; Silkwing Scout ; Creature - Faerie Scout 2/1 ; 2U ; Common ; Rebecca Guay ;  Dissension
32 ; Skyscribing ; Sorcery ; XUU ; Uncommon ; Luca Zontini ;  Dissension
33 ; Spell Snare ; Instant ; U ; Uncommon ; Hideaki Takamura ;  Dissension
34 ; Tidespout Tyrant ; Creature - Djinn 5/5 ; 5UUU ; Rare ; Dany Orizio ;  Dissension
35 ; Vigean Graftmage ; Creature - Vedalken Wizard Mutant 0/0 ; 2U ; Uncommon ; Alan Pollack ;  Dissension
36 ; Vision Skeins ; Instant ; 1U ; Common ; Aleksi Briclot ;  Dissension
37 ; Writ of Passage ; Enchantment - Aura ; U ; Common ; Luca Zontini ;  Dissension
38 ; Bond of Agony ; Sorcery ; XB ; Uncommon ; Luca Zontini ;  Dissension
39 ; Brain Pry ; Sorcery ; 1B ; Uncommon ; Jim Nelson ;  Dissension
40 ; Crypt Champion ; Creature - Zombie 2/2 ; 3B ; Uncommon ; Pete Venters ;  Dissension
41 ; Delirium Skeins ; Sorcery ; 2B ; Common ; Aleksi Briclot ;  Dissension
42 ; Demon's Jester ; Creature - Imp 2/2 ; 3B ; Common ; Pete Venters ;  Dissension
43 ; Drekavac ; Creature - Beast 3/3 ; 1B ; Uncommon ; Carl Critchlow ;  Dissension
