1 ; Ashes to Ashes ; Sorcery ; 1BB ; Common (C3) ; Drew Tucker ;  The Dark
2 ; Banshee ; Summon Banshee 0/1 ; 2BB ; Rare (U2) ; Jesper Myrfors ;  The Dark
3 ; Bog Imp ; Summon Imp 1/1 ; 1B ; Common (C3) ; Ron Spencer ;  The Dark
4 ; Bog Rats ; Summon Rats 1/1 ; B ; Common (C3) ; Ron Spencer ;  The Dark
5 ; Curse Artifact ; Enchant Artifact ; 2BB ; Rare (U2) ; Mark Tedin ;  The Dark
6 ; Eater of the Dead ; Summon Eater 3/4 ; 4B ; Rare (U2) ; Jesper Myrfors ;  The Dark
7 ; Frankenstein's Monster ; Summon Monster 0/1 ; XBB ; Rare (U2) ; Anson Maddocks ;  The Dark
8 ; Grave Robbers ; Summon Robbers 1/1 ; 1BB ; Rare (U1) ; Quinton Hoover ;  The Dark
9 ; Inquisition ; Sorcery ; 2B ; Common (U1) ; Anson Maddocks ;  The Dark
10 ; Marsh Gas ; Instant ; B ; Common (C3) ; Douglas Shuler ;  The Dark
11 ; Murk Dwellers ; Summon Murk Dwellers 2/2 ; 3B ; Common (C3) ; Drew Tucker ;  The Dark
12 ; Nameless Race ; Summon Nameless Race */* ; 3B ; Rare (C3) ; Quinton Hoover ;  The Dark
13 ; Rag Man ; Summon Rag Man 2/1 ; 2BB ; Rare (U1) ; Daniel Gelon ;  The Dark
14 ; Season of the Witch ; Enchantment ; BBB ; Rare (U1) ; Jesper Myrfors ;  The Dark
15 ; The Fallen ; Summon Fallen 2/3 ; 1BBB ; Rare (U1) ; Jesper Myrfors ;  The Dark
16 ; Uncle Istvan ; Summon Uncle Istvan 1/3 ; 1BBB ; Rare (U2) ; Daniel Gelon ;  The Dark
17 ; Word of Binding ; Sorcery ; XBB ; Common (C3) ; Ron Spencer ;  The Dark
18 ; Worms of the Earth ; Enchantment ; 2BBB ; Rare (U1) ; Anson Maddocks ;  The Dark
19 ; Amnesia ; Sorcery ; 3UUU ; Rare (U2) ; Mark Poole ;  The Dark
20 ; Apprentice Wizard ; Summon Wizard 0/1 ; 1UU ; Rare (U1) ; Dan Frazier ;  The Dark
21 ; Dance of Many ; Enchantment ; UU ; Rare (U1) ; Sandra Everingham ;  The Dark
22 ; Deep Water ; Enchantment ; UU ; Common (C3) ; Jeff A. Menges ;  The Dark
23 ; Drowned ; Summon Zombies 1/1 ; 1U ; Common (C3) ; Quinton Hoover ;  The Dark
24 ; Electric Eel ; Summon Eel 1/1 ; U ; Rare (U2) ; Anson Maddocks ;  The Dark
25 ; Erosion ; Enchant Land ; UUU ; Common (C3) ; Pete Venters ;  The Dark
26 ; Flood ; Enchantment ; U ; Rare (U2) ; Denise Detwiler ;  The Dark
27 ; Ghost Ship ; Summon Ship 2/4 ; 2UU ; Common (C3) ; Tom W‰nerstrand ;  The Dark
28 ; Giant Shark ; Summon Shark 4/4 ; 5U ; Common (C3) ; Tom W‰nerstrand ;  The Dark
29 ; Leviathan ; Summon Leviathan 10/10 ; 5UUUU ; Rare (U1) ; Mark Tedin ;  The Dark
30 ; Mana Vortex ; Enchantment ; 1UU ; Rare (U1) ; Douglas Shuler ;  The Dark
31 ; Merfolk Assassin ; Summon Merfolk 1/2 ; UU ; Rare (U2) ; Denise Detwiler ;  The Dark
32 ; Mind Bomb ; Sorcery ; U ; Rare (U1) ; Mark Tedin ;  The Dark
33 ; Psychic Allergy ; Enchantment ; 3UU ; Rare (U1) ; Mark Tedin ;  The Dark
34 ; Riptide ; Instant ; U ; Common (C3) ; Randy Asplund-Faith ;  The Dark
35 ; Sunken City ; Enchantment ; UU ; Common (C3) ; Jesper Myrfors ;  The Dark
36 ; Tangle Kelp ; Enchant Creature ; U ; Rare (U2) ; Rob Alexander ;  The Dark
37 ; Water Wurm ; Summon Wurm 1/1 ; U ; Common (C3) ; Ron Spencer ;  The Dark
38 ; Carnivorous Plant ; Summon Wall 4/5 ; 3G ; Common (C3) ; Quinton Hoover ;  The Dark
39 ; Elves of Deep Shadow ; Summon Elves 1/1 ; G ; Rare (U2) ; Jesper Myrfors ;  The Dark
40 ; Gaea's Touch ; Enchantment ; GG ; Common (C3) ; Mark Poole ;  The Dark
41 ; Hidden Path ; Enchantment ; 2GGGG ; Rare (U1) ; Rob Alexander ;  The Dark
42 ; Land Leeches ; Summon Leeches 2/2 ; 1GG ; Common (C3) ; Quinton Hoover ;  The Dark
43 ; Lurker ; Summon Lurker 2/3 ; 2G ; Rare (U1) ; Anson Maddocks ;  The Dark
44 ; Marsh Viper ; Summon Viper 1/2 ; 3G ; Common (C3) ; Ron Spencer ;  The Dark
45 ; Niall Silvain ; Summon Niall Silvain 2/2 ; GGG ; Rare (U1) ; Christopher Rush ;  The Dark
46 ; People of the Woods ; Summon People of the Woods 1/* ; GG ; Rare (U2) ; Drew Tucker ;  The Dark
47 ; Savaen Elves ; Summon Elves 1/1 ; G ; Common (C3) ; Ron Spencer ;  The Dark
48 ; Scarwood Bandits ; Summon Bandits 2/2 ; 2GG ; Rare (U1) ; Mark Poole ;  The Dark
49 ; Scarwood Hag ; Summon Hag 1/1 ; 1G ; Rare (U2) ; Anson Maddocks ;  The Dark
50 ; Scavenger Folk ; Summon Scavenger Folk 1/1 ; G ; Common (C3) ; Denise Detwiler ;  The Dark
51 ; Spitting Slug ; Summon Slug 2/4 ; 1GG ; Rare (U2) ; Anson Maddocks ;  The Dark
52 ; Tracker ; Summon Tracker 2/2 ; 2G ; Rare (U1) ; Jeff A. Menges ;  The Dark
53 ; Venom ; Enchant Creature ; 1GG ; Common (C3) ; Tom W‰nerstrand ;  The Dark
54 ; Whippoorwill ; Summon Whippoorwill 1/1 ; G ; Rare (U2) ; Douglas Shuler ;  The Dark
55 ; Wormwood Treefolk ; Summon Treefolk 4/4 ; 3GG ; Rare (U1) ; Jesper Myrfors ;  The Dark
56 ; Ball Lightning ; Summon Ball Lightning 6/1 ; RRR ; Rare (U1) ; Quinton Hoover ;  The Dark
57 ; Blood Moon ; Enchantment ; 2R ; Rare (U1) ; Tom W‰nerstrand ;  The Dark
58 ; Brothers of Fire ; Summon Brothers 2/2 ; 1RR ; Rare (U2) ; Mark Tedin ;  The Dark
59 ; Cave People ; Summon Cave People 1/4 ; 1RR ; Rare (U2) ; Drew Tucker ;  The Dark
60 ; Eternal Flame ; Sorcery ; 2RR ; Rare (U1) ; Mark Poole ;  The Dark
61 ; Fire Drake ; Summon Drake 1/2 ; 1RR ; Rare (U2) ; Christopher Rush ;  The Dark
62 ; Fissure ; Instant ; 3RR ; Common (C3) ; Douglas Shuler ;  The Dark
63 ; Goblin Caves ; Enchant Land ; 1RR ; Common (C3) ; Drew Tucker ;  The Dark
64 ; Goblin Digging Team ; Summon Goblins 1/1 ; R ; Common (C3) ; Ron Spencer ;  The Dark
65 ; Goblin Hero ; Summon Goblin 2/2 ; 2R ; Common (C3) ; Mark Tedin ;  The Dark
66 ; Goblin Rock Sled ; Summon Rock Sled 3/1 ; 1R ; Common (C3) ; Denise Detwiler ;  The Dark
67 ; Goblin Shrine ; Enchant Land ; 1RR ; Common (C3) ; Ron Spencer ;  The Dark
68 ; Goblin Wizard ; Summon Goblin 1/1 ; 2RR ; Rare (U1) ; Daniel Gelon ;  The Dark
