1 ; Archon of Justice ; Creature — Archon 4/4 ; 3WW ; Rare ; Jason Chan ;  Eventide
2 ; Ballynock Trapper ; Creature — Kithkin Soldier 2/2 ; 3W ; Common ; Randy Gallegos ;  Eventide
3 ; Cenn's Enlistment ; Sorcery ; 3W ; Common ; Matt Cavotta ;  Eventide
4 ; Endless Horizons ; Enchantment ; 3W ; Rare ; Joshua Hagler ;  Eventide
5 ; Endure ; Instant ; 3WW ; Uncommon ; Ralph Horsley ;  Eventide
6 ; Flickerwisp ; Creature — Elemental 3/1 ; 1WW ; Uncommon ; Jeremy Enecio ;  Eventide
7 ; Hallowed Burial ; Sorcery ; 3WW ; Rare ; Dave Kendall ;  Eventide
8 ; Kithkin Spellduster ; Creature — Kithkin Wizard 2/3 ; 4W ; Common ; Trevor Hairsine ;  Eventide
9 ; Kithkin Zealot ; Creature — Kithkin Cleric 1/3 ; 1W ; Common ; Scott Altmann ;  Eventide
10 ; Light from Within ; Enchantment ; 2WW ; Rare ; Aleksi Briclot ;  Eventide
11 ; Loyal Gyrfalcon ; Creature — Bird 3/3 ; 3W ; Uncommon ; Darrell Riche ;  Eventide
12 ; Patrol Signaler ; Creature — Kithkin Soldier 1/1 ; 1W ; Uncommon ; Steve Prescott ;  Eventide
13 ; Recumbent Bliss ; Enchantment — Aura ; 2W ; Common ; Todd Lockwood ;  Eventide
14 ; Spirit of the Hearth ; Creature — Cat Spirit 4/5 ; 4WW ; Rare ; Jason Chan ;  Eventide
15 ; Springjack Shepherd ; Creature — Kithkin Wizard 1/2 ; 3W ; Uncommon ; Thomas Denmark ;  Eventide
16 ; Suture Spirit ; Creature — Spirit 1/1 ; 1W ; Uncommon ; Larry MacDougall ;  Eventide
17 ; Banishing Knack ; Instant ; U ; Common ; Howard Lyon ;  Eventide
18 ; Cache Raiders ; Creature — Merfolk Rogue 4/4 ; 3UU ; Uncommon ; Pete Venters ;  Eventide
19 ; Dream Fracture ; Instant ; 1UU ; Uncommon ; Howard Lyon ;  Eventide
20 ; Dream Thief ; Creature — Faerie Rogue 2/1 ; 2U ; Common ; Howard Lyon ;  Eventide
21 ; Glamerdye ; Instant ; 1U ; Rare ; Ralph Horsley ;  Eventide
22 ; Glen Elendra Archmage ; Creature — Faerie Wizard 2/2 ; 3U ; Rare ; Warren Mahy ;  Eventide
23 ; Idle Thoughts ; Enchantment ; 3U ; Uncommon ; Steven Belledin ;  Eventide
24 ; Indigo Faerie ; Creature — Faerie Wizard 1/1 ; 1U ; Uncommon ; Steve Prescott ;  Eventide
25 ; Inundate ; Sorcery ; 3UUU ; Rare ; Mark Zug ;  Eventide
26 ; Merrow Levitator ; Creature — Merfolk Wizard 2/3 ; 3U ; Common ; Jim Pavelec ;  Eventide
27 ; Oona's Grace ; Instant ; 2U ; Common ; Rebecca Guay ;  Eventide
28 ; Razorfin Abolisher ; Creature — Merfolk Wizard 2/2 ; 2U ; Uncommon ; William O'Connor ;  Eventide
29 ; Sanity Grinding ; Sorcery ; UUU ; Rare ; Lars Grant-West ;  Eventide
30 ; Talonrend ; Creature — Elemental 0/5 ; 4U ; Uncommon ; Nils Hamm ;  Eventide
31 ; Wake Thrasher ; Creature — Merfolk Soldier 1/1 ; 2U ; Rare ; Jesper Ejsing ;  Eventide
32 ; Wilderness Hypnotist ; Creature — Merfolk Wizard 1/3 ; 2UU ; Common ; Rebecca Guay ;  Eventide
33 ; Ashling, the Extinguisher ; Legendary Creature — Elemental Shaman 4/4 ; 2BB ; Rare ; Wayne Reynolds ;  Eventide
34 ; Creakwood Ghoul ; Creature — Plant Zombie 3/3 ; 4B ; Uncommon ; Thomas M. Baxa ;  Eventide
35 ; Crumbling Ashes ; Enchantment ; 1B ; Uncommon ; Chuck Lukacs ;  Eventide
36 ; Lingering Tormentor ; Creature — Spirit 2/2 ; 3B ; Uncommon ; Joshua Hagler ;  Eventide
37 ; Merrow Bonegnawer ; Creature — Merfolk Rogue 1/1 ; B ; Common ; Jim Nelson ;  Eventide
38 ; Necroskitter ; Creature — Elemental 1/4 ; 1BB ; Rare ; Jaime Jones ;  Eventide
39 ; Needle Specter ; Creature — Specter 1/1 ; 1BB ; Rare ; Christopher Moeller ;  Eventide
