1 ; Char ; Instant ; 2R ; Special ; Dave Dorman ;  15th Anniversary
2 ; Kamahl, Pit Fighter ; Legendary Creature - Human Barbarian 6/1 ; 4RR ; Special ; Kev Walker ;  15th Anniversary
1 ; Call of the Herd ; Sorcery ; 2G ; Special ; Lars Grant-West ;  Grand Prix
2 ; Spiritmonger ; Creature - Beast 6/6 ; 3BG ; Special ; Kev Walker ;  Grand Prix
3 ; Chrome Mox ; Artifact ; 0 ; Special ; Alan Pollack ;  Grand Prix
4 ; Umezawa's Jitte ; Legendary Artifact - Equipment ; 2 ; Special ; Svetlin Velinov ;  Grand Prix
5 ; Maelstrom Pulse ; Sorcery ; 1BG ; Special ; John Avon ;  Grand Prix
1 ; Eternal Dragon ; Creature - Dragon Spirit 5/5 ; 5WW ; Special ; Adam Rex ;  Pro Tour
2 ; Mirari's Wake ; Enchantment ; 3WG ; Special ; Volkan Baga ;  Pro Tour
3 ; Treva, the Renewer ; Legendary Creature - Dragon 6/6 ; 3WUG ; Special ; Jean-Sébastien Rossbach ;  Pro Tour
4 ; Avatar of Woe ; Creature — Avatar 6/5 ; 6BB ; Special ; rk post ;  Pro Tour
5 ; Ajani Goldmane ; Planeswalker - Ajani 4 ; 2WW ; Special ; Christopher Moeller ;  Pro Tour
1 ; Reya Dawnbringer ; Legendary Creature - Angel 4/6 ; 6WWW ; Special ; Matthew D. Wilson ;  Magic Game Day Cards
2 ; Liliana's Specter ; Creature - Specter 2/1 ; 1BB ; Special ; Jaime Jones ;  Magic Game Day Cards
3 ; Mitotic Slime ; Creature - Ooze 4/4 ; 4G ; Special ; Ron Spencer ;  Magic Game Day Cards
4 ; Memnite ; Artifact Creature - Construct 1/1 ; 0 ; Special ; rk post ;  Magic Game Day Cards
5 ; Tempered Steel ; Enchantment ; 1WW ; Special ; jD ;  Magic Game Day Cards
6 ; Treasure Mage ; Creature - Human Wizard 2/2 ; 2U ; Special ; Greg Staples ;  Magic Game Day Cards
7 ; Black Sun's Zenith ; Sorcery ; XBB ; Special ; James Paick ;  Magic Game Day Cards
1 ; Balduvian Horde ; Creature - Human Barbarian 5/5 ; 2RR ; Special ; Brian Snoddy ;  Worlds
1 ; Nalathni Dragon ; Summon Dragon 1/1 ; 2RR ; Special ; Michael Whelan ;  Dragon Con
