1 ; Fruitcake Elemental ; Creature - Elemental 7/7 ; 1GG ; Special ; Darrell Riche ;  Happy Holidays
2 ; Gifts Given ; Instant ; 3U ; Special ; Jason Chan ;  Happy Holidays
3 ; Evil Presents ; Sorcery ; 2BB ; Special ; Paul Bonner ;  Happy Holidays
4 ; Season's Beatings ; Sorcery ; RRRR ; Special ; Kev Walker ;  Happy Holidays
5 ; Snow Mercy ; Snow Enchantment ; 2WW ; Special ; rk post ;  Happy Holidays
1 ; Argothian Enchantress ; Creature - Human Druid 0/1 ; 1G ; Special ; Daren Bader ;  Judge Gift Program
2 ; Balance ; Sorcery ; 1W ; Special ; Kev Walker ;  Judge Gift Program
4 ; Ball Lightning ; Creature - Elemental 6/1 ; RRR ; Special ; Quinton Hoover ;  Judge Gift Program
5 ; Counterspell ; Instant ; UU ; Special ; Dom! ;  Judge Gift Program
6 ; Gaea's Cradle ; Legendary Land ; ; Special ; Mark Zug ;  Judge Gift Program
7 ; Hammer of Bogardan ; Sorcery ; 1RR ; Special ; Ron Spencer ;  Judge Gift Program
8 ; Intuition ; Instant ; 2U ; Special ; April Lee ;  Judge Gift Program
9 ; Lightning Bolt ; Instant ; R ; Special ; Christopher Rush ;  Judge Gift Program
10 ; Living Death ; Sorcery ; 3BB ; Special ; Charles Gillespie ;  Judge Gift Program
11 ; Memory Lapse ; Instant ; 1U ; Special ; Mark Tedin ;  Judge Gift Program
12 ; Oath of Druids ; Enchantment ; 1G ; Special ; Daren Bader ;  Judge Gift Program
13 ; Stroke of Genius ; Instant ; X2U ; Special ; Stephen Daniele ;  Judge Gift Program
14 ; Tradewind Rider ; Creature - Spirit 1/4 ; 3U ; Special ; John Matson ;  Judge Gift Program
15 ; Vampiric Tutor ; Instant ; B ; Special ; Gary Leach ;  Judge Gift Program
16 ; Armageddon ; Sorcery ; 3W ; Special ; John Avon ;  Judge Gift Program
18 ; Time Warp ; Sorcery ; 3UU ; Special ; Pete Venters ;  Judge Gift Program
19 ; Phyrexian Negator ; Creature - Horror 5/5 ; 2B ; Special ; John Zeleznik ;  Judge Gift Program
20 ; Deranged Hermit ; Creature - Elf 1/1 ; 3GG ; Special ; Kev Walker ;  Judge Gift Program
