1 ; Absolver Thrull ; Creature - Thrull Cleric 2/3 ; 3W ; Common ; Rob Alexander ;  Guildpact
2 ; Belfry Spirit ; Creature - Spirit 1/1 ; 3WW ; Uncommon ; Daren Bader ;  Guildpact
3 ; Benediction of Moons ; Sorcery ; W ; Common ; Matt Cavotta ;  Guildpact
4 ; Droning Bureaucrats ; Creature - Human Advisor 1/4 ; 3W ; Uncommon ; Kev Walker ;  Guildpact
5 ; Ghost Warden ; Creature - Spirit 1/1 ; 1W ; Common ; Ittoku ;  Guildpact
6 ; Ghostway ; Instant ; 2W ; Rare ; Jim Murray ;  Guildpact
7 ; Graven Dominator ; Creature - Gargoyle 4/4 ; 4WW ; Rare ; Carl Critchlow ;  Guildpact
8 ; Guardian's Magemark ; Enchantment - Aura ; 2W ; Common ; Brandon Kitkouski ;  Guildpact
9 ; Harrier Griffin ; Creature - Griffin 3/3 ; 5W ; Uncommon ; Jim Nelson ;  Guildpact
10 ; Leyline of the Meek ; Enchantment ; 2WW ; Rare ; Mark Zug ;  Guildpact
11 ; Lionheart Maverick ; Creature - Human Knight 1/1 ; W ; Common ; Hideaki Takamura ;  Guildpact
12 ; Martyred Rusalka ; Creature - Spirit 1/1 ; W ; Uncommon ; Alex Horley-Orlandelli ;  Guildpact
13 ; Order of the Stars ; Creature - Human Cleric 0/1 ; W ; Uncommon ; Heather Hudson ;  Guildpact
14 ; Shadow Lance ; Enchantment - Aura ; W ; Uncommon ; Hideaki Takamura ;  Guildpact
15 ; Shrieking Grotesque ; Creature - Gargoyle 2/1 ; 2W ; Common ; Dany Orizio ;  Guildpact
16 ; Sinstriker's Will ; Enchantment - Aura ; 3W ; Uncommon ; Ben Thompson ;  Guildpact
17 ; Skyrider Trainee ; Creature - Human Soldier 3/3 ; 4W ; Common ; Adam Rex ;  Guildpact
18 ; Spelltithe Enforcer ; Creature - Elephant Wizard 3/3 ; 3WW ; Rare ; Greg Staples ;  Guildpact
19 ; Storm Herd ; Sorcery ; 8WW ; Rare ; Jim Nelson ;  Guildpact
20 ; To Arms! ; Instant ; 1W ; Uncommon ; Aleksi Briclot ;  Guildpact
21 ; Withstand ; Instant ; 2W ; Common ; Ron Spears ;  Guildpact
22 ; Atherplasm ; Creature - Illusion 1/1 ; 2UU ; Uncommon ; Nottsuo ;  Guildpact
23 ; Crystal Seer ; Creature - Vedalken Wizard 2/2 ; 4U ; Common ; Glen Angus ;  Guildpact
24 ; Drowned Rusalka ; Creature - Spirit 1/1 ; U ; Uncommon ; Dany Orizio ;  Guildpact
25 ; Frazzle ; Instant ; 3U ; Uncommon ; Pete Venters ;  Guildpact
26 ; Gigadrowse ; Instant ; U ; Common ; Alex Horley-Orlandelli ;  Guildpact
27 ; Hatching Plans ; Enchantment ; 1U ; Rare ; Heather Hudson ;  Guildpact
28 ; Infiltrator's Magemark ; Enchantment - Aura ; 2U ; Common ; Brandon Kitkouski ;  Guildpact
29 ; Leyline of Singularity ; Enchantment ; 2UU ; Rare ; Zoltan Boros & Gabor Szikszai ;  Guildpact
30 ; Mimeofacture ; Sorcery ; 3U ; Rare ; Dan Scott ;  Guildpact
31 ; Quicken ; Instant ; U ; Rare ; Aleksi Briclot ;  Guildpact
32 ; Repeal ; Instant ; XU ; Common ; Dan Scott ;  Guildpact
33 ; Runeboggle ; Instant ; 2U ; Common ; Ron Spencer ;  Guildpact
34 ; Sky Swallower ; Creature - Leviathan 8/8 ; 3UU ; Rare ; rk post ;  Guildpact
35 ; Steamcore Weird ; Creature - Weird 1/3 ; 3U ; Common ; Justin Norman ;  Guildpact
36 ; Stratozeppelid ; Creature - Beast 4/4 ; 4U ; Uncommon ; Ittoku ;  Guildpact
37 ; Thunderheads ; Instant ; 2U ; Uncommon ; Hideaki Takamura ;  Guildpact
38 ; Torch Drake ; Creature - Drake 2/2 ; 3U ; Common ; Daren Bader ;  Guildpact
39 ; Train of Thought ; Sorcery ; 1U ; Common ; Matt Thompson ;  Guildpact
40 ; Vacuumelt ; Sorcery ; 2U ; Uncommon ; Nottsuo ;  Guildpact
41 ; Vedalken Plotter ; Creature - Vedalken Wizard 1/1 ; 2U ; Uncommon ; Greg Staples ;  Guildpact
42 ; Vertigo Spawn ; Creature - Illusion 0/3 ; 1U ; Uncommon ; Ittoku ;  Guildpact
43 ; Abyssal Nocturnus ; Creature - Horror 2/2 ; 1BB ; Rare ; Jon Foster ;  Guildpact
44 ; Caustic Rain ; Sorcery ; 2BB ; Uncommon ; Luca Zontini ;  Guildpact
45 ; Cremate ; Instant ; B ; Common ; Paolo Parente ;  Guildpact
46 ; Cry of Contrition ; Sorcery ; B ; Common ; Daren Bader ;  Guildpact
47 ; Cryptwailing ; Enchantment ; 3B ; Uncommon ; Nick Percival ;  Guildpact
48 ; Daggerclaw Imp ; Creature - Imp 3/1 ; 2B ; Uncommon ; Pete Venters ;  Guildpact
49 ; Douse in Gloom ; Instant ; 2B ; Common ; Kev Walker ;  Guildpact
50 ; Exhumer Thrull ; Creature - Thrull 3/3 ; 5B ; Uncommon ; Warren Mahy ;  Guildpact
51 ; Hissing Miasma ; Enchantment ; 1BB ; Uncommon ; Ben Thompson ;  Guildpact
52 ; Leyline of the Void ; Enchantment ; 2BB ; Rare ; Adam Rex ;  Guildpact
53 ; Necromancer's Magemark ; Enchantment - Aura ; 2B ; Common ; Brandon Kitkouski ;  Guildpact
54 ; Orzhov Euthanist ; Creature - Human Assassin 2/2 ; 2B ; Common ; Zoltan Boros & Gabor Szikszai ;  Guildpact
55 ; Ostiary Thrull ; Creature - Thrull 2/2 ; 3B ; Common ; Ron Spencer ;  Guildpact
56 ; Plagued Rusalka ; Creature - Spirit 1/1 ; B ; Uncommon ; Alex Horley-Orlandelli ;  Guildpact
57 ; Poisonbelly Ogre ; Creature - Ogre Warrior 3/3 ; 4B ; Common ; Zoltan Boros & Gabor Szikszai ;  Guildpact
58 ; Restless Bones ; Creature - Skeleton 1/1 ; 2B ; Common ; Glenn Fabry ;  Guildpact
59 ; Revenant Patriarch ; Creature - Spirit 4/3 ; 4B ; Uncommon ; Nick Percival ;  Guildpact
60 ; Sanguine Praetor ; Creature - Avatar 7/5 ; 6BB ; Rare ; rk post ;  Guildpact
61 ; Seize the Soul ; Instant ; 2BB ; Rare ; Aleksi Briclot ;  Guildpact
62 ; Skeletal Vampire ; Creature - Vampire Skeleton 3/3 ; 4BB ; Rare ; Wayne Reynolds ;  Guildpact
63 ; Smogsteed Rider ; Creature - Human Wizard 2/2 ; 2BB ; Uncommon ; Alex Horley-Orlandelli ;  Guildpact
64 ; Bloodscale Prowler ; Creature - Viashino Warrior 3/1 ; 2R ; Common ; Lars Grant-West ;  Guildpact
65 ; Fencer's Magemark ; Enchantment - Aura ; 2R ; Common ; Brandon Kitkouski ;  Guildpact
66 ; Ghor-Clan Bloodscale ; Creature - Viashino Warrior 2/1 ; 3R ; Uncommon ; Paolo Parente ;  Guildpact
67 ; Hypervolt Grasp ; Enchantment - Aura ; 2R ; Uncommon ; Mark Romanoski ;  Guildpact
68 ; Leyline of Lightning ; Enchantment ; 2RR ; Rare ; Paolo Parente ;  Guildpact
69 ; Living Inferno ; Creature - Elemental 8/5 ; 6RR ; Rare ; John Avon ;  Guildpact
70 ; Ogre Savant ; Creature - Ogre Wizard 3/2 ; 4R ; Common ; Paolo Parente ;  Guildpact
71 ; Parallectric Feedback ; Instant ; 3R ; Rare ; Mitch Cotie ;  Guildpact
72 ; Pyromatics ; Instant ; 1R ; Common ; Glen Angus ;  Guildpact
73 ; Rabble-Rouser ; Creature - Goblin Shaman 1/1 ; 3R ; Uncommon ; Justin Norman ;  Guildpact
74 ; Scorched Rusalka ; Creature - Spirit 1/1 ; R ; Uncommon ; Luca Zontini ;  Guildpact
75 ; Shattering Spree ; Sorcery ; R ; Uncommon ; Pat Lee ;  Guildpact
76 ; Siege of Towers ; Sorcery ; 1R ; Rare ; Anthony S. Waters ;  Guildpact
77 ; Skarrgan Firebird ; Creature - Phoenix 3/3 ; 4RR ; Rare ; Kev Walker ;  Guildpact
78 ; Tin Street Hooligan ; Creature - Goblin Rogue 2/1 ; 1R ; Common ; Luca Zontini ;  Guildpact
79 ; Battering Wurm ; Creature - Wurm 4/3 ; 6G ; Uncommon ; Darrell Riche ;  Guildpact
