1 ; Disenchant ; (Missing!) ; 1W ; Special ; Brian Snoddy ;  Coldsnap Theme Decks
2 ; Kjeldoran Elite Guard ; (Missing!) 2/2 ; 3W ; Special ; Melissa Benson ;  Coldsnap Theme Decks
3 ; Kjeldoran Home Guard ; (Missing!) 1/6 ; 3W ; Special ; Andi Rusu ;  Coldsnap Theme Decks
4 ; Kjeldoran Pride ; (Missing!) ; 1W ; Special ; Kaja Foglio ;  Coldsnap Theme Decks
5 ; Reinforcements ; (Missing!) ; W ; Special ; Diana Vick ;  Coldsnap Theme Decks
6 ; Scars of the Veteran ; (Missing!) ; 4W ; Special ; Dan Frazier ;  Coldsnap Theme Decks
7 ; Swords to Plowshares ; (Missing!) ; W ; Special ; Kaja Foglio ;  Coldsnap Theme Decks
8 ; Binding Grasp ; (Missing!) ; 3U ; Special ; Ruth Thompson ;  Coldsnap Theme Decks
9 ; Brainstorm ; (Missing!) ; U ; Special ; Christopher Rush ;  Coldsnap Theme Decks
10 ; Browse ; (Missing!) ; 2UU ; Special ; Phil Foglio ;  Coldsnap Theme Decks
11 ; Essence Flare ; (Missing!) ; U ; Special ; Richard Kane-Ferguson ;  Coldsnap Theme Decks
12 ; Iceberg ; (Missing!) ; XUU ; Special ; Jeff A. Menges ;  Coldsnap Theme Decks
13 ; Lat-Nam's Legacy ; (Missing!) ; 1U ; Special ; Tom W‰nerstrand ;  Coldsnap Theme Decks
14 ; Mistfolk ; (Missing!) 1/2 ; UU ; Special ; Quinton Hoover ;  Coldsnap Theme Decks
15 ; Portent ; (Missing!) ; U ; Special ; Liz Danforth ;  Coldsnap Theme Decks
16 ; Snow Devil ; (Missing!) ; 1U ; Special ; Ken Meyer, Jr. ;  Coldsnap Theme Decks
17 ; Storm Elemental ; (Missing!) 3/4 ; 5U ; Special ; John Matson ;  Coldsnap Theme Decks
18 ; Viscerid Drone ; (Missing!) 1/2 ; 1U ; Special ; Heather Hudson ;  Coldsnap Theme Decks
19 ; Zuran Spellcaster ; (Missing!) 1/1 ; 2U ; Special ; Edward Beard, Jr. ;  Coldsnap Theme Decks
20 ; Ashen Ghoul ; (Missing!) 3/1 ; 3B ; Special ; Ron Spencer ;  Coldsnap Theme Decks
21 ; Balduvian Dead ; (Missing!) 2/3 ; 3B ; Special ; Mike Kimble ;  Coldsnap Theme Decks
22 ; Casting of Bones ; (Missing!) ; 2B ; Special ; Anson Maddocks ;  Coldsnap Theme Decks
23 ; Dark Banishing ; (Missing!) ; 2B ; Special ; Drew Tucker ;  Coldsnap Theme Decks
24 ; Dark Ritual ; (Missing!) ; B ; Special ; Justin Hampton ;  Coldsnap Theme Decks
25 ; Drift of the Dead ; (Missing!) */* ; 3B ; Special ; Brian Snoddy ;  Coldsnap Theme Decks
26 ; Gangrenous Zombies ; (Missing!) 2/2 ; 1BB ; Special ; Brian Snoddy ;  Coldsnap Theme Decks
27 ; Insidious Bookworms ; (Missing!) 1/1 ; B ; Special ; Greg Simanson ;  Coldsnap Theme Decks
28 ; Kjeldoran Dead ; (Missing!) 3/1 ; B ; Special ; Melissa Benson ;  Coldsnap Theme Decks
29 ; Legions of Lim-Dul ; (Missing!) 2/3 ; 1BB ; Special ; Anson Maddocks ;  Coldsnap Theme Decks
30 ; Phantasmal Fiend ; (Missing!) 1/5 ; 3B ; Special ; Scott Kirschner ;  Coldsnap Theme Decks
31 ; Soul Burn ; (Missing!) ; X2B ; Special ; Rob Alexander ;  Coldsnap Theme Decks
32 ; Death Spark ; (Missing!) ; R ; Special ; Mark Tedin ;  Coldsnap Theme Decks
33 ; Gorilla Shaman ; (Missing!) 1/1 ; R ; Special ; Anthony Waters ;  Coldsnap Theme Decks
34 ; Incinerate ; (Missing!) ; 1R ; Special ; Mark Poole ;  Coldsnap Theme Decks
35 ; Orcish Healer ; (Missing!) 1/1 ; RR ; Special ; Quinton Hoover ;  Coldsnap Theme Decks
36 ; Orcish Lumberjack ; (Missing!) 1/1 ; R ; Special ; Dan Frazier ;  Coldsnap Theme Decks
37 ; Aurochs ; (Missing!) 2/3 ; 3G ; Special ; Ken Meyer, Jr. ;  Coldsnap Theme Decks
