1 ; Ancestor's Chosen ; Creature - Cleric 4/4 ; 5WW ; Uncommon ; Pete Venters ;  Judgment
2 ; Aven Warcraft ; Instant ; 2W ; Uncommon ; Roger Raupp ;  Judgment
3 ; Battle Screech ; Sorcery ; 2WW ; Uncommon ; Randy Gallegos ;  Judgment
4 ; Battlewise Aven ; Creature - Bird Soldier 2/2 ; 3W ; Common ; Wayne England ;  Judgment
5 ; Benevolent Bodyguard ; Creature - Cleric 1/1 ; W ; Common ; Roger Raupp ;  Judgment
6 ; Border Patrol ; Creature - Nomad 1/6 ; 4W ; Common ; Roger Raupp ;  Judgment
7 ; Cagemail ; Enchant Creature ; 1W ; Common ; Scott M. Fischer ;  Judgment
8 ; Chastise ; Instant ; 3W ; Uncommon ; Carl Critchlow ;  Judgment
9 ; Commander Eesha ; Creature - Bird Soldier Legend 2/4 ; 2WW ; Rare ; Rebecca Guay ;  Judgment
10 ; Funeral Pyre ; Instant ; W ; Common ; Carl Critchlow ;  Judgment
11 ; Glory ; Creature - Incarnation 3/3 ; 3WW ; Rare ; Donato Giancola ;  Judgment
12 ; Golden Wish ; Sorcery ; 3WW ; Rare ; Alan Pollack ;  Judgment
13 ; Guided Strike ; Instant ; 1W ; Common ; Dave Dorman ;  Judgment
14 ; Lead Astray ; Instant ; 1W ; Common ; Adam Rex ;  Judgment
15 ; Nomad Mythmaker ; Creature - Cleric 2/2 ; 2W ; Rare ; Eric Peterson ;  Judgment
16 ; Phantom Flock ; Creature - Bird Soldier Spirit 0/0 ; 3WW ; Uncommon ; David Martin ;  Judgment
17 ; Phantom Nomad ; Creature - Nomad Spirit 0/0 ; 1W ; Common ; Jim Nelson ;  Judgment
18 ; Prismatic Strands ; Instant ; 2W ; Common ; Eric Peterson ;  Judgment
19 ; Pulsemage Advocate ; Creature - Cleric 1/3 ; 2W ; Rare ; Jeff Easley ;  Judgment
20 ; Ray of Revelation ; Instant ; 1W ; Common ; Doug Chaffee ;  Judgment
21 ; Selfless Exorcist ; Creature - Cleric 3/4 ; 3WW ; Rare ; Christopher Moeller ;  Judgment
22 ; Shieldmage Advocate ; Creature - Cleric 1/3 ; 2W ; Common ; Christopher Moeller ;  Judgment
23 ; Silver Seraph ; Creature - Angel 6/6 ; 5WWW ; Rare ; Matthew D. Wilson ;  Judgment
24 ; Solitary Confinement ; Enchantment ; 2W ; Rare ; Scott M. Fischer ;  Judgment
25 ; Soulcatchers' Aerie ; Enchantment ; 1W ; Uncommon ; Rob Alexander ;  Judgment
26 ; Spirit Cairn ; Enchantment ; 2W ; Uncommon ; Gary Ruddell ;  Judgment
27 ; Spurnmage Advocate ; Creature - Nomad 1/1 ; W ; Uncommon ; Ron Spears ;  Judgment
28 ; Suntail Hawk ; Creature - Bird 1/1 ; W ; Common ; Heather Hudson ;  Judgment
29 ; Test of Endurance ; Enchantment ; 2WW ; Rare ; Mike Ploog ;  Judgment
30 ; Trained Pronghorn ; Creature - Antelope 1/1 ; 1W ; Common ; John Matson ;  Judgment
31 ; Unquestioned Authority ; Enchant Creature ; 2W ; Uncommon ; Alex Horley-Orlandelli ;  Judgment
32 ; Valor ; Creature - Incarnation 2/2 ; 3W ; Uncommon ; Kev Walker ;  Judgment
33 ; Vigilant Sentry ; Creature - Nomad 2/2 ; 1WW ; Common ; Eric Peterson ;  Judgment
34 ; Aven Fogbringer ; Creature - Bird Wizard 2/1 ; 3U ; Common ; Edward P. Beard, Jr. ;  Judgment
35 ; Cephalid Constable ; Creature - Cephalid Wizard 1/1 ; 1UU ; Rare ; Alan Pollack ;  Judgment
36 ; Cephalid Inkshrouder ; Creature - Cephalid 2/1 ; 2U ; Uncommon ; Tony Szczudlo ;  Judgment
37 ; Cunning Wish ; Instant ; 2U ; Rare ; Jim Nelson ;  Judgment
38 ; Defy Gravity ; Instant ; U ; Common ; Ben Thompson ;  Judgment
39 ; Envelop ; Instant ; U ; Common ; Don Hazeltine ;  Judgment
40 ; Flash of Insight ; Instant ; X1U ; Uncommon ; Ben Thompson ;  Judgment
41 ; Grip of Amnesia ; Instant ; 1U ; Common ; Bradley Williams ;  Judgment
42 ; Hapless Researcher ; Creature - Wizard 1/1 ; U ; Common ; Ron Spears ;  Judgment
43 ; Keep Watch ; Instant ; 2U ; Common ; Fred Rahmqvist ;  Judgment
