1 ; Abomination ; Summon Abomination 2/6 ; 3BB ; Uncommon (U1) ; Mark Tedin ;  Legends
2 ; All Hallow's Eve ; Sorcery ; 2BB ; Rare (R1) ; Christopher Rush ;  Legends
3 ; Blight ; Enchant Land ; BB ; Uncommon (U1) ; Pete Venters ;  Legends
4 ; Carrion Ants ; Summon Ants 0/1 ; 2BB ; Rare (R1) ; Richard Thomas ;  Legends
5 ; Chains of Mephistopheles ; Enchantment ; 1B ; Rare (R1) ; Heather Hudson ;  Legends
6 ; Cosmic Horror ; Summon Horror 7/7 ; 3BBB ; Rare (R1) ; Jesper Myrfors ;  Legends
7 ; Cyclopean Mummy ; Summon Mummy 2/1 ; 1B ; Common (C2) ; Edward Beard, Jr. ;  Legends
8 ; Darkness ; Instant ; B ; Common (C1) ; Harold McNeill ;  Legends
9 ; Demonic Torment ; Enchant Creature ; 2B ; Uncommon (U1) ; Anson Maddocks ;  Legends
10 ; Evil Eye of Orms-by-Gore ; Summon Evil Eye 3/6 ; 4B ; Uncommon (U1) ; Jesper Myrfors ;  Legends
11 ; Fallen Angel ; Summon Angel 3/3 ; 3BB ; Uncommon (U1) ; Anson Maddocks ;  Legends
12 ; Ghosts of the Damned ; Summon Ghosts 0/2 ; 1BB ; Common (C2) ; Edward Beard, Jr. ;  Legends
13 ; Giant Slug ; Summon Slug 1/1 ; 1B ; Common (C2) ; Anson Maddocks ;  Legends
14 ; Glyph of Doom ; Instant ; B ; Common (C2) ; Susan Van Camp ;  Legends
15 ; Greed ; Enchantment ; 3B ; Rare (R1) ; Phil Foglio ;  Legends
16 ; Headless Horseman ; Summon Horseman 2/2 ; 2B ; Common (C1) ; Quinton Hoover ;  Legends
17 ; Hell Swarm ; Instant ; B ; Common (C1) ; Christopher Rush ;  Legends
18 ; Hellfire ; Sorcery ; 2BBB ; Rare (R1) ; Pete Venters ;  Legends
19 ; Hell's Caretaker ; Summon Hell's Caretaker 1/1 ; 3B ; Rare (R1) ; Sandra Everingham ;  Legends
20 ; Horror of Horrors ; Enchantment ; 3BB ; Uncommon (U1) ; Mark Tedin ;  Legends
21 ; Imprison ; Enchant Creature ; B ; Rare (R1) ; Christopher Rush ;  Legends
22 ; Infernal Medusa ; Summon Medusa 2/4 ; 3BB ; Uncommon (U1) ; Anson Maddocks ;  Legends
23 ; Jovial Evil ; Sorcery ; 2B ; Rare (R1) ; Christopher Rush ;  Legends
24 ; Lesser Werewolf ; Summon Lycanthrope 2/4 ; 3B ; Uncommon (U1) ; Quinton Hoover ;  Legends
25 ; Lost Soul ; Summon Lost Soul 2/1 ; 1BB ; Common (C2) ; Randy Asplund-Faith ;  Legends
26 ; Mold Demon ; Summon Mold Demon 6/6 ; 5BB ; Rare (R1) ; Jesper Myrfors ;  Legends
27 ; Nether Void ; Enchant World ; 3B ; Rare (R1) ; Harold McNeill ;  Legends
28 ; Pit Scorpion ; Summon Scorpion 1/1 ; 2B ; Common (C2) ; Scott Kirschner ;  Legends
29 ; Quagmire ; Enchantment ; 2B ; Uncommon (U1) ; Dan Frazier ;  Legends
30 ; Shimian Night Stalker ; Summon Night Stalker 4/4 ; 3BB ; Uncommon (U1) ; Jesper Myrfors ;  Legends
31 ; Spirit Shackle ; Enchant Creature ; BB ; Common (C1) ; Edward Beard, Jr. ;  Legends
32 ; Syphon Soul ; Sorcery ; 2B ; Common (C2) ; Melissa Benson ;  Legends
33 ; Takklemaggot ; Enchant Creature ; 2BB ; Uncommon (U1) ; Daniel Gelon ;  Legends
34 ; The Abyss ; Enchant World ; 3B ; Rare (R1) ; Pete Venters ;  Legends
35 ; The Wretched ; Summon Wretched 2/5 ; 3BB ; Rare (R1) ; Christopher Rush ;  Legends
36 ; Touch of Darkness ; Instant ; B ; Uncommon (U1) ; Pete Venters ;  Legends
37 ; Transmutation ; Instant ; 1B ; Common (C1) ; Susan Van Camp ;  Legends
38 ; Underworld Dreams ; Enchantment ; BBB ; Uncommon (U1) ; Julie Baroh ;  Legends
39 ; Vampire Bats ; Summon Bats 0/1 ; B ; Common (C2) ; Anson Maddocks ;  Legends
40 ; Walking Dead ; Summon Walking Dead 1/1 ; 1B ; Common (C1) ; Dan Frazier ;  Legends
41 ; Wall of Putrid Flesh ; Summon Wall 2/4 ; 2B ; Uncommon (U1) ; Richard Thomas ;  Legends
42 ; Wall of Shadows ; Summon Wall 0/1 ; 1BB ; Common (C2) ; Pete Venters ;  Legends
43 ; Wall of Tombstones ; Summon Wall 0/1 ; 1B ; Uncommon (U1) ; Dan Frazier ;  Legends
44 ; Acid Rain ; Sorcery ; 3U ; Rare (R1) ; NÈNÈ Thomas ;  Legends
45 ; Anti-Magic Aura ; Enchant Creature ; 2U ; Common (C1) ; Douglas Shuler ;  Legends
46 ; Azure Drake ; Summon Drake 2/4 ; 3U ; Uncommon (U1) ; Dan Frazier ;  Legends
47 ; Backfire ; Enchant Creature ; U ; Uncommon (U1) ; Brian Snoddy ;  Legends
48 ; Boomerang ; Instant ; UU ; Common (C2) ; Brian Snoddy ;  Legends
49 ; Brine Hag ; Summon Hag 2/2 ; 2UU ; Uncommon (U1) ; Quinton Hoover ;  Legends
50 ; Devouring Deep ; Summon Devouring Deep 1/2 ; 2U ; Common (C2) ; Liz Danforth ;  Legends
51 ; Dream Coat ; Enchant Creature ; U ; Uncommon (U1) ; Anthony Waters ;  Legends
52 ; Elder Spawn ; Summon Spawn 6/6 ; 4UUU ; Rare (R1) ; Jesper Myrfors ;  Legends
53 ; Enchantment Alteration ; Instant ; U ; Common (C1) ; Brian Snoddy ;  Legends
54 ; Energy Tap ; Sorcery ; U ; Common (C2) ; Daniel Gelon ;  Legends
55 ; Field of Dreams ; Enchant World ; U ; Rare (R1) ; Kaja Foglio ;  Legends
56 ; Flash Counter ; Interrupt ; 1U ; Common (C2) ; Harold McNeill ;  Legends
57 ; Flash Flood ; Instant ; U ; Common (C2) ; Tom W‰nerstrand ;  Legends
58 ; Force Spike ; Interrupt ; U ; Common (C2) ; Bryon Wackwitz ;  Legends
59 ; Gaseous Form ; Enchant Creature ; 2U ; Common (C1) ; Phil Foglio ;  Legends
60 ; Glyph of Delusion ; Instant ; U ; Common (C1) ; Susan Van Camp ;  Legends
61 ; In the Eye of Chaos ; Enchant World ; 2U ; Rare (R1) ; Brian Snoddy ;  Legends
62 ; Invoke Prejudice ; Enchantment ; UUUU ; Rare (R1) ; Harold McNeill ;  Legends
63 ; Juxtapose ; Sorcery ; 3U ; Rare (R1) ; Justin Hampton ;  Legends
64 ; Land Equilibrium ; Enchantment ; 2UU ; Rare (R1) ; Jesper Myrfors ;  Legends
65 ; Mana Drain ; Interrupt ; UU ; Uncommon (U1) ; Mark Tedin ;  Legends
66 ; Part Water ; Sorcery ; XXU ; Uncommon (U1) ; NÈNÈ Thomas ;  Legends
67 ; Psionic Entity ; Summon Entity 2/2 ; 4U ; Rare (R1) ; Susan Van Camp ;  Legends
68 ; Psychic Purge ; Sorcery ; U ; Common (C1) ; Susan Van Camp ;  Legends
69 ; Puppet Master ; Enchant Creature ; UUU ; Uncommon (U1) ; Sandra Everingham ;  Legends
70 ; Recall ; Sorcery ; XXU ; Rare (R1) ; Brian Snoddy ;  Legends
71 ; Relic Bind ; Enchant Artifact ; 2U ; Uncommon (U1) ; Christopher Rush ;  Legends
72 ; Remove Soul ; Interrupt ; 1U ; Common (C2) ; Brian Snoddy ;  Legends
73 ; Reset ; Interrupt ; UU ; Uncommon (U1) ; Nicola Leonard ;  Legends
74 ; Reverberation ; Instant ; 2UU ; Rare (R1) ; Justin Hampton ;  Legends
75 ; Sea Kings' Blessing ; Instant ; U ; Uncommon (U1) ; Randy Asplund-Faith ;  Legends
76 ; Segovian Leviathan ; Summon Leviathan 3/3 ; 4U ; Uncommon (U1) ; Melissa Benson ;  Legends
77 ; Silhouette ; Instant ; 1U ; Uncommon (U1) ; Kaja Foglio ;  Legends
78 ; Spectral Cloak ; Enchant Creature ; UU ; Uncommon (U1) ; Rob Alexander ;  Legends
79 ; Telekinesis ; Instant ; UU ; Rare (R1) ; Daniel Gelon ;  Legends
80 ; Teleport ; Instant ; UUU ; Rare (R1) ; Douglas Shuler ;  Legends
81 ; Time Elemental ; Summon Elemental 0/2 ; 2U ; Rare (R1) ; Amy Weber ;  Legends
82 ; Undertow ; Enchantment ; 2U ; Uncommon (U1) ; Randy Asplund-Faith ;  Legends
83 ; Venarian Gold ; Enchant Creature ; XUU ; Common (C1) ; Daniel Gelon ;  Legends
84 ; Wall of Vapor ; Summon Wall 0/1 ; 3U ; Common (C2) ; Richard Thomas ;  Legends
85 ; Wall of Wonder ; Summon Wall 1/5 ; 2UU ; Uncommon (U1) ; Richard Thomas ;  Legends
86 ; Zephyr Falcon ; Summon Falcon 1/1 ; 1U ; Common (C2) ; Heather Hudson ;  Legends
87 ; Aisling Leprechaun ; Summon Faerie 1/1 ; G ; Common (C1) ; Quinton Hoover ;  Legends
88 ; Arboria ; Enchant World ; 2GG ; Uncommon (U1) ; Daniel Gelon ;  Legends
89 ; Avoid Fate ; Interrupt ; G ; Common (C1) ; Phil Foglio ;  Legends
90 ; Barbary Apes ; Summon Apes 2/2 ; 1G ; Common (C1) ; Bryon Wackwitz ;  Legends
91 ; Cat Warriors ; Summon Cat Warriors 2/2 ; 1GG ; Common (C2) ; Melissa Benson ;  Legends
92 ; Cocoon ; Enchant Creature ; G ; Uncommon (U1) ; Mark Tedin ;  Legends
93 ; Concordant Crossroads ; Enchant World ; G ; Rare (R1) ; Amy Weber ;  Legends
94 ; Craw Giant ; Summon Giant 6/4 ; 3GGGG ; Uncommon (U1) ; Christopher Rush ;  Legends
95 ; Deadfall ; Enchantment ; 2G ; Uncommon (U1) ; NÈNÈ Thomas ;  Legends
96 ; Durkwood Boars ; Summon Boars 4/4 ; 4G ; Common (C2) ; Mike Kimble ;  Legends
97 ; Elven Riders ; Summon Riders 3/3 ; 3GG ; Rare (R1) ; Melissa A. Benson ;  Legends
98 ; Emerald Dragonfly ; Summon Dragonfly 1/1 ; 1G ; Common (C2) ; Quinton Hoover ;  Legends
99 ; Eureka ; Sorcery ; 2GG ; Rare (R1) ; Kaja Foglio ;  Legends
100 ; Fire Sprites ; Summon Faeries 1/1 ; 1G ; Common (C2) ; Julie Baroh ;  Legends
101 ; Floral Spuzzem ; Summon Spuzzem 2/2 ; 3G ; Uncommon (U1) ; Rob Alexander ;  Legends
102 ; Giant Turtle ; Summon Turtle 2/4 ; 1GG ; Common (C2) ; Jeff A. Menges ;  Legends
103 ; Glyph of Reincarnation ; Instant ; G ; Common (C1) ; Susan Van Camp ;  Legends
104 ; Hornet Cobra ; Summon Cobra 2/1 ; 1GG ; Common (C2) ; Sandra Everingham ;  Legends
105 ; Ichneumon Druid ; Summon Druid 1/1 ; 1GG ; Uncommon (U1) ; Melissa Benson ;  Legends
106 ; Killer Bees ; Summon Bees 0/1 ; 1GG ; Rare (R1) ; Phil Foglio ;  Legends
107 ; Living Plane ; Enchant World ; 2GG ; Rare (R1) ; Bryon Wackwitz ;  Legends
108 ; Master of the Hunt ; Summon Master 2/2 ; 2GG ; Rare (R1) ; Jeff A. Menges ;  Legends
109 ; Moss Monster ; Summon Monster 3/6 ; 3GG ; Common (C2) ; Jesper Myrfors ;  Legends
110 ; Pixie Queen ; Summon Pixie Queen 1/1 ; 2GG ; Rare (R1) ; Quinton Hoover ;  Legends
111 ; Pradesh Gypsies ; Summon Gypsies 1/1 ; 2G ; Uncommon (U1) ; Quinton Hoover ;  Legends
112 ; Rabid Wombat ; Summon Wombat 0/1 ; 2GG ; Uncommon (U1) ; Kaja Foglio ;  Legends
113 ; Radjan Spirit ; Summon Spirit 3/2 ; 3G ; Uncommon (U1) ; Christopher Rush ;  Legends
114 ; Rebirth ; Sorcery ; 3GGG ; Rare (R1) ; Mark Tedin ;  Legends
115 ; Reincarnation ; Instant ; 1GG ; Uncommon (U1) ; Edward Beard, Jr. ;  Legends
116 ; Revelation ; Enchant World ; G ; Rare (R1) ; Kaja Foglio ;  Legends
117 ; Rust ; Interrupt ; G ; Common (C2) ; Liz Danforth ;  Legends
118 ; Shelkin Brownie ; Summon Faerie 1/1 ; 1G ; Common (C1) ; Douglas Shuler ;  Legends
119 ; Storm Seeker ; Instant ; 3G ; Uncommon (U1) ; Mark Poole ;  Legends
120 ; Subdue ; Instant ; G ; Common (C1) ; Brian Snoddy ;  Legends
121 ; Sylvan Library ; Enchantment ; 1G ; Uncommon (U1) ; Harold McNeill ;  Legends
122 ; Sylvan Paradise ; Instant ; G ; Uncommon (U1) ; Randy Asplund-Faith ;  Legends
123 ; Typhoon ; Sorcery ; 2G ; Rare (R1) ; Anson Maddocks ;  Legends
124 ; Untamed Wilds ; Sorcery ; 2G ; Uncommon (U1) ; NÈNÈ Thomas ;  Legends
125 ; Whirling Dervish ; Summon Dervish 1/1 ; GG ; Uncommon (U1) ; Susan Van Camp ;  Legends
126 ; Willow Satyr ; Summon Satyr 1/1 ; 2GG ; Rare (R1) ; Jeff A. Menges ;  Legends
127 ; Winter Blast ; Sorcery ; XG ; Rare (R1) ; Kaja Foglio ;  Legends
128 ; Wolverine Pack ; Summon Wolverine Pack 2/4 ; 2GG ; Common (C2) ; Jeff A. Menges ;  Legends
129 ; Wood Elemental ; Summon Elemental 0/0 ; 3G ; Rare (R1) ; Brian Snoddy ;  Legends
130 ; Active Volcano ; Instant ; R ; Common (C2) ; Brian Snoddy ;  Legends
131 ; Arathi Berserker ; Summon Berserker 2/4 ; 2RRR ; Uncommon (U1) ; Melissa Benson ;  Legends
132 ; Backdraft ; Instant ; 1R ; Uncommon (U1) ; Brian Snoddy ;  Legends
133 ; Beasts of Bogardan ; Summon Beasts 3/3 ; 4R ; Uncommon (U1) ; Daniel Gelon ;  Legends
134 ; Blazing Effigy ; Summon Effigy 0/3 ; 1R ; Common (C2) ; Susan Van Camp ;  Legends
135 ; Blood Lust ; Instant ; 1R ; Uncommon (U1) ; Anson Maddocks ;  Legends
136 ; Caverns of Despair ; Enchant World ; 2RR ; Rare (R1) ; Harold McNeill ;  Legends
137 ; Chain Lightning ; Sorcery ; R ; Common (C2) ; Sandra Everingham ;  Legends
138 ; Crevasse ; Enchantment ; 2R ; Uncommon (U1) ; Rob Alexander ;  Legends
139 ; Crimson Manticore ; Summon Manticore 2/2 ; 2RR ; Rare (C2) ; Daniel Gelon ;  Legends
140 ; Disharmony ; Instant ; 2R ; Rare (R1) ; Phil Foglio ;  Legends
141 ; Dwarven Song ; Instant ; R ; Uncommon (C2) ; Dan Frazier ;  Legends
142 ; Eternal Warrior ; Enchant Creature ; R ; Uncommon (R1) ; Anson Maddocks ;  Legends
143 ; Falling Star ; Sorcery ; 2R ; Rare (U1) ; Douglas Shuler ;  Legends
144 ; Feint ; Instant ; R ; Common (U1) ; Brian Snoddy ;  Legends
145 ; Firestorm Phoenix ; Summon Phoenix 3/2 ; 4RR ; Rare (R1) ; Jeff A. Menges ;  Legends
146 ; Frost Giant ; Summon Giant 4/4 ; 3RRR ; Uncommon (C1) ; Daniel Gelon ;  Legends
147 ; Giant Strength ; Enchant Creature ; RR ; Common (R1) ; Justin Hampton ;  Legends
148 ; Glyph of Destruction ; Instant ; R ; Common (U1) ; Susan Van Camp ;  Legends
149 ; Gravity Sphere ; Enchant World ; 2R ; Rare (C2) ; Brian Snoddy ;  Legends
150 ; Hyperion Blacksmith ; Summon Smith 2/2 ; 1RR ; Uncommon (C2) ; Dan Frazier ;  Legends
151 ; Immolation ; Enchant Creature ; R ; Common (R1) ; Scott Kirschner ;  Legends
152 ; Kobold Drill Sergeant ; Summon Drill Sergeant 1/2 ; 1R ; Uncommon (U1) ; Julie Baroh ;  Legends
153 ; Kobold Overlord ; Summon Lord 1/2 ; 1R ; Rare (C1) ; Julie Baroh ;  Legends
154 ; Kobold Taskmaster ; Summon Taskmaster 1/2 ; 1R ; Uncommon (U1) ; Randy Asplund-Faith ;  Legends
155 ; Land's Edge ; Enchant World ; 1RR ; Rare (R1) ; Brian Snoddy ;  Legends
156 ; Mountain Yeti ; Summon Yeti 3/3 ; 2RR ; Uncommon (U1) ; Dan Frazier ;  Legends
157 ; Primordial Ooze ; Summon Ooze 1/1 ; R ; Uncommon (C2) ; Sandra Everingham ;  Legends
158 ; Pyrotechnics ; Sorcery ; 4R ; Common (R1) ; Anson Maddocks ;  Legends
159 ; Quarum Trench Gnomes ; Summon Gnomes 1/1 ; 3R ; Rare (U1) ; Dan Frazier ;  Legends
160 ; Raging Bull ; Summon Bull 2/2 ; 2R ; Common (U1) ; Randy Asplund-Faith ;  Legends
161 ; Spinal Villain ; Summon Villain 1/2 ; 2R ; Rare (C2) ; Anson Maddocks ;  Legends
162 ; Storm World ; Enchant World ; R ; Rare (R1) ; Christopher Rush ;  Legends
163 ; Tempest Efreet ; Summon Efreet 3/3 ; 1RRR ; Rare (C1) ; NÈNÈ Thomas ;  Legends
164 ; The Brute ; Enchant Creature ; 1R ; Common (R1) ; Mark Poole ;  Legends
165 ; Wall of Dust ; Summon Wall 1/4 ; 2R ; Uncommon (R1) ; Richard Thomas ;  Legends
166 ; Wall of Earth ; Summon Wall 0/6 ; 1R ; Common (R1) ; Richard Thomas ;  Legends
167 ; Wall of Heat ; Summon Wall 2/6 ; 2R ; Common (C1) ; Richard Thomas ;  Legends
168 ; Wall of Opposition ; Summon Wall 0/6 ; 3RR ; Rare (U1) ; Harold McNeill ;  Legends
169 ; Winds of Change ; Sorcery ; R ; Uncommon (C2) ; Justin Hampton ;  Legends
170 ; Akron Legionnaire ; Summon Legionnaire 8/4 ; 6WW ; Rare (C1) ; Mark Poole ;  Legends
171 ; Alabaster Potion ; Instant ; XWW ; Common (R1) ; Harold McNeill ;  Legends
172 ; Amrou Kithkin ; Summon Kithkin 1/1 ; WW ; Common (U1) ; Quinton Hoover ;  Legends
173 ; Angelic Voices ; Enchantment ; 2WW ; Rare (R1) ; Julie Baroh ;  Legends
174 ; Cleanse ; Sorcery ; 2WW ; Rare (C2) ; Phil Foglio ;  Legends
175 ; Clergy of the Holy Nimbus ; Summon Priest 1/1 ; W ; Common (C2) ; Daniel Gelon ;  Legends
176 ; D'Avenant Archer ; Summon Archer 1/2 ; 2W ; Common (R1) ; Douglas Shuler ;  Legends
177 ; Divine Intervention ; Enchantment ; 6WW ; Rare (R1) ; Amy Weber ;  Legends
178 ; Divine Offering ; Instant ; 1W ; Common (C2) ; Jeff A. Menges ;  Legends
179 ; Divine Transformation ; Enchant Creature ; 2WW ; Rare (C2) ; NÈNÈ Thomas ;  Legends
180 ; Elder Land Wurm ; Summon Wurm 5/5 ; 4WWW ; Rare (R1) ; Quinton Hoover ;  Legends
181 ; Enchanted Being ; Summon Being 2/2 ; 1WW ; Common (C2) ; Douglas Shuler ;  Legends
182 ; Equinox ; Enchant Land ; W ; Common (R1) ; Susan Van Camp ;  Legends
183 ; Fortified Area ; Enchantment ; 1WW ; Uncommon (R1) ; Randy Asplund-Faith ;  Legends
184 ; Glyph of Life ; Instant ; W ; Common (C1) ; Susan Van Camp ;  Legends
185 ; Great Defender ; Instant ; W ; Uncommon (C1) ; Mark Poole ;  Legends
186 ; Great Wall ; Enchantment ; 2W ; Uncommon (U1) ; Sandra Everingham ;  Legends
187 ; Greater Realm of Preservation ; Enchantment ; 1W ; Uncommon (C2) ; NÈNÈ Thomas ;  Legends
188 ; Heaven's Gate ; Instant ; W ; Uncommon (U1) ; Douglas Shuler ;  Legends
189 ; Holy Day ; Instant ; W ; Common (U1) ; Justin Hampton ;  Legends
190 ; Indestructible Aura ; Instant ; W ; Common (U1) ; Mark Poole ;  Legends
191 ; Infinite Authority ; Enchant Creature ; WWW ; Rare (U1) ; Douglas Shuler ;  Legends
192 ; Ivory Guardians ; Summon Guardians 3/3 ; 4WW ; Uncommon (C1) ; Melissa Benson ;  Legends
193 ; Keepers of the Faith ; Summon Keepers 2/3 ; 1WW ; Common (C2) ; Daniel Gelon ;  Legends
194 ; Kismet ; Enchantment ; 3W ; Uncommon (R1) ; Kaja Foglio ;  Legends
195 ; Land Tax ; Enchantment ; W ; Uncommon (U1) ; Brian Snoddy ;  Legends
