1 ; Ajani Goldmane ; Planeswalker - Ajani 4 ; 2WW ; Mythic Rare ; Aleksi Briclot ;  Magic 2011
2 ; Ajani's Mantra ; Enchantment ; 1W ; Common ; James Paick ;  Magic 2011
3 ; Ajani's Pridemate ; Creature - Cat Soldier 2/2 ; 1W ; Uncommon ; Svetlin Velinov ;  Magic 2011
4 ; Angelic Arbiter ; Creature - Angel 5/6 ; 5WW ; Rare ; Steve Argyle ;  Magic 2011
5 ; Armored Ascension ; Enchantment - Aura ; 3W ; Uncommon ; Jesper Ejsing ;  Magic 2011
6 ; Assault Griffin ; Creature - Griffin 3/2 ; 3W ; Common ; Jesper Ejsing ;  Magic 2011
7 ; Baneslayer Angel ; Creature - Angel 5/5 ; 3WW ; Mythic Rare ; Greg Staples ;  Magic 2011
8 ; Blinding Mage ; Creature - Human Wizard 1/2 ; 1W ; Common ; Eric Deschamps ;  Magic 2011
9 ; Celestial Purge ; Instant ; 1W ; Uncommon ; David Palumbo ;  Magic 2011
10 ; Cloud Crusader ; Creature - Human Knight 2/3 ; 2WW ; Common ; Aleksi Briclot ;  Magic 2011
11 ; Condemn ; Instant ; W ; Uncommon ; Daren Bader ;  Magic 2011
12 ; Day of Judgment ; Sorcery ; 2WW ; Rare ; Vincent Proce ;  Magic 2011
13 ; Elite Vanguard ; Creature - Human Soldier 2/1 ; W ; Uncommon ; Mark Tedin ;  Magic 2011
14 ; Excommunicate ; Sorcery ; 2W ; Common ; Matt Stewart ;  Magic 2011
15 ; Goldenglow Moth ; Creature - Insect 0/1 ; W ; Common ; Howard Lyon ;  Magic 2011
16 ; Holy Strength ; Enchantment - Aura ; W ; Common ; Terese Nielsen ;  Magic 2011
17 ; Honor of the Pure ; Enchantment ; 1W ; Rare ; Greg Staples ;  Magic 2011
18 ; Infantry Veteran ; Creature - Human Soldier 1/1 ; W ; Common ; Christopher Rush ;  Magic 2011
19 ; Inspired Charge ; Instant ; 2WW ; Common ; Wayne Reynolds ;  Magic 2011
20 ; Knight Exemplar ; Creature - Human Knight 2/2 ; 1WW ; Rare ; Jason Chan ;  Magic 2011
21 ; Leyline of Sanctity ; Enchantment ; 2WW ; Rare ; Ryan Pancoast ;  Magic 2011
22 ; Mighty Leap ; Instant ; 1W ; Common ; rk post ;  Magic 2011
23 ; Pacifism ; Enchantment - Aura ; 1W ; Common ; Robert Bliss ;  Magic 2011
24 ; Palace Guard ; Creature - Human Soldier 1/4 ; 2W ; Common ; Volkan Baga ;  Magic 2011
25 ; Roc Egg ; Creature - Bird 0/3 ; 2W ; Uncommon ; Paul Bonner ;  Magic 2011
26 ; Safe Passage ; Instant ; 2W ; Common ; Christopher Moeller ;  Magic 2011
27 ; Serra Angel ; Creature - Angel 4/4 ; 3WW ; Uncommon ; Greg Staples ;  Magic 2011
28 ; Serra Ascendant ; Creature - Human Monk 1/1 ; W ; Rare ; Anthony Palumbo ;  Magic 2011
29 ; Siege Mastodon ; Creature - Elephant 3/5 ; 4W ; Common ; Matt Cavotta ;  Magic 2011
30 ; Silence ; Instant ; W ; Rare ; Wayne Reynolds ;  Magic 2011
31 ; Silvercoat Lion ; Creature - Cat 2/2 ; 1W ; Common ; Terese Nielsen ;  Magic 2011
32 ; Solemn Offering ; Sorcery ; 2W ; Common ; Sam Wood ;  Magic 2011
33 ; Squadron Hawk ; Creature - Bird 1/1 ; 1W ; Common ; Rob Alexander ;  Magic 2011
34 ; Stormfront Pegasus ; Creature - Pegasus 2/1 ; 1W ; Common ; rk post ;  Magic 2011
35 ; Sun Titan ; Creature - Giant 6/6 ; 4WW ; Mythic Rare ; Todd Lockwood ;  Magic 2011
36 ; Tireless Missionaries ; Creature - Human Cleric 2/3 ; 4W ; Common ; Dave Kendall ;  Magic 2011
37 ; Vengeful Archon ; Creature - Archon 7/7 ; 4WWW ; Rare ; Greg Staples ;  Magic 2011
38 ; War Priest of Thune ; Creature - Human Cleric 2/2 ; 1W ; Uncommon ; Izzy ;  Magic 2011
39 ; White Knight ; Creature - Human Knight 2/2 ; WW ; Uncommon ; Christopher Moeller ;  Magic 2011
40 ; Wild Griffin ; Creature - Griffin 2/2 ; 2W ; Common ; Matt Cavotta ;  Magic 2011
41 ; Ather Adept ; Creature - Human Wizard 2/2 ; 1UU ; Common ; Eric Deschamps ;  Magic 2011
42 ; Air Servant ; Creature - Elemental 4/3 ; 4U ; Uncommon ; Lars Grant-West ;  Magic 2011
43 ; Alluring Siren ; Creature - Siren 1/1 ; 1U ; Uncommon ; Chippy ;  Magic 2011
44 ; Armored Cancrix ; Creature - Crab 2/5 ; 4U ; Common ; Tomasz Jedruszek ;  Magic 2011
45 ; Augury Owl ; Creature - Bird 1/1 ; 1U ; Common ; Jim Nelson ;  Magic 2011
46 ; Azure Drake ; Creature - Drake 2/4 ; 3U ; Common ; Janine Johnston ;  Magic 2011
47 ; Call to Mind ; Sorcery ; 2U ; Uncommon ; Terese Nielsen ;  Magic 2011
48 ; Cancel ; Instant ; 1UU ; Common ; David Palumbo ;  Magic 2011
49 ; Clone ; Creature - Shapeshifter 0/0 ; 3U ; Rare ; Kev Walker ;  Magic 2011
50 ; Cloud Elemental ; Creature - Elemental 2/3 ; 2U ; Common ; Michael Sutfin ;  Magic 2011
51 ; Conundrum Sphinx ; Creature - Sphinx 4/4 ; 2UU ; Rare ; Michael Komarck ;  Magic 2011
52 ; Diminish ; Instant ; U ; Common ; Eric Deschamps ;  Magic 2011
53 ; Flashfreeze ; Instant ; 1U ; Uncommon ; Brian Despain ;  Magic 2011
54 ; Foresee ; Sorcery ; 3U ; Common ; Ron Spears ;  Magic 2011
55 ; Frost Titan ; Creature - Giant 6/6 ; 4UU ; Mythic Rare ; Mike Bierek ;  Magic 2011
56 ; Harbor Serpent ; Creature - Serpent 5/5 ; 4UU ; Common ; Daarken ;  Magic 2011
57 ; Ice Cage ; Enchantment - Aura ; 1U ; Common ; Mike Bierek ;  Magic 2011
58 ; Jace Beleren ; Planeswalker - Jace 3 ; 1UU ; Mythic Rare ; Aleksi Briclot ;  Magic 2011
59 ; Jace's Erasure ; Enchantment ; 1U ; Common ; Jason Chan ;  Magic 2011
60 ; Jace's Ingenuity ; Instant ; 3UU ; Uncommon ; Igor Kieryluk ;  Magic 2011
61 ; Leyline of Anticipation ; Enchantment ; 2UU ; Rare ; Charles Urbach ;  Magic 2011
62 ; Mana Leak ; Instant ; 1U ; Common ; Howard Lyon ;  Magic 2011
