1;Accorder Paladin ;Creature - Human Knight 3/1 ;1W ;Uncommon ;Kekai Kotaki ;Mirrodin Besieged
2;Ardent Recruit ;Creature - Human Soldier 1/1 ;W ;Common ;Mike Bierek ;Mirrodin Besieged
3;Banishment Decree ;Instant ;3WW ;Common ;James Ryman ;Mirrodin Besieged
4;Choking Fumes ;Instant ;2W ;Uncommon ;Scott Chou ;Mirrodin Besieged
5;Divine Offering ;Instant ;1W ;Common ;Terese Nielsen ;Mirrodin Besieged
6;Frantic Salvage ;Instant ;3W ;Common ;Scott Chou ;Mirrodin Besieged
7;Gore Vassal ;Creature - Hound 2/1 ;2W ;Uncommon ;Matt Cavotta ;Mirrodin Besieged
8;Hero of Bladehold ;Creature - Human Knight 3/4 ;2WW ;Mythic Rare ;Austin Hsu ;Mirrodin Besieged
9;Kemba's Legion ;Creature - Cat Soldier 4/6 ;5WW ;Uncommon ;Anthony Francisco ;Mirrodin Besieged
10;Leonin Relic-Warder ;Creature - Cat Cleric 2/2 ;WW ;Uncommon ;Greg Staples ;Mirrodin Besieged
11;Leonin Skyhunter ;Creature - Cat Knight 2/2 ;WW ;Common ;Jana Schirmer & Johannes Voss ;Mirrodin Besieged
12;Loxodon Partisan ;Creature - Elephant Soldier 3/4 ;4W ;Common ;Matt Stewart ;Mirrodin Besieged
13;Master's Call ;Instant ;2W ;Common ;David Rapoza ;Mirrodin Besieged
14;Mirran Crusader ;Creature - Human Knight 2/2 ;1WW ;Rare ;Eric Deschamps ;Mirrodin Besieged
15;Phyrexian Rebirth ;Sorcery ;4WW ;Rare ;Scott Chou ;Mirrodin Besieged
16;Priests of Norn ;Creature - Cleric 1/4 ;2W ;Common ;Igor Kieryluk ;Mirrodin Besieged
17;Tine Shrike ;Creature - Bird 2/1 ;3W ;Common ;Adrian Smith ;Mirrodin Besieged
18;Victory's Herald ;Creature - Angel 4/4 ;3WWW ;Rare ;rk post ;Mirrodin Besieged
19;White Sun's Zenith ;Instant ;XWWW ;Rare ;Mike Bierek ;Mirrodin Besieged
20;Blue Sun's Zenith ;Instant ;XUUU ;Rare ;Izzy ;Mirrodin Besieged
21;Consecrated Sphinx ;Creature - Sphinx 4/6 ;4UU ;Mythic Rare ;Mark Zug ;Mirrodin Besieged
22;Corrupted Conscience ;Enchantment - Aura ;3UU ;Uncommon ;Jason Chan ;Mirrodin Besieged
23;Cryptoplasm ;Creature - Shapeshifter 2/2 ;1UU ;Rare ;Eric Deschamps ;Mirrodin Besieged
24;Distant Memories ;Sorcery ;2UU ;Rare ;Karl Kopinski ;Mirrodin Besieged
25;Fuel for the Cause ;Instant ;2UU ;Common ;Steven Belledin ;Mirrodin Besieged
26;Mirran Spy ;Creature - Drone 1/3 ;2U ;Common ;Dave Kendall ;Mirrodin Besieged
27;Mitotic Manipulation ;Sorcery ;1UU ;Rare ;Dan Scott ;Mirrodin Besieged
28;Neurok Commando ;Creature - Human Rogue 2/1 ;1UU ;Uncommon ;Matt Stewart ;Mirrodin Besieged
29;Oculus ;Creature - Homunculus 1/1 ;1U ;Common ;Dan Scott ;Mirrodin Besieged
30;Quicksilver Geyser ;Instant ;4U ;Common ;Erica Yang ;Mirrodin Besieged
31;Serum Raker ;Creature - Drake 3/2 ;2UU ;Common ;Austin Hsu ;Mirrodin Besieged
32;Spire Serpent ;Creature - Serpent 3/5 ;4U ;Common ;Johann Bodin ;Mirrodin Besieged
33;Steel Sabotage ;Instant ;U ;Common ;Daarken ;Mirrodin Besieged
34;Treasure Mage ;Creature - Human Wizard 2/2 ;2U ;Uncommon ;Ryan Pancoast ;Mirrodin Besieged
35;Turn the Tide ;Instant ;1U ;Common ;Jason Felix ;Mirrodin Besieged
36;Vedalken Anatomist ;Creature - Vedalken Wizard 1/2 ;2U ;Uncommon ;Greg Staples ;Mirrodin Besieged
37;Vedalken Infuser ;Creature - Vedalken Wizard 1/4 ;3U ;Uncommon ;Ryan Pancoast ;Mirrodin Besieged
38;Vivisection ;Sorcery ;3U ;Common ;Anthony Francisco ;Mirrodin Besieged
39;Black Sun's Zenith ;Sorcery ;XBB ;Rare ;Daniel Ljunggren ;Mirrodin Besieged
40;Caustic Hound ;Creature - Hound 4/4 ;5B ;Common ;Dave Allsop ;Mirrodin Besieged
41;Flensermite ;Creature - Gremlin 1/1 ;1B ;Common ;Dave Allsop ;Mirrodin Besieged
42;Flesh-Eater Imp ;Creature - Imp 2/2 ;3B ;Uncommon ;Johann Bodin ;Mirrodin Besieged
43;Go for the Throat ;Instant ;1B ;Uncommon ;David Rapoza ;Mirrodin Besieged
44;Gruesome Encore ;Sorcery ;2B ;Uncommon ;Adrian Smith ;Mirrodin Besieged
45;Horrifying Revelation ;Sorcery ;B ;Common ;Shelly Wan ;Mirrodin Besieged
46;Massacre Wurm ;Creature - Wurm 6/5 ;3BBB ;Mythic Rare ;Jason Chan ;Mirrodin Besieged
47;Morbid Plunder ;Sorcery ;1BB ;Common ;Mike Bierek ;Mirrodin Besieged
