1 ; Abyssal Hunter ; Summon Hunter 1/1 ; 3B ; Rare ; Steve Luke ;  Mirage
2 ; Ashen Powder ; Sorcery ; 2BB ; Rare ; Geofrey Darrow ;  Mirage
3 ; Barbed-Back Wurm ; Summon Wurm 4/3 ; 4B ; Uncommon ; Gary Leach ;  Mirage
4 ; Binding Agony ; Enchant Creature ; 1B ; Common ; Robert Bliss ;  Mirage
5 ; Blighted Shaman ; Summon Cleric 1/1 ; 1B ; Uncommon ; Ian Miller ;  Mirage
6 ; Bone Harvest ; Instant ; 2B ; Common ; Greg Simanson ;  Mirage
7 ; Breathstealer ; Summon Night Stalker 2/2 ; 2B ; Common ; Cliff Nielsen ;  Mirage
8 ; Cadaverous Knight ; Summon Knight 2/2 ; 2B ; Common ; Dermot Power ;  Mirage
9 ; Carrion ; Instant ; 1BB ; Rare ; Geofrey Darrow ;  Mirage
10 ; Catacomb Dragon ; Summon Dragon 4/4 ; 4BB ; Rare ; David O'Connor ;  Mirage
11 ; Choking Sands ; Sorcery ; 1BB ; Common ; Roger Raupp ;  Mirage
12 ; Crypt Cobra ; Summon Cobra 3/3 ; 3B ; Uncommon ; Ron Spencer ;  Mirage
13 ; Dark Banishing ; Instant ; 2B ; Common ; Dermot Power ;  Mirage
14 ; Dark Ritual ; Mana Source ; B ; Common ; John Coulthart ;  Mirage
15 ; Dirtwater Wraith ; Summon Wraith 1/3 ; 3B ; Common ; Steve Luke ;  Mirage
16 ; Drain Life ; Sorcery ; X1B ; Common ; Richard Kane Ferguson ;  Mirage
17 ; Dread Specter ; Summon Specter 2/2 ; 3B ; Uncommon ; Kathryn Rathke ;  Mirage
18 ; Ebony Charm ; Instant ; B ; Common ; Gerry Grace ;  Mirage
19 ; Enfeeblement ; Enchant Creature ; BB ; Common ; John Bolton ;  Mirage
20 ; Feral Shadow ; Summon Night Stalker 2/1 ; 2B ; Common ; Cliff Nielsen ;  Mirage
21 ; Fetid Horror ; Summon Shade 1/2 ; 3B ; Common ; Gary Leach ;  Mirage
22 ; Forbidden Crypt ; Enchantment ; 3BB ; Rare ; D. Alexander Gregory ;  Mirage
23 ; Forsaken Wastes ; Enchant World ; 2B ; Rare ; Kev Walker ;  Mirage
24 ; Grave Servitude ; Enchant Creature ; 1B ; Common ; Adrian Smith ;  Mirage
25 ; Gravebane Zombie ; Summon Zombie 3/2 ; 3B ; Common ; Gary Leach ;  Mirage
26 ; Harbinger of Night ; Summon Spirit 2/3 ; 2BB ; Rare ; Tom Kyffin ;  Mirage
27 ; Infernal Contract ; Sorcery ; BBB ; Rare ; Roger Raupp ;  Mirage
28 ; Kaervek's Hex ; Sorcery ; 3B ; Uncommon ; Ian Miller ;  Mirage
29 ; Mire Shade ; Summon Shade 1/1 ; 1B ; Uncommon ; Randy Gallegos ;  Mirage
30 ; Nocturnal Raid ; Instant ; 2BB ; Uncommon ; John Matson ;  Mirage
31 ; Painful Memories ; Sorcery ; 1B ; Uncommon ; John Coulthart ;  Mirage
32 ; Phyrexian Tribute ; Sorcery ; 2B ; Rare ; John Matson ;  Mirage
33 ; Purraj of Urborg ; Summon Legend 2/3 ; 3BB ; Rare ; John Matson ;  Mirage
