1 ; Angelic Favor ; Instant ; 3W ; Uncommon ; Paolo Parente ;  Nemesis
2 ; Avenger en-Dal ; Creature - Spellshaper 1/1 ; 1W ; Rare ; Ron Spencer ;  Nemesis
3 ; Blinding Angel ; Creature - Angel 2/4 ; 3WW ; Rare ; Todd Lockwood ;  Nemesis
4 ; Chieftain en-Dal ; Creature - Knight 2/2 ; 1WW ; Uncommon ; Orizio Daniele ;  Nemesis
5 ; Defender en-Vec ; Creature - Cleric 2/4 ; 3W ; Common ; Bradley Williams ;  Nemesis
6 ; Defiant Falcon ; Creature - Rebel Bird 1/1 ; 1W ; Common ; Heather Hudson ;  Nemesis
7 ; Defiant Vanguard ; Creature - Rebel 2/2 ; 2W ; Uncommon ; Pete Venters ;  Nemesis
8 ; Fanatical Devotion ; Enchantment ; 2W ; Common ; Massimilano Frezzato ;  Nemesis
9 ; Lashknife ; Enchant Creature ; 1W ; Common ; Hannibal King ;  Nemesis
10 ; Lawbringer ; Creature - Rebel 2/2 ; 2W ; Common ; Matt Cavotta ;  Nemesis
11 ; Lightbringer ; Creature - Rebel 2/2 ; 2W ; Common ; Paolo Parente ;  Nemesis
12 ; Lin Sivvi, Defiant Hero ; Creature - Rebel Legend 1/3 ; 1WW ; Rare ; rk post ;  Nemesis
13 ; Netter en-Dal ; Creature - Spellshaper 1/1 ; W ; Common ; Matt Cavotta ;  Nemesis
14 ; Noble Stand ; Enchantment ; 4W ; Uncommon ; Greg & Tim Hildebrandt ;  Nemesis
15 ; Off Balance ; Instant ; W ; Common ; Jeff Miracola ;  Nemesis
16 ; Oracle's Attendants ; Creature - Soldier 1/5 ; 3W ; Rare ; Orizio Daniele ;  Nemesis
17 ; Parallax Wave ; Enchantment ; 2WW ; Rare ; Greg Staples ;  Nemesis
18 ; Seal of Cleansing ; Enchantment ; 1W ; Common ; Christopher Moeller ;  Nemesis
19 ; Silkenfist Fighter ; Creature - Soldier 1/3 ; 1W ; Common ; Mark Brill ;  Nemesis
20 ; Silkenfist Order ; Creature - Soldier 3/5 ; 3WW ; Uncommon ; Greg & Tim Hildebrandt ;  Nemesis
21 ; Sivvi's Ruse ; Instant ; 2WW ; Uncommon ; Kev Walker ;  Nemesis
22 ; Sivvi's Valor ; Instant ; 2W ; Rare ; Jeff Miracola ;  Nemesis
23 ; Spiritual Asylum ; Enchantment ; 2WW ; Rare ; Matt Cavotta ;  Nemesis
24 ; Topple ; Sorcery ; 2W ; Common ; Daren Bader ;  Nemesis
25 ; Voice of Truth ; Creature - Angel 2/2 ; 3W ; Uncommon ; rk post ;  Nemesis
26 ; Accumulated Knowledge ; Instant ; 1U ; Common ; Randy Gallegos ;  Nemesis
27 ; Ather Barrier ; Enchantment ; 2U ; Rare ; David Martin ;  Nemesis
28 ; Air Bladder ; Enchant Creature ; U ; Common ; Donato Giancola ;  Nemesis
29 ; Cloudskate ; Creature - Illusion 2/2 ; 1U ; Common ; Carl Critchlow ;  Nemesis
30 ; Daze ; Instant ; 1U ; Common ; Matthew D. Wilson ;  Nemesis
31 ; Dominate ; Instant ; X1UU ; Uncommon ; Scott Hampton ;  Nemesis
32 ; Ensnare ; Instant ; 3U ; Uncommon ; Gao Yan ;  Nemesis
33 ; Infiltrate ; Instant ; U ; Common ; Nelson DeCastro ;  Nemesis
34 ; Jolting Merfolk ; Creature - Merfolk 2/2 ; 2UU ; Uncommon ; Glen Angus ;  Nemesis
35 ; Oraxid ; Creature - Beast 2/3 ; 3U ; Common ; Dave Dorman ;  Nemesis
36 ; Pale Moon ; Instant ; 1U ; Rare ; Pete Venters ;  Nemesis
37 ; Parallax Tide ; Enchantment ; 2UU ; Rare ; Carl Critchlow ;  Nemesis
38 ; Rising Waters ; Enchantment ; 3U ; Rare ; Scott M. Fischer ;  Nemesis
39 ; Rootwater Commando ; Creature - Merfolk 2/2 ; 2U ; Common ; Mark Tedin ;  Nemesis
40 ; Rootwater Thief ; Creature - Merfolk 1/2 ; 1U ; Rare ; Ron Spears ;  Nemesis
41 ; Seahunter ; Creature - Mercenary 2/2 ; 2UU ; Rare ; Heather Hudson ;  Nemesis
42 ; Seal of Removal ; Enchantment ; U ; Common ; Christopher Moeller ;  Nemesis
43 ; Sliptide Serpent ; Creature - Serpent 4/4 ; 4UU ; Rare ; Daren Bader ;  Nemesis
44 ; Sneaky Homunculus ; Creature - Illusion 1/1 ; 1U ; Common ; Scott M. Fischer ;  Nemesis
45 ; Stronghold Biologist ; Creature - Spellshaper 1/1 ; 2U ; Uncommon ; Terese Nielsen ;  Nemesis
46 ; Stronghold Machinist ; Creature - Spellshaper 1/1 ; 2U ; Uncommon ; Terese Nielsen ;  Nemesis
47 ; Stronghold Zeppelin ; Creature - Ship 3/3 ; 2UU ; Uncommon ; Arnie Swekel ;  Nemesis
48 ; Submerge ; Instant ; 4U ; Uncommon ; Mark Romanoski ;  Nemesis
49 ; Trickster Mage ; Creature - Spellshaper 1/1 ; U ; Common ; Alan Rabinowitz ;  Nemesis
50 ; Wandering Eye ; Creature - Illusion 1/3 ; 2U ; Common ; Sam Wood ;  Nemesis
51 ; Ascendant Evincar ; Creature - Legend 3/3 ; 4BB ; Rare ; Mark Zug ;  Nemesis
52 ; Battlefield Percher ; Creature - Bird 2/2 ; 3BB ; Uncommon ; Edward P. Beard, Jr. ;  Nemesis
