1 ; Aegis of Honor ; Enchantment ; W ; Rare ; Ron Spears ;  Odyssey
2 ; Ancestral Tribute ; Sorcery ; 5WW ; Rare ; Edward P. Beard, Jr. ;  Odyssey
3 ; Angelic Wall ; Creature - Wall 0/4 ; 1W ; Common ; John Avon ;  Odyssey
4 ; Animal Boneyard ; Enchant Land ; 2W ; Uncommon ; Edward P. Beard, Jr. ;  Odyssey
5 ; Auramancer ; Creature - Wizard 2/2 ; 2W ; Common ; Rebecca Guay ;  Odyssey
6 ; Aven Archer ; Creature - Bird Soldier 2/2 ; 3WW ; Uncommon ; Mark Zug ;  Odyssey
7 ; Aven Cloudchaser ; Creature - Bird Soldier 2/2 ; 3W ; Common ; Justin Sweet ;  Odyssey
8 ; Aven Flock ; Creature - Bird Soldier 2/3 ; 4W ; Common ; Greg & Tim Hildebrandt ;  Odyssey
9 ; Aven Shrine ; Enchantment ; 1WW ; Rare ; Wayne England ;  Odyssey
10 ; Balancing Act ; Sorcery ; 2WW ; Rare ; Scott M. Fischer ;  Odyssey
11 ; Beloved Chaplain ; Creature - Cleric 1/1 ; 1W ; Uncommon ; Darrell Riche ;  Odyssey
12 ; Blessed Orator ; Creature - Cleric 1/4 ; 3W ; Uncommon ; Terese Nielsen ;  Odyssey
13 ; Cantivore ; Creature - Lhurgoyf */* ; 1WW ; Rare ; Daren Bader ;  Odyssey
14 ; Cease-Fire ; Instant ; 2W ; Common ; Darrell Riche ;  Odyssey
15 ; Confessor ; Creature - Cleric 1/1 ; W ; Common ; John Avon ;  Odyssey
16 ; Dedicated Martyr ; Creature - Cleric 1/1 ; W ; Common ; Dave Dorman ;  Odyssey
17 ; Delaying Shield ; Enchantment ; 3W ; Rare ; Luca Zontini ;  Odyssey
18 ; Devoted Caretaker ; Creature - Cleric 1/2 ; W ; Rare ; Clyde Caldwell ;  Odyssey
19 ; Divine Sacrament ; Enchantment ; 1WW ; Rare ; Ray Lago ;  Odyssey
20 ; Dogged Hunter ; Creature - Nomad 1/1 ; 2W ; Rare ; rk post ;  Odyssey
21 ; Earnest Fellowship ; Enchantment ; 1W ; Rare ; Heather Hudson ;  Odyssey
22 ; Embolden ; Instant ; 2W ; Common ; Rebecca Guay ;  Odyssey
23 ; Gallantry ; Instant ; 1W ; Uncommon ; Mark Tedin ;  Odyssey
24 ; Graceful Antelope ; Creature - Antelope 1/4 ; 2WW ; Rare ; Heather Hudson ;  Odyssey
25 ; Hallowed Healer ; Creature - Cleric 1/1 ; 2W ; Common ; Ben Thompson ;  Odyssey
26 ; Karmic Justice ; Enchantment ; 2W ; Rare ; Ray Lago ;  Odyssey
27 ; Kirtar's Desire ; Enchant Creature ; W ; Common ; Pete Venters ;  Odyssey
28 ; Kirtar's Wrath ; Sorcery ; 4WW ; Rare ; Kev Walker ;  Odyssey
29 ; Lieutenant Kirtar ; Creature - Bird Soldier Legend 2/2 ; 1WW ; Rare ; Paolo Parente ;  Odyssey
30 ; Life Burst ; Instant ; 1W ; Common ; John Avon ;  Odyssey
31 ; Luminous Guardian ; Creature - Guardian 1/4 ; 3W ; Uncommon ; Terese Nielsen ;  Odyssey
32 ; Master Apothecary ; Creature - Cleric 2/2 ; WWW ; Rare ; Terese Nielsen ;  Odyssey
33 ; Mystic Crusader ; Creature - Nomad Mystic 2/1 ; 1WW ; Rare ; Kev Walker ;  Odyssey
34 ; Mystic Penitent ; Creature - Nomad Mystic 1/1 ; W ; Uncommon ; Larry Elmore ;  Odyssey
35 ; Mystic Visionary ; Creature - Nomad Mystic 2/1 ; 1W ; Common ; Matt Cavotta ;  Odyssey
36 ; Mystic Zealot ; Creature - Nomad Mystic 2/4 ; 3W ; Common ; Paolo Parente ;  Odyssey
37 ; Nomad Decoy ; Creature - Nomad 1/2 ; 2W ; Uncommon ; Pete Venters ;  Odyssey
38 ; Patrol Hound ; Creature - Hound 2/2 ; 1W ; Common ; Daren Bader ;  Odyssey
39 ; Pianna, Nomad Captain ; Creature - Nomad Legend 2/2 ; 1WW ; Rare ; D. Alexander Gregory ;  Odyssey
40 ; Pilgrim of Justice ; Creature - Cleric 1/3 ; 2W ; Common ; Orizio Daniele ;  Odyssey
41 ; Pilgrim of Virtue ; Creature - Cleric 1/3 ; 2W ; Common ; Massimilano Frezzato ;  Odyssey
42 ; Ray of Distortion ; Instant ; 3W ; Common ; Carl Critchlow ;  Odyssey
43 ; Resilient Wanderer ; Creature - Nomad 2/3 ; 2WW ; Uncommon ; Clyde Caldwell ;  Odyssey
44 ; Sacred Rites ; Instant ; W ; Common ; Bradley Williams ;  Odyssey
45 ; Second Thoughts ; Instant ; 4W ; Common ; Ray Lago ;  Odyssey
46 ; Shelter ; Instant ; 1W ; Common ; Christopher Moeller ;  Odyssey
47 ; Soulcatcher ; Creature - Bird Soldier 1/1 ; 1W ; Uncommon ; Ron Spencer ;  Odyssey
48 ; Sphere of Duty ; Enchantment ; 3W ; Uncommon ; Christopher Moeller ;  Odyssey
49 ; Sphere of Grace ; Enchantment ; 3W ; Uncommon ; Christopher Moeller ;  Odyssey
50 ; Sphere of Law ; Enchantment ; 3W ; Uncommon ; Christopher Moeller ;  Odyssey
51 ; Sphere of Reason ; Enchantment ; 3W ; Uncommon ; Christopher Moeller ;  Odyssey
52 ; Sphere of Truth ; Enchantment ; 3W ; Uncommon ; Christopher Moeller ;  Odyssey
53 ; Spiritualize ; Instant ; 2W ; Uncommon ; Christopher Moeller ;  Odyssey
54 ; Tattoo Ward ; Enchant Creature ; 2W ; Uncommon ; Ben Thompson ;  Odyssey
55 ; Testament of Faith ; Enchantment ; W ; Uncommon ; Roger Raupp ;  Odyssey
56 ; Tireless Tribe ; Creature - Nomad 1/1 ; W ; Common ; Carl Critchlow ;  Odyssey
57 ; Wayward Angel ; Creature - Angel Horror 4/4 ; 4WW ; Rare ; Mark Tedin ;  Odyssey
58 ; Aboshan, Cephalid Emperor ; Creature - Cephalid Legend 3/3 ; 4UU ; Rare ; Christopher Moeller ;  Odyssey
59 ; Aboshan's Desire ; Enchant Creature ; U ; Common ; Ciruelo ;  Odyssey
60 ; Ather Burst ; Instant ; 1U ; Common ; Adam Rex ;  Odyssey
61 ; Amugaba ; Creature - Illusion 6/6 ; 5UU ; Rare ; Heather Hudson ;  Odyssey
62 ; Aura Graft ; Instant ; 1U ; Uncommon ; Ray Lago ;  Odyssey
63 ; Aven Fisher ; Creature - Bird Soldier 2/2 ; 3U ; Common ; Christopher Moeller ;  Odyssey
64 ; Aven Smokeweaver ; Creature - Bird Soldier 2/3 ; 2UU ; Uncommon ; Kev Walker ;  Odyssey
65 ; Aven Windreader ; Creature - Bird Soldier Wizard 3/3 ; 3UU ; Common ; Greg & Tim Hildebrandt ;  Odyssey
66 ; Balshan Beguiler ; Creature - Wizard 1/1 ; 2U ; Uncommon ; Ray Lago ;  Odyssey
67 ; Balshan Griffin ; Creature - Griffin 3/2 ; 3UU ; Uncommon ; Wayne England ;  Odyssey
68 ; Bamboozle ; Sorcery ; 2U ; Uncommon ; Alan Pollack ;  Odyssey
69 ; Battle of Wits ; Enchantment ; 3UU ; Rare ; Mark Brill ;  Odyssey
70 ; Careful Study ; Sorcery ; U ; Common ; Scott M. Fischer ;  Odyssey
71 ; Cephalid Broker ; Creature - Cephalid 2/2 ; 3U ; Uncommon ; Dave Dorman ;  Odyssey
72 ; Cephalid Looter ; Creature - Cephalid 2/1 ; 2U ; Common ; Keith Garletts ;  Odyssey
73 ; Cephalid Retainer ; Creature - Cephalid 2/3 ; 2UU ; Rare ; Tony Szczudlo ;  Odyssey
74 ; Cephalid Scout ; Creature - Cephalid Wizard 1/1 ; 1U ; Common ; Alan Pollack ;  Odyssey
75 ; Cephalid Shrine ; Enchantment ; 1UU ; Rare ; Wayne England ;  Odyssey
76 ; Chamber of Manipulation ; Enchant Land ; 2UU ; Uncommon ; Wayne England ;  Odyssey
77 ; Cognivore ; Creature - Lhurgoyf */* ; 6UU ; Rare ; Adam Rex ;  Odyssey
78 ; Concentrate ; Sorcery ; 2UU ; Uncommon ; Glen Angus & Arnie Swekel ;  Odyssey
79 ; Cultural Exchange ; Sorcery ; 4UU ; Rare ; Daren Bader ;  Odyssey
80 ; Deluge ; Instant ; 2U ; Uncommon ; Wayne England ;  Odyssey
81 ; Dematerialize ; Sorcery ; 3U ; Common ; Mike Ploog ;  Odyssey
82 ; Divert ; Instant ; U ; Rare ; Christopher Moeller ;  Odyssey
83 ; Dreamwinder ; Creature - Serpent 4/3 ; 3U ; Common ; Wayne England ;  Odyssey
84 ; Escape Artist ; Creature - Wizard 1/1 ; 1U ; Common ; Scott M. Fischer ;  Odyssey
85 ; Extract ; Sorcery ; U ; Rare ; Matt Cavotta ;  Odyssey
86 ; Fervent Denial ; Instant ; 3UU ; Uncommon ; Scott M. Fischer ;  Odyssey
87 ; Immobilizing Ink ; Enchant Creature ; 1U ; Common ; Darrell Riche ;  Odyssey
88 ; Laquatus's Creativity ; Sorcery ; 4U ; Uncommon ; Don Hazeltine ;  Odyssey
89 ; Patron Wizard ; Creature - Wizard 2/2 ; UUU ; Rare ; Donato Giancola ;  Odyssey
90 ; Pedantic Learning ; Enchantment ; UU ; Rare ; Heather Hudson ;  Odyssey
91 ; Peek ; Instant ; U ; Common ; Adam Rex ;  Odyssey
