1 ; Akroma's Blessing ; Instant ; 2W ; Uncommon ; Adam Rex ;  Onslaught
2 ; Akroma's Vengeance ; Sorcery ; 4WW ; Rare ; Greg & Tim Hildebrandt ;  Onslaught
3 ; Ancestor's Prophet ; Creature - Cleric Lord 1/5 ; 4W ; Rare ; Kev Walker ;  Onslaught
4 ; Astral Slide ; Enchantment ; 2W ; Uncommon ; Ron Spears ;  Onslaught
5 ; Aura Extraction ; Instant ; 1W ; Uncommon ; Luca Zontini ;  Onslaught
6 ; Aurification ; Enchantment ; 2WW ; Rare ; Gary Ruddell ;  Onslaught
7 ; Aven Brigadier ; Creature - Bird Soldier 3/5 ; 3WWW ; Rare ; Greg Staples ;  Onslaught
8 ; Aven Soulgazer ; Creature - Bird Cleric 3/3 ; 3WW ; Uncommon ; John Avon ;  Onslaught
9 ; Battlefield Medic ; Creature - Cleric 1/1 ; 1W ; Common ; Matt Thompson ;  Onslaught
10 ; Catapult Master ; Creature - Soldier Lord 3/3 ; 3WW ; Rare ; Terese Nielsen ;  Onslaught
11 ; Catapult Squad ; Creature - Soldier 2/1 ; 1W ; Uncommon ; Brian Snoddy ;  Onslaught
12 ; Chain of Silence ; Instant ; 1W ; Uncommon ; Randy Gallegos ;  Onslaught
13 ; Circle of Solace ; Enchantment ; 3W ; Rare ; Greg & Tim Hildebrandt ;  Onslaught
14 ; Convalescent Care ; Enchantment ; 1WW ; Rare ; Greg & Tim Hildebrandt ;  Onslaught
15 ; Crowd Favorites ; Creature - Soldier 4/4 ; 6W ; Uncommon ; Roger Raupp ;  Onslaught
16 ; Crown of Awe ; Enchant Creature ; 1W ; Common ; Randy Elliott ;  Onslaught
17 ; Crude Rampart ; Creature - Wall 4/5 ; 3W ; Uncommon ; Sam Wood ;  Onslaught
18 ; Daru Cavalier ; Creature - Soldier 2/2 ; 3W ; Common ; Dany Orizio ;  Onslaught
19 ; Daru Healer ; Creature - Cleric 1/2 ; 2W ; Common ; Dany Orizio ;  Onslaught
20 ; Daru Lancer ; Creature - Soldier 3/4 ; 4WW ; Common ; Brian Snoddy ;  Onslaught
21 ; Daunting Defender ; Creature - Cleric 3/3 ; 4W ; Common ; Carl Critchlow ;  Onslaught
22 ; Dawning Purist ; Creature - Cleric 2/2 ; 2W ; Uncommon ; Brian Snoddy ;  Onslaught
23 ; Defensive Maneuvers ; Instant ; 3W ; Common ; Luca Zontini ;  Onslaught
24 ; Demystify ; Instant ; W ; Common ; Christopher Rush ;  Onslaught
25 ; Disciple of Grace ; Creature - Cleric 1/2 ; 1W ; Common ; Thomas M. Baxa ;  Onslaught
26 ; Dive Bomber ; Creature - Bird Soldier 2/2 ; 3W ; Common ; Randy Gallegos ;  Onslaught
27 ; Doubtless One ; Creature - Cleric Avatar */* ; 3W ; Uncommon ; Justin Sweet ;  Onslaught
28 ; Exalted Angel ; Creature - Angel 4/5 ; 4WW ; Rare ; Michael Sutfin ;  Onslaught
29 ; Foothill Guide ; Creature - Cleric 1/1 ; W ; Common ; Eric Peterson ;  Onslaught
