1 ; 1996 World Champion ; Summon Legend */* ; WUBRG ; Special ; Christopher Rush ;  Celebration Cards
2 ; Shichifukujin Dragon ; Summon Dragon 0/0 ; 6RRR ; Special ; Christopher Rush ;  Celebration Cards
3 ; Proposal ; Sorcery ; WWWW ; Special ; Quinton Hoover ;  Celebration Cards
4 ; Splendid Genesis ; Sorcery ; GGGG ; Special ; Monique Thirifay ;  Celebration Cards
5 ; Fraternal Exaltation ; Sorcery ; UUUU ; Special ; Susan Garfield ;  Celebration Cards
6 ; Robot Chicken ; Artifact Creature - Chicken Construct 2/2 ; 4 ; Special ; Robot Chicken ;  Celebration Cards
1 ; Arena ; Land ; ; Special ; Rob Alexander ;  Media Inserts
2 ; Sewers of Estark ; Instant ; 2BB ; Special ; Melissa Benson ;  Media Inserts
3 ; Windseeker Centaur ; Summon Centaur 2/2 ; 1RR ; Special ; Anson Maddocks ;  Media Inserts
4 ; Giant Badger ; Creature - Badger 2/2 ; 1GG ; Special ; Liz Danforth ;  Media Inserts
5 ; Mana Crypt ; Artifact ; 0 ; Special ; Mark Tedin ;  Media Inserts
6 ; Fireball ; Sorcery ; XR ; Special ; Mark Tedin ;  Media Inserts
7 ; Blue Elemental Blast ; Instant ; U ; Special ; Richard Thomas ;  Media Inserts
8 ; Nalathni Dragon ; Summon Dragon 1/1 ; 2RR ; Special ; Michael Whelan ;  Media Inserts
9 ; Scent of Cinder ; Sorcery ; 1R ; Special ; Carl Critchlow ;  Media Inserts
10 ; Lightning Hounds ; Creature - Hound 3/2 ; 2RR ; Special ; Andrew Robinson ;  Media Inserts
11 ; Spined Wurm ; Creature - Wurm 5/4 ; 4G ; Special ; Keith Parkinson ;  Media Inserts
12 ; Warmonger ; Creature - Minotaur Monger 3/3 ; 3R ; Special ; Heather Hudson ;  Media Inserts
13 ; Silver Drake ; Creature - Drake 3/3 ; 1WU ; Special ; Allan Pollack ;  Media Inserts
14 ; Phyrexian Rager ; Creature - Horror 2/2 ; 2B ; Special ; Mark Tedin ;  Media Inserts
18 ; Jace Beleren ; Planeswalker : - Jace 3 ; 1UU ; Special ; "Aleksi Briclot ;  Media Inserts
19 ; Garruk Wildspeaker ; Planeswalker - Garruk 3 ; 2GG ; Special ; Nils Hanim ;  Media Inserts
20 ; Brion Stoutarm ; Legendary Creature - Giant Warrior 4/4 ; 2WR ; Special ; Zoltan Boros & Gabor Szikszai ;  Media Inserts
21 ; Jaya Ballard, Task Mage ; Legendary Creature - Human Spellshaper 2/2 ; 1RR ; Special ; Matt Cavotta ;  Media Inserts
23 ; Broodmate Dragon ; Creature — Dragon 4/4 ; 3BRG ; Special ; Vance Kovacs ;  Media Inserts
24 ; Honor of the Pure ; Enchantment ; 1W ; Special ; Ralph Horsley ;  Media Inserts
25 ; Steward of Valeron ; Creature — Human Druid Knight 2/2 ; WG ; Special ; Greg Staples ;  Media Inserts
26 ; Day of Judgment ; Sorcery ; 2WW ; Special ; Kev Walker ;  Media Inserts
27 ; Celestial Colonnade ; Land ; ; Special ; Kekai Kotaki ;  Media Inserts
28 ; Retaliator Griffin ; Creature - Griffin 2/2 ; 1WRG ; Special ; Jesper Ejsing ;  Media Inserts
34 ; Kor Skyfisher ; Creature - Kor Soldier 2/3 ; 1W ; Special ; Dan Scott ;  Media Inserts
35 ; Guul Draz Assassin ; Creature - Vampire Assassin 1/1 ; B ; Special ; Jason A. Engle ;  Media Inserts
39 ; Nissa Revane ; Planeswalker - Nissa ; 2GG ; Special ; Jaime Jones ;  Media Inserts
40 ; Syphon Mind ; Sorcery ; 3B ; Special ; Jeff Easley ;  Media Inserts
42 ; Birds of Paradise ; Creature - Bird 0/1 ; G ; Special ; Terese Nielsen ;  Media Inserts
44 ; Memoricide ; Sorcery ; 3B ; Special ; Erica Yang ;  Media Inserts
46 ; Liliana Vess ; Planeswalker - Liliana 5 ; 3BB ; Special ; Kekai Kotaki ;  Media Inserts
51 ; Bloodthrone Vampire ; Creature - Vampire 1/1 ; 1B ; Special ; Steve Argyle ;  Media Inserts
52 ; Mirran Crusader ; Creature - Human Knight 2/2 ; 1WW ; Special ; Karl Kopinski ;  Media Inserts
1 ; Counterspell ; Instant ; UU ; Special ; Dom! ;  Legend Membership
2 ; Incinerate ; Instant ; 1R ; Special ; Jock ;  Legend Membership
