1 ; Aura Blast ; Instant ; 1W ; Common ; Ron Walotsky ;  Planeshift
2 ; Aurora Griffin ; Creature - Griffin 2/2 ; 3W ; Common ; Ciruelo ;  Planeshift
3 ; Disciple of Kangee ; Creature - Wizard 2/2 ; 2W ; Common ; Wayne England ;  Planeshift
4 ; Dominaria's Judgment ; Instant ; 2W ; Rare ; John Avon ;  Planeshift
5 ; Guard Dogs ; Creature - Hound 2/2 ; 3W ; Uncommon ; Mike Raabe ;  Planeshift
6 ; Heroic Defiance ; Enchant Creature ; 1W ; Common ; Terese Nielsen ;  Planeshift
7 ; Hobble ; Enchant Creature ; 2W ; Common ; Alan Pollack ;  Planeshift
8 ; Honorable Scout ; Creature - Soldier 1/1 ; W ; Common ; Mike Ploog ;  Planeshift
9 ; Lashknife Barrier ; Enchantment ; 2W ; Uncommon ; Paolo Parente ;  Planeshift
10 ; March of Souls ; Sorcery ; 4W ; Rare ; Marc Fishman ;  Planeshift
11 ; Orim's Chant ; Instant ; W ; Rare ; Kev Walker ;  Planeshift
12 ; Planeswalker's Mirth ; Enchantment ; 2W ; Rare ; John Matson ;  Planeshift
13 ; Pollen Remedy ; Instant ; W ; Common ; Ben Thompson ;  Planeshift
14 ; Samite Elder ; Creature - Cleric 1/2 ; 2W ; Rare ; Terese Nielsen ;  Planeshift
15 ; Samite Pilgrim ; Creature - Cleric 1/1 ; 1W ; Common ; D. J. Cleland-Hura ;  Planeshift
16 ; Sunscape Battlemage ; Creature - Wizard 2/2 ; 2W ; Uncommon ; Tony Szczudlo ;  Planeshift
17 ; Sunscape Familiar ; Creature - Wall 0/3 ; 1W ; Common ; Brian Despain ;  Planeshift
18 ; Surprise Deployment ; Instant ; 3W ; Uncommon ; Bradley Williams ;  Planeshift
19 ; Voice of All ; Creature - Angel 2/2 ; 2WW ; Uncommon ; rk post ;  Planeshift
20 ; Allied Strategies ; Sorcery ; 4U ; Uncommon ; Paolo Parente ;  Planeshift
21 ; Arctic Merfolk ; Creature - Merfolk 1/1 ; 1U ; Common ; Ron Spears ;  Planeshift
22 ; Confound ; Instant ; 1U ; Common ; Doug Chaffee ;  Planeshift
23 ; Dralnu's Pet ; Creature - Shapeshifter 2/2 ; 1UU ; Rare ; Glen Angus ;  Planeshift
24 ; Ertai's Trickery ; Instant ; U ; Uncommon ; Kev Walker ;  Planeshift
25 ; Escape Routes ; Enchantment ; 2U ; Common ; Marc Fishman ;  Planeshift
26 ; Gainsay ; Instant ; 1U ; Uncommon ; Roger Raupp ;  Planeshift
27 ; Hunting Drake ; Creature - Drake 2/2 ; 4U ; Common ; Wayne England ;  Planeshift
28 ; Planar Overlay ; Sorcery ; 2U ; Rare ; Ron Walotsky ;  Planeshift
29 ; Planeswalker's Mischief ; Enchantment ; 2U ; Rare ; Pete Venters ;  Planeshift
30 ; Rushing River ; Instant ; 2U ; Common ; Don Hazeltine ;  Planeshift
31 ; Sea Snidd ; Creature - Beast 3/3 ; 4U ; Common ; Chippy ;  Planeshift
