1 ; Auratouched Mage ; Creature - Human Wizard 3/3 ; 5W ; Uncommon ; Jeff Miracola ;  Ravnica: City of Guilds
2 ; Bathe in Light ; Instant ; 1W ; Uncommon ; Alex Horley-Orlandelli ;  Ravnica: City of Guilds
3 ; Benevolent Ancestor ; Creature - Spirit 0/4 ; 2W ; Common ; Nick Percival ;  Ravnica: City of Guilds
4 ; Blazing Archon ; Creature - Archon 5/6 ; 6WWW ; Rare ; Zoltan Boros & Gabor Szikszai ;  Ravnica: City of Guilds
5 ; Boros Fury-Shield ; Instant ; 2W ; Common ; Wayne England ;  Ravnica: City of Guilds
6 ; Caregiver ; Creature - Human Cleric 1/1 ; W ; Common ; William Simpson ;  Ravnica: City of Guilds
7 ; Chant of Vitu-Ghazi ; Instant ; 6WW ; Uncommon ; Stephen Tappin ;  Ravnica: City of Guilds
8 ; Concerted Effort ; Enchantment ; 2WW ; Rare ; Michael Sutfin ;  Ravnica: City of Guilds
9 ; Conclave Equenaut ; Creature - Human Soldier 3/3 ; 4WW ; Common ; Terese Nielsen ;  Ravnica: City of Guilds
10 ; Conclave Phalanx ; Creature - Human Soldier 2/4 ; 4W ; Uncommon ; Wayne Reynolds ;  Ravnica: City of Guilds
11 ; Conclave's Blessing ; Enchantment - Aura ; 3W ; Common ; Shishizaru ;  Ravnica: City of Guilds
12 ; Courier Hawk ; Creature - Bird 1/2 ; 1W ; Common ; Mark Poole ;  Ravnica: City of Guilds
13 ; Devouring Light ; Instant ; 1WW ; Uncommon ; Pete Venters ;  Ravnica: City of Guilds
14 ; Divebomber Griffin ; Creature - Griffin 3/2 ; 3WW ; Uncommon ; Kev Walker ;  Ravnica: City of Guilds
15 ; Dromad Purebred ; Creature - Beast 1/5 ; 4W ; Common ; Carl Critchlow ;  Ravnica: City of Guilds
16 ; Faith's Fetters ; Enchantment - Aura ; 3W ; Common ; Chippy ;  Ravnica: City of Guilds
17 ; Festival of the Guildpact ; Instant ; XW ; Uncommon ; Alex Horley-Orlandelli ;  Ravnica: City of Guilds
