1 ; Grim Lavamancer ; Creature - Human Wizard 1/1 ; R ; Rare ; Michael Sutfin ;  Premium Deck Series: Fire and Lightning
2 ; Jackal Pup ; Creature - Hound 2/1 ; R ; Uncommon ; Kev Walker ;  Premium Deck Series: Fire and Lightning
3 ; Mogg Fanatic ; Creature - Goblin 1/1 ; R ; Uncommon ; Brom ;  Premium Deck Series: Fire and Lightning
4 ; Spark Elemental ; Creature - Elemental 3/1 ; R ; Uncommon ; John Avon ;  Premium Deck Series: Fire and Lightning
5 ; Figure of Destiny ; Creature - Kithkin 1/1 ; {R/W} ; Rare ; Scott M. Fischer ;  Premium Deck Series: Fire and Lightning
6 ; Hellspark Elemental ; Creature - Elemental 3/1 ; 1R ; Uncommon ; Justin Sweet ;  Premium Deck Series: Fire and Lightning
7 ; Keldon Marauders ; Creature - Human Warrior 3/3 ; 1R ; Common ; Alex Horley-Orlandelli ;  Premium Deck Series: Fire and Lightning
8 ; Mogg Flunkies ; Creature - Goblin 3/3 ; 1R ; Common ; Brom ;  Premium Deck Series: Fire and Lightning
9 ; Cinder Pyromancer ; Creature - Elemental Shaman 0/1 ; 2R ; Common ; Greg Staples ;  Premium Deck Series: Fire and Lightning
10 ; Jaya Ballard, Task Mage ; Legendary Creature - Human Spellshaper 2/2 ; 1RR ; Rare ; Matt Cavotta ;  Premium Deck Series: Fire and Lightning
11 ; Vulshok Sorcerer ; Creature - Human Shaman 1/1 ; 1RR ; Common ; rk post ;  Premium Deck Series: Fire and Lightning
12 ; Ball Lightning ; Creature - Elemental 6/1 ; RRR ; Rare ; Trevor Claxton ;  Premium Deck Series: Fire and Lightning
13 ; Boggart Ram-Gang ; Creature - Goblin Warrior 3/3 ; {R/G}{R/G}{R/G} ; Uncommon ; Dave Allsop ;  Premium Deck Series: Fire and Lightning
14 ; Keldon Champion ; Creature - Human Barbarian 3/2 ; 2RR ; Uncommon ; Mark Tedin ;  Premium Deck Series: Fire and Lightning
15 ; Fire Servant ; Creature - Elemental 4/3 ; 3RR ; Uncommon ; Ryan Yee ;  Premium Deck Series: Fire and Lightning
16 ; Chain Lightning ; Sorcery ; R ; Common ; Christopher Moeller ;  Premium Deck Series: Fire and Lightning
17 ; Lightning Bolt ; Instant ; R ; Common ; Christopher Moeller ;  Premium Deck Series: Fire and Lightning
18 ; Price of Progress ; Instant ; 1R ; Uncommon ; Richard Kane Ferguson ;  Premium Deck Series: Fire and Lightning
19 ; Thunderbolt ; Instant ; 1R ; Common ; Dylan Martens ;  Premium Deck Series: Fire and Lightning
20 ; Reverberate ; Instant ; RR ; Rare ; jD ;  Premium Deck Series: Fire and Lightning
21 ; Browbeat ; Sorcery ; 2R ; Uncommon ; Mark Tedin ;  Premium Deck Series: Fire and Lightning
22 ; Flames of the Blood Hand ; Instant ; 2R ; Uncommon ; Aleksi Briclot ;  Premium Deck Series: Fire and Lightning
23 ; Hammer of Bogardan ; Sorcery ; 1RR ; Rare ; Ron Spencer ;  Premium Deck Series: Fire and Lightning
24 ; Pillage ; Sorcery ; 1RR ; Uncommon ; Bradley Williams ;  Premium Deck Series: Fire and Lightning
25 ; Sudden Impact ; Instant ; 3R ; Uncommon ; Wayne Reynolds ;  Premium Deck Series: Fire and Lightning
26 ; Fireblast ; Instant ; 4RR ; Common ; Michael Danza ;  Premium Deck Series: Fire and Lightning
27 ; Fireball ; Sorcery ; XR ; Uncommon ; Dave Dorman ;  Premium Deck Series: Fire and Lightning
28 ; Barbarian Ring ; Land ; ; Uncommon ; John Avon ;  Premium Deck Series: Fire and Lightning
29 ; Ghitu Encampment ; Land ; ; Uncommon ; John Avon ;  Premium Deck Series: Fire and Lightning
30 ; Teetering Peaks ; Land ; ; Common ; Fred Fields ;  Premium Deck Series: Fire and Lightning
31 ; Mountain ; Basic Land - Mountain ; ; Land ; John Avon ;  Premium Deck Series: Fire and Lightning
32 ; Mountain ; Basic Land - Mountain ; ; Land ; Aleksi Briclot ;  Premium Deck Series: Fire and Lightning
33 ; Mountain ; Basic Land - Mountain ; ; Land ; Aleksi Briclot ;  Premium Deck Series: Fire and Lightning
34 ; Mountain ; Basic Land - Mountain ; ; Land ; Richard Wright ;  Premium Deck Series: Fire and Lightning
