1 ; All Is Dust ; Tribal Sorcery - Eldrazi ; 7 ; Mythic Rare ; Jason Felix ;  Rise of the Eldrazi
2 ; Artisan of Kozilek ; Creature - Eldrazi 10/9 ; 9 ; Uncommon ; Jason Felix ;  Rise of the Eldrazi
3 ; Eldrazi Conscription ; Tribal Enchantment - Eldrazi Aura ; 8 ; Rare ; Jaime Jones ;  Rise of the Eldrazi
4 ; Emrakul, the Aeons Torn ; Legendary Creature - Eldrazi 15/15 ; 15 ; Mythic Rare ; Mark Tedin ;  Rise of the Eldrazi
5 ; Hand of Emrakul ; Creature - Eldrazi 7/7 ; 9 ; Common ; Chippy ;  Rise of the Eldrazi
6 ; Kozilek, Butcher of Truth ; Legendary Creature - Eldrazi 12/12 ; 10 ; Mythic Rare ; Michael Komarck ;  Rise of the Eldrazi
7 ; It That Betrays ; Creature - Eldrazi 11/11 ; 12 ; Rare ; Tomasz Jedruszek ;  Rise of the Eldrazi
8 ; Not of This World ; Tribal Instant - Eldrazi ; 7 ; Uncommon ; Izzy ;  Rise of the Eldrazi
9 ; Pathrazer of Ulamog ; Creature - Eldrazi 9/9 ; 11 ; Uncommon ; Austin Hsu ;  Rise of the Eldrazi
10 ; Skittering Invasion ; Tribal Sorcery - Eldrazi ; 7 ; Uncommon ; Eric Deschamps ;  Rise of the Eldrazi
11 ; Spawnsire of Ulamog ; Creature - Eldrazi 7/11 ; 10 ; Rare ; Izzy ;  Rise of the Eldrazi
12 ; Ulamog, the Infinite Gyre ; Legendary Creature - Eldrazi 10/10 ; 11 ; Mythic Rare ; Aleksi Briclot ;  Rise of the Eldrazi
13 ; Ulamog's Crusher ; Creature - Eldrazi 8/8 ; 8 ; Common ; Todd Lockwood ;  Rise of the Eldrazi
14 ; Affa Guard Hound ; Creature - Hound 2/2 ; 2W ; Uncommon ; Ryan Pancoast ;  Rise of the Eldrazi
15 ; Caravan Escort ; Creature - Human Knight 1/1 ; W ; Common ; Goran Josic ;  Rise of the Eldrazi
16 ; Dawnglare Invoker ; Creature - Kor Wizard 2/1 ; 2W ; Common ; Steve Argyle ;  Rise of the Eldrazi
17 ; Deathless Angel ; Creature - Angel 5/7 ; 4WW ; Rare ; Johann Bodin ;  Rise of the Eldrazi
18 ; Demystify ; Instant ; W ; Common ; Véronique Meignaud ;  Rise of the Eldrazi
19 ; Eland Umbra ; Enchantment - Aura ; 1W ; Common ; Howard Lyon ;  Rise of the Eldrazi
20 ; Emerge Unscathed ; Instant ; W ; Uncommon ; Steve Argyle ;  Rise of the Eldrazi
21 ; Gideon Jura ; Planeswalker - Gideon ; 3WW ; Mythic Rare ; Aleksi Briclot ;  Rise of the Eldrazi
22 ; Glory Seeker ; Creature - Human Soldier 2/2 ; 1W ; Common ; Matt Cavotta ;  Rise of the Eldrazi
23 ; Guard Duty ; Enchantment - Aura ; W ; Common ; Karl Kopinski ;  Rise of the Eldrazi
24 ; Harmless Assault ; Instant ; 2WW ; Common ; Chippy ;  Rise of the Eldrazi
25 ; Hedron-Field Purists ; Creature - Human Cleric 0/3 ; 2W ; Rare ; Scott Chou ;  Rise of the Eldrazi
26 ; Hyena Umbra ; Enchantment - Aura ; W ; Common ; Howard Lyon ;  Rise of the Eldrazi
27 ; Ikiral Outrider ; Creature - Human Soldier 1/2 ; 1W ; Common ; Kekai Kotaki ;  Rise of the Eldrazi
28 ; Kabira Vindicator ; Creature - Human Knight 2/4 ; 3W ; Uncommon ; Steven Belledin ;  Rise of the Eldrazi
29 ; Knight of Cliffhaven ; Creature - Kor Knight 2/2 ; 1W ; Common ; Matt Cavotta ;  Rise of the Eldrazi
30 ; Kor Line-Slinger ; Creature - Kor Scout 0/1 ; 1W ; Common ; Steve Prescott ;  Rise of the Eldrazi
31 ; Kor Spiritdancer ; Creature - Kor Wizard 0/2 ; 1W ; Rare ; Scott Chou ;  Rise of the Eldrazi
32 ; Lightmine Field ; Enchantment ; 2WW ; Rare ; Eric Deschamps ;  Rise of the Eldrazi
33 ; Linvala, Keeper of Silence ; Legendary Creature - Angel 3/4 ; 2WW ; Mythic Rare ; Igor Kieryluk ;  Rise of the Eldrazi
34 ; Lone Missionary ; Creature - Kor Monk 2/1 ; 1W ; Common ; Svetlin Velinov ;  Rise of the Eldrazi
35 ; Luminous Wake ; Enchantment - Aura ; 2W ; Uncommon ; Mike Bierek ;  Rise of the Eldrazi
36 ; Makindi Griffin ; Creature - Griffin 2/4 ; 3W ; Common ; Izzy ;  Rise of the Eldrazi
37 ; Mammoth Umbra ; Enchantment - Aura ; 4W ; Uncommon ; Howard Lyon ;  Rise of the Eldrazi
38 ; Near-Death Experience ; Enchantment ; 2WWW ; Rare ; Dan Scott ;  Rise of the Eldrazi
39 ; Nomads' Assembly ; Sorcery ; 4WW ; Rare ; Erica Yang ;  Rise of the Eldrazi
40 ; Oust ; Sorcery ; W ; Uncommon ; Mike Bierek ;  Rise of the Eldrazi
41 ; Puncturing Light ; Instant ; 1W ; Common ; Zoltan Boros & Gabor Szikszai ;  Rise of the Eldrazi
42 ; Repel the Darkness ; Instant ; 2W ; Common ; Scott Chou ;  Rise of the Eldrazi
43 ; Smite ; Instant ; W ; Common ; Cyril Van Der Haegen ;  Rise of the Eldrazi
44 ; Soul's Attendant ; Creature - Human Cleric 1/1 ; W ; Common ; Steve Prescott ;  Rise of the Eldrazi
45 ; Soulbound Guardians ; Creature - Kor Spirit 4/5 ; 4W ; Uncommon ; Erica Yang ;  Rise of the Eldrazi
46 ; Stalwart Shield-Bearers ; Creature - Human Soldier 0/3 ; 1W ; Common ; Austin Hsu ;  Rise of the Eldrazi
47 ; Student of Warfare ; Creature - Human Knight 1/1 ; W ; Rare ; Volkan Baga ;  Rise of the Eldrazi
48 ; Survival Cache ; Sorcery ; 2W ; Uncommon ; Scott Chou ;  Rise of the Eldrazi
49 ; Time of Heroes ; Enchantment ; 1W ; Uncommon ; Kekai Kotaki ;  Rise of the Eldrazi
50 ; Totem-Guide Hartebeest ; Creature - Antelope 2/5 ; 4W ; Common ; John Avon ;  Rise of the Eldrazi
51 ; Transcendent Master ; Creature - Human Cleric Avatar 3/3 ; 1WW ; Mythic Rare ; Steven Belledin ;  Rise of the Eldrazi
52 ; Umbra Mystic ; Creature - Human Wizard 2/2 ; 2W ; Rare ; Matt Stewart ;  Rise of the Eldrazi
53 ; Wall of Omens ; Creature - Wall 0/4 ; 1W ; Uncommon ; James Paick ;  Rise of the Eldrazi
54 ; Aura Finesse ; Instant ; U ; Common ; Howard Lyon ;  Rise of the Eldrazi
55 ; Cast Through Time ; Enchantment ; 4UUU ; Mythic Rare ; Zoltan Boros & Gabor Szikszai ;  Rise of the Eldrazi
56 ; Champion's Drake ; Creature - Drake 1/1 ; 1U ; Common ; Lars Grant-West ;  Rise of the Eldrazi
57 ; Coralhelm Commander ; Creature - Merfolk Soldier 2/2 ; UU ; Rare ; Jaime Jones ;  Rise of the Eldrazi
58 ; Crab Umbra ; Enchantment - Aura ; U ; Uncommon ; Christopher Moeller ;  Rise of the Eldrazi
59 ; Deprive ; Instant ; UU ; Common ; Izzy ;  Rise of the Eldrazi
60 ; Distortion Strike ; Sorcery ; U ; Common ; Goran Josic ;  Rise of the Eldrazi
61 ; Domestication ; Enchantment - Aura ; 2UU ; Uncommon ; Jesper Ejsing ;  Rise of the Eldrazi
62 ; Dormant Gomazoa ; Creature - Jellyfish 5/5 ; 1UU ; Rare ; Chris Rahn ;  Rise of the Eldrazi
63 ; Drake Umbra ; Enchantment - Aura ; 4U ; Uncommon ; Howard Lyon ;  Rise of the Eldrazi
64 ; Echo Mage ; Creature - Human Wizard 2/3 ; 1UU ; Rare ; Matt Stewart ;  Rise of the Eldrazi
65 ; Eel Umbra ; Enchantment - Aura ; 1U ; Common ; Howard Lyon ;  Rise of the Eldrazi
66 ; Enclave Cryptologist ; Creature - Merfolk Wizard 0/1 ; U ; Uncommon ; Igor Kieryluk ;  Rise of the Eldrazi
67 ; Fleeting Distraction ; Instant ; U ; Common ; Kieran Yanner ;  Rise of the Eldrazi
68 ; Frostwind Invoker ; Creature - Merfolk Wizard 3/3 ; 4U ; Common ; Svetlin Velinov ;  Rise of the Eldrazi
69 ; Gravitational Shift ; Enchantment ; 3UU ; Rare ; Svetlin Velinov ;  Rise of the Eldrazi
70 ; Guard Gomazoa ; Creature - Jellyfish 1/3 ; 2U ; Uncommon ; Rob Alexander ;  Rise of the Eldrazi
71 ; Hada Spy Patrol ; Creature - Human Rogue 1/1 ; 1U ; Uncommon ; Zoltan Boros & Gabor Szikszai ;  Rise of the Eldrazi
72 ; Halimar Wavewatch ; Creature - Merfolk Soldier 0/3 ; 1U ; Common ; Matt Stewart ;  Rise of the Eldrazi
73 ; Jwari Scuttler ; Creature - Crab 2/3 ; 2U ; Common ; Andrew Robinson ;  Rise of the Eldrazi
74 ; Lay Bare ; Instant ; 2UU ; Common ; Chippy ;  Rise of the Eldrazi
75 ; Lighthouse Chronologist ; Creature - Human Wizard 1/3 ; 1U ; Mythic Rare ; Steven Belledin ;  Rise of the Eldrazi
76 ; Merfolk Observer ; Creature - Merfolk Rogue 2/1 ; 1U ; Common ; Anthony Francisco ;  Rise of the Eldrazi
