1 ; Ageless Sentinels ; Creature - Wall 4/4 ; 3W ; Rare ; Tony Szczudlo ;  Scourge
2 ; Astral Steel ; Instant ; 2W ; Common ; Matt Cavotta ;  Scourge
3 ; Aven Farseer ; Creature - Bird Soldier 1/1 ; 1W ; Common ; Luca Zontini ;  Scourge
4 ; Aven Liberator ; Creature - Bird Soldier 2/3 ; 2WW ; Common ; Brian Snoddy ;  Scourge
5 ; Daru Spiritualist ; Creature - Cleric 1/1 ; 1W ; Common ; Dave Dorman ;  Scourge
6 ; Daru Warchief ; Creature - Soldier 1/1 ; 2WW ; Uncommon ; Tim Hildebrandt ;  Scourge
7 ; Dawn Elemental ; Creature - Elemental 3/3 ; WWWW ; Rare ; Anthony S. Waters ;  Scourge
8 ; Decree of Justice ; Sorcery ; XX2WW ; Rare ; Adam Rex ;  Scourge
9 ; Dimensional Breach ; Sorcery ; 5WW ; Rare ; Dave Dorman ;  Scourge
10 ; Dragon Scales ; Enchant Creature ; 1W ; Common ; Darrell Riche ;  Scourge
11 ; Dragonstalker ; Creature - Bird Soldier 3/3 ; 4W ; Uncommon ; Ron Spencer ;  Scourge
12 ; Eternal Dragon ; Creature - Dragon Spirit 5/5 ; 5WW ; Rare ; Justin Sweet ;  Scourge
13 ; Exiled Doomsayer ; Creature - Cleric 1/2 ; 1W ; Rare ; Brian Snoddy ;  Scourge
14 ; Force Bubble ; Enchantment ; 2WW ; Rare ; Alan Pollack ;  Scourge
15 ; Frontline Strategist ; Creature - Soldier 1/1 ; W ; Common ; Christopher Moeller ;  Scourge
16 ; Gilded Light ; Instant ; 1W ; Uncommon ; John Avon ;  Scourge
17 ; Guilty Conscience ; Enchant Creature ; W ; Common ; Christopher Moeller ;  Scourge
18 ; Karona's Zealot ; Creature - Cleric 2/5 ; 4W ; Uncommon ; Alan Pollack ;  Scourge
19 ; Noble Templar ; Creature - Cleric Soldier 3/6 ; 5W ; Common ; Alex Horley-Orlandelli ;  Scourge
20 ; Rain of Blades ; Instant ; W ; Uncommon ; Rob Alexander ;  Scourge
21 ; Recuperate ; Instant ; 3W ; Common ; Tim Hildebrandt ;  Scourge
22 ; Reward the Faithful ; Instant ; W ; Uncommon ; Matt Cavotta ;  Scourge
23 ; Silver Knight ; Creature - Knight 2/2 ; WW ; Uncommon ; Eric Peterson ;  Scourge
24 ; Trap Digger ; Creature - Soldier 1/3 ; 3W ; Rare ; Christopher Moeller ;  Scourge
25 ; Wing Shards ; Instant ; 1WW ; Uncommon ; Daren Bader ;  Scourge
26 ; Wipe Clean ; Instant ; 1W ; Common ; Arnie Swekel ;  Scourge
27 ; Zealous Inquisitor ; Creature - Cleric 2/2 ; 2W ; Common ; Wayne England ;  Scourge
28 ; Aphetto Runecaster ; Creature - Wizard 2/3 ; 3U ; Uncommon ; Scott M. Fischer ;  Scourge
29 ; Brain Freeze ; Instant ; 1U ; Uncommon ; Tim Hildebrandt ;  Scourge
30 ; Coast Watcher ; Creature - Bird Soldier 1/1 ; 1U ; Common ; Luca Zontini ;  Scourge
31 ; Day of the Dragons ; Enchantment ; 4UUU ; Rare ; Matthew D. Wilson ;  Scourge
32 ; Decree of Silence ; Enchantment ; 6UU ; Rare ; Adam Rex ;  Scourge
33 ; Dispersal Shield ; Instant ; 1U ; Common ; Dave Dorman ;  Scourge
34 ; Dragon Wings ; Enchant Creature ; 1U ; Common ; Darrell Riche ;  Scourge
35 ; Faces of the Past ; Enchantment ; 2U ; Rare ; Wayne England ;  Scourge
36 ; Frozen Solid ; Enchant Creature ; 1UU ; Common ; Glen Angus ;  Scourge
37 ; Hindering Touch ; Instant ; 3U ; Common ; Glen Angus ;  Scourge
38 ; Long-Term Plans ; Instant ; 2U ; Uncommon ; Ben Thompson ;  Scourge
39 ; Mercurial Kite ; Creature - Bird 2/2 ; 3U ; Common ; Richard Sardinha ;  Scourge
40 ; Metamorphose ; Instant ; 1U ; Uncommon ; Ron Spencer ;  Scourge
41 ; Mind's Desire ; Sorcery ; 4UU ; Rare ; Ron Spencer ;  Scourge
42 ; Mischievous Quanar ; Creature - Beast 3/3 ; 4U ; Rare ; Lars Grant-West ;  Scourge
