1 ; Bottomless Pit ; Enchantment ; 1BB ; Uncommon ; Kev Walker ;  Stronghold
2 ; Brush with Death ; Sorcery ; 2B ; Common ; Stephen Daniele ;  Stronghold
3 ; Cannibalize ; Sorcery ; 1B ; Common ; Robert Bliss ;  Stronghold
4 ; Corrupting Licid ; Summon Licid 2/2 ; 2B ; Uncommon ; Thomas M. Baxa ;  Stronghold
5 ; Crovax the Cursed ; Summon Legend 0/0 ; 2BB ; Rare ; Pete Venters ;  Stronghold
6 ; Dauthi Trapper ; Summon Minion 1/1 ; 2B ; Uncommon ; Thomas M. Baxa ;  Stronghold
7 ; Death Stroke ; Sorcery ; BB ; Common ; Colin MacNeil ;  Stronghold
8 ; Dungeon Shade ; Summon Spirit 1/1 ; 3B ; Common ; Jason Alexander Behnke ;  Stronghold
9 ; Foul Imp ; Summon Imp 2/2 ; BB ; Common ; Jim Nelson ;  Stronghold
10 ; Grave Pact ; Enchantment ; 1BBB ; Rare ; Scott Kirschner ;  Stronghold
11 ; Lab Rats ; Sorcery ; B ; Common ; DiTerlizzi ;  Stronghold
12 ; Megrim ; Enchantment ; 2B ; Uncommon ; Donato Giancola ;  Stronghold
13 ; Mind Peel ; Sorcery ; B ; Uncommon ; Adam Rex ;  Stronghold
14 ; Mindwarper ; Summon Spirit 0/0 ; 2BB ; Rare ; Paolo Parente ;  Stronghold
15 ; Morgue Thrull ; Summon Thrull 2/2 ; 2B ; Common ; Robert Bliss ;  Stronghold
16 ; Mortuary ; Enchantment ; 3B ; Rare ; Robert Bliss ;  Stronghold
17 ; Rabid Rats ; Summon Rats 1/1 ; 1B ; Common ; Matthew Wilson ;  Stronghold
18 ; Revenant ; Summon Spirit */* ; 4B ; Rare ; Terese Nielsen ;  Stronghold
19 ; Serpent Warrior ; Summon Soldier 3/3 ; 2B ; Common ; Ron Spencer ;  Stronghold
20 ; Skeleton Scavengers ; Summon Skeletons 0/0 ; 2B ; Rare ; Brian Snoddy ;  Stronghold
21 ; Stronghold Assassin ; Summon Assassin 2/1 ; 1BB ; Rare ; Matthew Wilson ;  Stronghold
22 ; Stronghold Taskmaster ; Summon Minion 4/3 ; 2BB ; Uncommon ; Brom ;  Stronghold
23 ; Torment ; Enchant Creature ; 1B ; Common ; Paolo Parente ;  Stronghold
