1 ; Apothecary Initiate ; Creature - Kithkin Cleric 1/1 ; W ; Common ; Kev Walker ;  Shadowmoor
2 ; Armored Ascension ; Enchantment - Aura ; 3W ; Uncommon ; Matt Cavotta ;  Shadowmoor
3 ; Ballynock Cohort ; Creature - Kithkin Soldier 2/2 ; 2W ; Common ; Jesper Ejsing ;  Shadowmoor
4 ; Barrenton Medic ; Creature - Kithkin Cleric 0/4 ; 4W ; Common ; Trevor Hairsine ;  Shadowmoor
5 ; Boon Reflection ; Enchantment ; 4W ; Rare ; Terese Nielsen & Ron Spencer ;  Shadowmoor
6 ; Goldenglow Moth ; Creature - Insect 0/1 ; W ; Common ; Howard Lyon ;  Shadowmoor
7 ; Greater Auramancy ; Enchantment ; 1W ; Rare ; Chuck Lukacs ;  Shadowmoor
8 ; Inquisitor's Snare ; Instant ; 1W ; Common ; Michael Sutfin ;  Shadowmoor
9 ; Kithkin Rabble ; Creature - Kithkin */* ; 3W ; Uncommon ; Omar Rayyan ;  Shadowmoor
10 ; Kithkin Shielddare ; Creature - Kithkin Soldier 1/1 ; 1W ; Common ; Christopher Moeller ;  Shadowmoor
11 ; Last Breath ; Instant ; 1W ; Common ; Thomas Denmark ;  Shadowmoor
12 ; Mass Calcify ; Sorcery ; 5WW ; Rare ; Brandon Kitkouski ;  Shadowmoor
13 ; Mine Excavation ; Sorcery ; 1W ; Common ; Chippy ;  Shadowmoor
14 ; Mistmeadow Skulk ; Creature - Kithkin Rogue 1/1 ; 1W ; Uncommon ; Omar Rayyan ;  Shadowmoor
15 ; Niveous Wisps ; Instant ; W ; Common ; Jim Nelson ;  Shadowmoor
16 ; Order of Whiteclay ; Creature - Kithkin Cleric 1/4 ; 1WW ; Rare ; Steven Belledin ;  Shadowmoor
17 ; Pale Wayfarer ; Creature - Spirit Giant 4/4 ; 5WW ; Uncommon ; Heather Hudson ;  Shadowmoor
18 ; Prison Term ; Enchantment - Aura ; 1WW ; Uncommon ; Zoltan Boros & Gabor Szikszai ;  Shadowmoor
19 ; Resplendent Mentor ; Creature - Kithkin Cleric 2/2 ; 4W ; Uncommon ; Franz Vohwinkel ;  Shadowmoor
20 ; Rune-Cervin Rider ; Creature - Elf Knight 2/2 ; 3W ; Common ; Dan Scott ;  Shadowmoor
21 ; Runed Halo ; Enchantment ; WW ; Rare ; Steve Prescott ;  Shadowmoor
22 ; Safehold Sentry ; Creature - Elf Warrior 2/2 ; 1W ; Common ; William O'Connor ;  Shadowmoor
23 ; Spectral Procession ; Sorcery ; {2/W}{2/W}{2/W} ; Uncommon ; Jeremy Enecio ;  Shadowmoor
24 ; Strip Bare ; Instant ; W ; Common ; Ralph Horsley ;  Shadowmoor
25 ; Twilight Shepherd ; Creature - Angel 5/5 ; 3WWW ; Rare ; Jason Chan ;  Shadowmoor
26 ; Windbrisk Raptor ; Creature - Bird 5/7 ; 5WW ; Rare ; Omar Rayyan ;  Shadowmoor
27 ; Woeleecher ; Creature - Elemental 3/5 ; 5W ; Common ; Izzy ;  Shadowmoor
28 ; Advice from the Fae ; Sorcery ; {2/U}{2/U}{2/U} ; Uncommon ; Chippy ;  Shadowmoor
29 ; Biting Tether ; Enchantment - Aura ; 4U ; Uncommon ; Thomas Denmark ;  Shadowmoor
30 ; Briarberry Cohort ; Creature - Faerie Soldier 1/1 ; 1U ; Common ; Carl Critchlow ;  Shadowmoor
31 ; Cerulean Wisps ; Instant ; U ; Common ; Jim Nelson ;  Shadowmoor
32 ; Consign to Dream ; Instant ; 2U ; Common ; Richard Kane Ferguson ;  Shadowmoor
33 ; Counterbore ; Instant ; 3UU ; Rare ; Wayne England ;  Shadowmoor
34 ; Cursecatcher ; Creature - Merfolk Wizard 1/1 ; U ; Uncommon ; Warren Mahy ;  Shadowmoor
35 ; Deepchannel Mentor ; Creature - Merfolk Rogue 2/2 ; 5U ; Uncommon ; Jesper Ejsing ;  Shadowmoor
36 ; Drowner Initiate ; Creature - Merfolk Wizard 1/1 ; U ; Common ; E. M. Gist ;  Shadowmoor
37 ; Faerie Swarm ; Creature - Faerie */* ; 3U ; Uncommon ; Zoltan Boros & Gabor Szikszai ;  Shadowmoor
38 ; Flow of Ideas ; Sorcery ; 5U ; Uncommon ; Mike Dringenberg ;  Shadowmoor
39 ; Ghastly Discovery ; Sorcery ; 2U ; Common ; Howard Lyon ;  Shadowmoor
40 ; Isleback Spawn ; Creature - Kraken 4/8 ; 5UU ; Rare ; Mark Tedin ;  Shadowmoor
41 ; Kinscaer Harpoonist ; Creature - Kithkin Soldier 2/2 ; 3U ; Common ; Thomas M. Baxa ;  Shadowmoor
42 ; Knacksaw Clique ; Creature - Faerie Rogue 1/4 ; 3U ; Rare ; Steven Belledin ;  Shadowmoor
43 ; Leech Bonder ; Creature - Merfolk Soldier 3/3 ; 2U ; Uncommon ; E. M. Gist ;  Shadowmoor
44 ; Merrow Wavebreakers ; Creature - Merfolk Soldier 3/3 ; 4U ; Common ; Alex Horley-Orlandelli ;  Shadowmoor
45 ; Parapet Watchers ; Creature - Kithkin Soldier 2/2 ; 2U ; Common ; Scott Altmann ;  Shadowmoor
46 ; Prismwake Merrow ; Creature - Merfolk Wizard 2/1 ; 2U ; Common ; Wayne England ;  Shadowmoor
47 ; Puca's Mischief ; Enchantment ; 3U ; Rare ; Scott Altmann ;  Shadowmoor
