1 ; Ather Shockwave ; Instant ; 3W ; Uncommon ; Stephen Tappin ;  Saviors of Kamigawa
2 ; Araba Mothrider ; Creature - Human Samurai 1/1 ; 1W ; Common ; Anthony S. Waters ;  Saviors of Kamigawa
3 ; Celestial Kirin ; Legendary Creature - Kirin Spirit 3/3 ; 2WW ; Rare ; Adam Rex ;  Saviors of Kamigawa
4 ; Charge Across the Araba ; Instant - Arcane ; 4W ; Uncommon ; Dany Orizio ;  Saviors of Kamigawa
5 ; Cowed by Wisdom ; Enchant Creature ; W ; Common ; Daren Bader ;  Saviors of Kamigawa
6 ; Curtain of Light ; Instant ; 1W ; Common ; Chippy ;  Saviors of Kamigawa
7 ; Descendant of Kiyomaro ; Creature - Human Soldier 2/3 ; 1WW ; Uncommon ; Christopher Rush ;  Saviors of Kamigawa
8 ; Eiganjo Free-Riders ; Creature - Human Soldier 3/4 ; 3W ; Uncommon ; Kev Walker ;  Saviors of Kamigawa
9 ; Enduring Ideal ; Sorcery ; 5WW ; Rare ; Daren Bader ;  Saviors of Kamigawa
10 ; Ghost-Lit Redeemer ; Creature - Spirit 1/1 ; W ; Uncommon ; Shishizaru ;  Saviors of Kamigawa
11 ; Hail of Arrows ; Instant ; XW ; Uncommon ; Anthony S. Waters ;  Saviors of Kamigawa
12 ; Hand of Honor ; Creature - Human Samurai 2/2 ; WW ; Uncommon ; Kev Walker ;  Saviors of Kamigawa
13 ; Inner-Chamber Guard ; Creature - Human Samurai 0/2 ; 1W ; Uncommon ; Brian Snoddy ;  Saviors of Kamigawa
14 ; Kataki, War's Wage ; Legendary Creature - Spirit 2/1 ; 1W ; Rare ; Matt Thompson ;  Saviors of Kamigawa
15 ; Kitsune Bonesetter ; Creature - Fox Cleric 0/1 ; 2W ; Common ; Heather Hudson ;  Saviors of Kamigawa
16 ; Kitsune Dawnblade ; Creature - Fox Samurai 2/3 ; 4W ; Common ; Carl Critchlow ;  Saviors of Kamigawa
17 ; Kitsune Loreweaver ; Creature - Fox Cleric 2/1 ; 1W ; Common ; Eric Polak ;  Saviors of Kamigawa
18 ; Kiyomaro, First to Stand ; Legendary Creature - Spirit */* ; 3WW ; Rare ; Kev Walker ;  Saviors of Kamigawa
19 ; Michiko Konda, Truth Seeker ; Legendary Creature - Human Advisor 2/2 ; 3W ; Rare ; Christopher Moeller ;  Saviors of Kamigawa
20 ; Moonwing Moth ; Creature - Insect 2/1 ; 1WW ; Common ; Franz Vohwinkel ;  Saviors of Kamigawa
21 ; Nikko-Onna ; Creature - Spirit 2/2 ; 2W ; Uncommon ; Shishizaru ;  Saviors of Kamigawa
22 ; Plow Through Reito ; Instant - Arcane ; 1W ; Common ; Ron Spencer ;  Saviors of Kamigawa
23 ; Presence of the Wise ; Sorcery ; 2WW ; Uncommon ; Christopher Moeller ;  Saviors of Kamigawa
24 ; Promise of Bunrei ; Enchantment ; 2W ; Rare ; Stephen Tappin ;  Saviors of Kamigawa
25 ; Pure Intentions ; Instant - Arcane ; W ; Rare ; Randy Gallegos ;  Saviors of Kamigawa
26 ; Reverence ; Enchantment ; 2WW ; Rare ; Ittoku ;  Saviors of Kamigawa
27 ; Rune-Tail, Kitsune Ascendant ; Legendary Creature - Fox Monk 2/2 ; 2W ; Rare ; Randy Gallegos ;  Saviors of Kamigawa
28 ; Shinen of Stars' Light ; Creature - Spirit 2/1 ; 2W ; Common ; Jeremy Jarvis ;  Saviors of Kamigawa
29 ; Spiritual Visit ; Instant - Arcane ; W ; Common ; Pete Venters ;  Saviors of Kamigawa
30 ; Torii Watchward ; Creature - Spirit 3/3 ; 4W ; Common ; Jeff Miracola ;  Saviors of Kamigawa
31 ; Cloudhoof Kirin ; Legendary Creature - Kirin Spirit 4/4 ; 3UU ; Rare ; Randy Gallegos ;  Saviors of Kamigawa
32 ; Cut the Earthly Bond ; Instant - Arcane ; U ; Common ; Jeff Miracola ;  Saviors of Kamigawa
33 ; Descendant of Soramaro ; Creature - Human Wizard 2/3 ; 3U ; Common ; Brian Despain ;  Saviors of Kamigawa
34 ; Dreamcatcher ; Creature - Spirit 1/1 ; U ; Common ; Mark Tedin ;  Saviors of Kamigawa
35 ; Erayo, Soratami Ascendant ; Legendary Creature - Moonfolk Monk 1/1 ; 1U ; Rare ; Matt Cavotta ;  Saviors of Kamigawa
36 ; Eternal Dominion ; Sorcery ; 7UUU ; Rare ; Shishizaru ;  Saviors of Kamigawa
37 ; Evermind ; Instant - Arcane ; ; Uncommon ; Matt Thompson ;  Saviors of Kamigawa
38 ; Freed from the Real ; Enchant Creature ; 2U ; Common ; Scott M. Fischer ;  Saviors of Kamigawa
39 ; Ghost-Lit Warder ; Creature - Spirit 1/1 ; 1U ; Uncommon ; Kensuke Okabayashi ;  Saviors of Kamigawa
40 ; Ideas Unbound ; Sorcery - Arcane ; UU ; Common ; Mark Tedin ;  Saviors of Kamigawa
41 ; Kaho, Minamo Historian ; Legendary Creature - Human Wizard 2/2 ; 2UU ; Rare ; Greg Staples ;  Saviors of Kamigawa
42 ; Kami of the Crescent Moon ; Legendary Creature - Spirit 1/3 ; UU ; Rare ; Darrell Riche ;  Saviors of Kamigawa
43 ; Kiri-Onna ; Creature - Spirit 2/2 ; 4U ; Uncommon ; Kensuke Okabayashi ;  Saviors of Kamigawa
44 ; Meishin, the Mind Cage ; Legendary Enchantment ; 4UUU ; Rare ; Thomas Gianni ;  Saviors of Kamigawa
45 ; Minamo Scrollkeeper ; Creature - Human Wizard 2/3 ; 1U ; Common ; Paolo Parente ;  Saviors of Kamigawa
46 ; Moonbow Illusionist ; Creature - Moonfolk Wizard 2/1 ; 2U ; Common ; Dan Frazier ;  Saviors of Kamigawa
47 ; Murmurs from Beyond ; Instant - Arcane ; 2U ; Common ; Paolo Parente ;  Saviors of Kamigawa
48 ; Oboro Breezecaller ; Creature - Moonfolk Wizard 1/1 ; 1U ; Common ; Rebecca Guay ;  Saviors of Kamigawa
49 ; Oboro Envoy ; Creature - Moonfolk Wizard 1/3 ; 3U ; Uncommon ; Rob Alexander ;  Saviors of Kamigawa
50 ; Oppressive Will ; Instant ; 2U ; Common ; Pat Lee ;  Saviors of Kamigawa
51 ; Overwhelming Intellect ; Instant ; 4UU ; Uncommon ; Alex Horley-Orlandelli ;  Saviors of Kamigawa
52 ; Rushing-Tide Zubera ; Creature - Zubera Spirit 3/3 ; 2UU ; Uncommon ; Mark Brill ;  Saviors of Kamigawa
53 ; Sakashima the Impostor ; Legendary Creature - Human Rogue 3/1 ; 2UU ; Rare ; rk post ;  Saviors of Kamigawa
54 ; Secretkeeper ; Creature - Spirit 2/2 ; 3U ; Uncommon ; Ron Spencer ;  Saviors of Kamigawa
55 ; Shape Stealer ; Creature - Shapeshifter Spirit 1/1 ; UU ; Uncommon ; Jim Nelson ;  Saviors of Kamigawa
56 ; Shifting Borders ; Instant - Arcane ; 3U ; Uncommon ; Alex Horley-Orlandelli ;  Saviors of Kamigawa
57 ; Shinen of Flight's Wings ; Creature - Spirit 3/3 ; 4U ; Common ; Scott M. Fischer ;  Saviors of Kamigawa
58 ; Soramaro, First to Dream ; Legendary Creature - Spirit */* ; 4UU ; Rare ; Brian Despain ;  Saviors of Kamigawa
59 ; Trusted Advisor ; Creature - Human Advisor 1/2 ; U ; Uncommon ; Jim Nelson ;  Saviors of Kamigawa
60 ; Twincast ; Instant ; UU ; Rare ; Christopher Moeller ;  Saviors of Kamigawa
61 ; Akuta, Born of Ash ; Legendary Creature - Spirit 3/2 ; 2BB ; Rare ; Ben Thompson ;  Saviors of Kamigawa
62 ; Choice of Damnations ; Sorcery - Arcane ; 5B ; Rare ; Tim Hildebrandt ;  Saviors of Kamigawa
63 ; Death Denied ; Instant - Arcane ; XBB ; Common ; Greg Hildebrandt ;  Saviors of Kamigawa
64 ; Death of a Thousand Stings ; Instant - Arcane ; 4B ; Common ; Scott M. Fischer ;  Saviors of Kamigawa
65 ; Deathknell Kami ; Creature - Spirit 0/1 ; 1B ; Common ; Puddnhead ;  Saviors of Kamigawa
66 ; Deathmask Nezumi ; Creature - Rat Shaman 2/2 ; 2B ; Common ; Daren Bader ;  Saviors of Kamigawa
67 ; Exile into Darkness ; Sorcery ; 4B ; Uncommon ; Pete Venters ;  Saviors of Kamigawa
68 ; Footsteps of the Goryo ; Sorcery - Arcane ; 2B ; Uncommon ; Chippy ;  Saviors of Kamigawa
69 ; Ghost-Lit Stalker ; Creature - Spirit 1/1 ; B ; Uncommon ; Hideaki Takamura ;  Saviors of Kamigawa
70 ; Gnat Miser ; Creature - Rat Shaman 1/1 ; B ; Common ; Thomas M. Baxa ;  Saviors of Kamigawa
71 ; Hand of Cruelty ; Creature - Human Samurai 2/2 ; BB ; Uncommon ; Kev Walker ;  Saviors of Kamigawa
72 ; Infernal Kirin ; Legendary Creature - Kirin Spirit 3/3 ; 2BB ; Rare ; Carl Critchlow ;  Saviors of Kamigawa
73 ; Kagemaro, First to Suffer ; Legendary Creature - Demon Spirit */* ; 3BB ; Rare ; Adam Rex ;  Saviors of Kamigawa
