1 ; Abuna Acolyte ; Creature - Cat Cleric 1/1 ; 1W ; Uncommon ; Igor Kieryluk ;  Scars of Mirrodin
2 ; Arrest ; Enchantment - Aura ; 2W ; Common ; Daarken ;  Scars of Mirrodin
3 ; Auriok Edgewright ; Creature - Human Soldier 2/2 ; WW ; Uncommon ; Mike Bierek ;  Scars of Mirrodin
4 ; Auriok Sunchaser ; Creature - Human Soldier 1/1 ; 1W ; Common ; James Ryman ;  Scars of Mirrodin
5 ; Dispense Justice ; Instant ; 2W ; Uncommon ; Austin Hsu ;  Scars of Mirrodin
6 ; Elspeth Tirel ; Planeswalker - Elspeth ; 3WW ; Mythic Rare ; Michael Komarck ;  Scars of Mirrodin
7 ; Fulgent Distraction ; Instant ; 2W ; Common ; Nic Klein ;  Scars of Mirrodin
8 ; Ghalma's Warden ; Creature - Elephant Soldier 2/4 ; 3W ; Common ; Mike Bierek ;  Scars of Mirrodin
9 ; Glimmerpoint Stag ; Creature - Elk 3/3 ; 2WW ; Uncommon ; Ryan Pancoast ;  Scars of Mirrodin
10 ; Glint Hawk ; Creature - Bird 2/2 ; W ; Common ; Dave Allsop ;  Scars of Mirrodin
11 ; Indomitable Archangel ; Creature - Angel 4/4 ; 2WW ; Mythic Rare ; Allen Williams ;  Scars of Mirrodin
12 ; Kemba, Kha Regent ; Legendary Creature - Cat Cleric 2/4 ; 1WW ; Rare ; Todd Lockwood ;  Scars of Mirrodin
13 ; Kemba's Skyguard ; Creature - Cat Knight 2/2 ; 1WW ; Common ; Whit Brachna ;  Scars of Mirrodin
14 ; Leonin Arbiter ; Creature - Cat Cleric 2/2 ; 1W ; Rare ; Shelly Wan ;  Scars of Mirrodin
15 ; Loxodon Wayfarer ; Creature - Elephant Monk 1/5 ; 2W ; Common ; Steven Belledin ;  Scars of Mirrodin
16 ; Myrsmith ; Creature - Human Artificer 2/1 ; 1W ; Uncommon ; Eric Deschamps ;  Scars of Mirrodin
17 ; Razor Hippogriff ; Creature - Hippogriff 3/3 ; 3WW ; Uncommon ; David Rapoza ;  Scars of Mirrodin
18 ; Revoke Existence ; Sorcery ; 1W ; Common ; Allen Williams ;  Scars of Mirrodin
19 ; Salvage Scout ; Creature - Human Scout 1/1 ; W ; Common ; Randis Albion ;  Scars of Mirrodin
20 ; Seize the Initiative ; Instant ; W ; Common ; Steve Argyle ;  Scars of Mirrodin
21 ; Soul Parry ; Instant ; 1W ; Common ; Igor Kieryluk ;  Scars of Mirrodin
22 ; Sunblast Angel ; Creature - Angel 4/5 ; 4WW ; Rare ; Jason Chan ;  Scars of Mirrodin
23 ; Sunspear Shikari ; Creature - Cat Soldier 2/2 ; 1W ; Common ; Allen Williams ;  Scars of Mirrodin
24 ; Tempered Steel ; Enchantment ; 1WW ; Rare ; Wayne Reynolds ;  Scars of Mirrodin
25 ; True Conviction ; Enchantment ; 3WWW ; Rare ; Svetlin Velinov ;  Scars of Mirrodin
26 ; Vigil for the Lost ; Enchantment ; 3W ; Uncommon ; Igor Kieryluk ;  Scars of Mirrodin
27 ; Whitesun's Passage ; Instant ; 1W ; Common ; John Avon ;  Scars of Mirrodin
28 ; Argent Sphinx ; Creature - Sphinx 4/3 ; 2UU ; Rare ; Chris Rahn ;  Scars of Mirrodin
29 ; Bonds of Quicksilver ; Enchantment - Aura ; 3U ; Common ; Steven Belledin ;  Scars of Mirrodin
30 ; Darkslick Drake ; Creature - Drake 2/4 ; 2UU ; Uncommon ; Chippy ;  Scars of Mirrodin
31 ; Disperse ; Instant ; 1U ; Common ; Adrian Smith ;  Scars of Mirrodin
32 ; Dissipation Field ; Enchantment ; 2UU ; Rare ; Matt Cavotta ;  Scars of Mirrodin
33 ; Grand Architect ; Creature - Vedalken Artificer 1/3 ; 1UU ; Rare ; Steven Belledin ;  Scars of Mirrodin
34 ; Halt Order ; Instant ; 2U ; Uncommon ; Izzy ;  Scars of Mirrodin
35 ; Inexorable Tide ; Enchantment ; 3UU ; Rare ; Dave Kendall ;  Scars of Mirrodin
36 ; Lumengrid Drake ; Creature - Drake 2/2 ; 3U ; Common ; Johann Bodin ;  Scars of Mirrodin
37 ; Neurok Invisimancer ; Creature - Human Wizard 2/1 ; 1UU ; Common ; Izzy ;  Scars of Mirrodin
38 ; Plated Seastrider ; Creature - Beast 1/4 ; UU ; Common ; Izzy ;  Scars of Mirrodin
39 ; Quicksilver Gargantuan ; Creature - Shapeshifter 7/7 ; 5UU ; Mythic Rare ; Steven Belledin ;  Scars of Mirrodin
40 ; Riddlesmith ; Creature - Human Artificer 2/1 ; 1U ; Uncommon ; Eric Deschamps ;  Scars of Mirrodin
41 ; Scrapdiver Serpent ; Creature - Serpent 5/5 ; 5UU ; Common ; Adrian Smith ;  Scars of Mirrodin
42 ; Screeching Silcaw ; Creature - Bird 1/2 ; 1U ; Common ; Mike Bierek ;  Scars of Mirrodin
43 ; Shape Anew ; Sorcery ; 3U ; Rare ; Zoltan Boros & Gabor Szikszai ;  Scars of Mirrodin
44 ; Sky-Eel School ; Creature - Fish 3/3 ; 3UU ; Common ; Daniel Ljunggren ;  Scars of Mirrodin
45 ; Steady Progress ; Instant ; 2U ; Common ; Efrem Palacios ;  Scars of Mirrodin
46 ; Stoic Rebuttal ; Instant ; 1UU ; Common ; Chris Rahn ;  Scars of Mirrodin
47 ; Thrummingbird ; Creature - Bird Horror 1/1 ; 1U ; Uncommon ; Efrem Palacios ;  Scars of Mirrodin
48 ; Trinket Mage ; Creature - Human Wizard 2/2 ; 2U ; Uncommon ; Scott Chou ;  Scars of Mirrodin
49 ; Turn Aside ; Instant ; U ; Common ; Shelly Wan ;  Scars of Mirrodin
50 ; Twisted Image ; Instant ; U ; Uncommon ; Izzy ;  Scars of Mirrodin
51 ; Vault Skyward ; Instant ; U ; Common ; Dan Scott ;  Scars of Mirrodin
52 ; Vedalken Certarch ; Creature - Vedalken Wizard 1/1 ; U ; Common ; Karl Kopinski ;  Scars of Mirrodin
53 ; Volition Reins ; Enchantment - Aura ; 3UUU ; Uncommon ; Svetlin Velinov ;  Scars of Mirrodin
54 ; Blackcleave Goblin ; Creature - Goblin Zombie 2/1 ; 3B ; Common ; Nils Hamm ;  Scars of Mirrodin
55 ; Bleak Coven Vampires ; Creature - Vampire Warrior 4/3 ; 3BB ; Common ; Randis Albion ;  Scars of Mirrodin
56 ; Blistergrub ; Creature - Horror 2/2 ; 2B ; Common ; Daarken ;  Scars of Mirrodin
57 ; Carnifex Demon ; Creature - Demon 6/6 ; 4BB ; Rare ; Aleksi Briclot ;  Scars of Mirrodin
58 ; Contagious Nim ; Creature - Zombie 2/2 ; 2B ; Common ; Efrem Palacios ;  Scars of Mirrodin
59 ; Corrupted Harvester ; Creature - Horror 6/3 ; 4BB ; Uncommon ; Nils Hamm ;  Scars of Mirrodin
60 ; Dross Hopper ; Creature - Insect Horror 2/1 ; 1B ; Common ; Dave Allsop ;  Scars of Mirrodin
61 ; Exsanguinate ; Sorcery ; XBB ; Uncommon ; Carl Critchlow ;  Scars of Mirrodin
62 ; Flesh Allergy ; Sorcery ; 2BB ; Uncommon ; Vance Kovacs ;  Scars of Mirrodin
63 ; Fume Spitter ; Creature - Horror 1/1 ; B ; Common ; Nils Hamm ;  Scars of Mirrodin
64 ; Geth, Lord of the Vault ; Legendary Creature - Zombie 5/5 ; 4BB ; Mythic Rare ; Whit Brachna ;  Scars of Mirrodin
65 ; Grasp of Darkness ; Instant ; BB ; Common ; Johann Bodin ;  Scars of Mirrodin
66 ; Hand of the Praetors ; Creature - Zombie 3/2 ; 3B ; Rare ; Izzy ;  Scars of Mirrodin
67 ; Ichor Rats ; Creature - Rat 2/1 ; 1BB ; Uncommon ; Matt Stewart ;  Scars of Mirrodin
68 ; Instill Infection ; Instant ; 3B ; Common ; Chris Rahn ;  Scars of Mirrodin
69 ; Memoricide ; Sorcery ; 3B ; Rare ; James Ryman ;  Scars of Mirrodin
70 ; Moriok Reaver ; Creature - Human Warrior 3/2 ; 2B ; Common ; Marc Simonetti ;  Scars of Mirrodin
71 ; Necrogen Scudder ; Creature - Horror 3/3 ; 2B ; Uncommon ; Raymond Swanland ;  Scars of Mirrodin
72 ; Necrotic Ooze ; Creature - Ooze 4/3 ; 2BB ; Rare ; James Ryman ;  Scars of Mirrodin
73 ; Painful Quandary ; Enchantment ; 3BB ; Rare ; Whit Brachna ;  Scars of Mirrodin
74 ; Painsmith ; Creature - Human Artificer 2/1 ; 1B ; Uncommon ; Eric Deschamps ;  Scars of Mirrodin
75 ; Plague Stinger ; Creature - Insect Horror 1/1 ; 1B ; Common ; Ryan Pancoast ;  Scars of Mirrodin
76 ; Psychic Miasma ; Sorcery ; 1B ; Common ; Svetlin Velinov ;  Scars of Mirrodin
77 ; Relic Putrescence ; Enchantment - Aura ; 2B ; Common ; Allen Williams ;  Scars of Mirrodin
78 ; Skinrender ; Creature - Zombie 3/3 ; 2BB ; Uncommon ; David Rapoza ;  Scars of Mirrodin
79 ; Skithiryx, the Blight Dragon ; Legendary Creature - Dragon Skeleton 4/4 ; 3BB ; Mythic Rare ; Chippy ;  Scars of Mirrodin
80 ; Tainted Strike ; Instant ; B ; Common ; James Ryman ;  Scars of Mirrodin
81 ; Arc Trail ; Sorcery ; 1R ; Uncommon ; Marc Simonetti ;  Scars of Mirrodin
82 ; Assault Strobe ; Sorcery ; R ; Common ; Kev Walker ;  Scars of Mirrodin
83 ; Barrage Ogre ; Creature - Ogre Warrior 3/3 ; 3RR ; Uncommon ; David Rapoza ;  Scars of Mirrodin
84 ; Blade-Tribe Berserkers ; Creature - Human Berserker 3/3 ; 3R ; Common ; Kev Walker ;  Scars of Mirrodin
85 ; Bloodshot Trainee ; Creature - Goblin Warrior 2/3 ; 3R ; Uncommon ; Matt Stewart ;  Scars of Mirrodin
86 ; Cerebral Eruption ; Sorcery ; 2RR ; Rare ; Kev Walker ;  Scars of Mirrodin
87 ; Embersmith ; Creature - Human Artificer 2/1 ; 1R ; Uncommon ; Eric Deschamps ;  Scars of Mirrodin
88 ; Ferrovore ; Creature - Beast 2/2 ; 2R ; Common ; Austin Hsu ;  Scars of Mirrodin
89 ; Flameborn Hellion ; Creature - Hellion 5/4 ; 5R ; Common ; Aleksi Briclot ;  Scars of Mirrodin
90 ; Furnace Celebration ; Enchantment ; 1RR ; Uncommon ; Svetlin Velinov ;  Scars of Mirrodin
91 ; Galvanic Blast ; Instant ; R ; Common ; Marc Simonetti ;  Scars of Mirrodin
92 ; Goblin Gaveleer ; Creature - Goblin Warrior 1/1 ; R ; Common ; Svetlin Velinov ;  Scars of Mirrodin
93 ; Hoard-Smelter Dragon ; Creature - Dragon 5/5 ; 4RR ; Rare ; Eric Deschamps ;  Scars of Mirrodin
94 ; Koth of the Hammer ; Planeswalker - Koth ; 2RR ; Mythic Rare ; Jason Chan ;  Scars of Mirrodin
95 ; Kuldotha Phoenix ; Creature - Phoenix 4/4 ; 2RRR ; Rare ; Mike Bierek ;  Scars of Mirrodin
96 ; Kuldotha Rebirth ; Sorcery ; R ; Common ; Goran Josic ;  Scars of Mirrodin
97 ; Melt Terrain ; Sorcery ; 2RR ; Common ; John Avon ;  Scars of Mirrodin
98 ; Molten Psyche ; Sorcery ; 1RR ; Rare ; Ryan Yee ;  Scars of Mirrodin
99 ; Ogre Geargrabber ; Creature - Ogre Warrior 4/4 ; 4RR ; Uncommon ; David Rapoza ;  Scars of Mirrodin
