1 ; Abandon Hope ; Sorcery ; X1B ; Uncommon ; Alan Pollack ;  Tempest
2 ; Bellowing Fiend ; Summon Spirit 3/3 ; 4B ; Rare ; Jim Nelson ;  Tempest
3 ; Blood Pet ; Summon Thrull 1/1 ; B ; Common ; Brom ;  Tempest
4 ; Bounty Hunter ; Summon Minion 2/2 ; 2BB ; Rare ; Brian Snoddy ;  Tempest
5 ; Carrionette ; Summon Skeleton 1/1 ; 1B ; Rare ; Pete Venters ;  Tempest
6 ; Clot Sliver ; Summon Sliver 1/1 ; 1B ; Common ; Jeff Laubenstein ;  Tempest
7 ; Coercion ; Sorcery ; 2B ; Common ; Pete Venters ;  Tempest
8 ; Coffin Queen ; Summon Wizard 1/1 ; 2B ; Rare ; Kaja Foglio ;  Tempest
9 ; Commander Greven il-Vec ; Summon Legend 7/5 ; 3BBB ; Rare ; Kev Walker ;  Tempest
10 ; Corpse Dance ; Instant ; 2B ; Rare ; Brian Snoddy ;  Tempest
11 ; Dark Banishing ; Instant ; 2B ; Common ; John Matson ;  Tempest
12 ; Dark Ritual ; Mana Source ; B ; Common ; Ken Meyer, Jr. ;  Tempest
13 ; Darkling Stalker ; Summon Spirit 1/1 ; 3B ; Common ; Susan Van Camp ;  Tempest
14 ; Dauthi Embrace ; Enchantment ; 2B ; Uncommon ; Andrew Robinson ;  Tempest
15 ; Dauthi Ghoul ; Summon Zombie 1/1 ; 1B ; Uncommon ; Tom Kyffin ;  Tempest
16 ; Dauthi Horror ; Summon Beast 2/1 ; 1B ; Common ; Jeff Laubenstein ;  Tempest
17 ; Dauthi Marauder ; Summon Minion 3/1 ; 2B ; Common ; Andrew Robinson ;  Tempest
18 ; Dauthi Mercenary ; Summon Knight 2/1 ; 2B ; Uncommon ; Matthew Wilson ;  Tempest
19 ; Dauthi Mindripper ; Summon Minion 2/1 ; 3B ; Uncommon ; L. A. Williams ;  Tempest
20 ; Dauthi Slayer ; Summon Soldier 2/2 ; BB ; Common ; Dermot Power ;  Tempest
21 ; Death Pits of Rath ; Enchantment ; 3BB ; Rare ; Joel Biske ;  Tempest
22 ; Diabolic Edict ; Instant ; 1B ; Common ; Ron Spencer ;  Tempest
23 ; Disturbed Burial ; Sorcery ; 1B ; Common ; Heather Hudson ;  Tempest
24 ; Dread of Night ; Enchantment ; B ; Uncommon ; Richard Thomas ;  Tempest
25 ; Dregs of Sorrow ; Sorcery ; X4B ; Rare ; Thomas Gianni ;  Tempest
26 ; Endless Scream ; Enchant Creature ; XB ; Common ; Joel Biske ;  Tempest
27 ; Enfeeblement ; Enchant Creature ; BB ; Common ; D. Alexander Gregory ;  Tempest
28 ; Evincar's Justice ; Sorcery ; 2BB ; Common ; Hannibal King ;  Tempest
29 ; Extinction ; Sorcery ; 4B ; Rare ; Una Fricker ;  Tempest
30 ; Fevered Convulsions ; Enchantment ; BB ; Rare ; Jeff Miracola ;  Tempest
31 ; Gravedigger ; Summon Zombie 2/2 ; 3B ; Common ; Dermot Power ;  Tempest
32 ; Imps' Taunt ; Instant ; 1B ; Uncommon ; Colin MacNeil ;  Tempest
33 ; Kezzerdrix ; Summon Beast 4/4 ; 2BB ; Rare ; Matthew Wilson ;  Tempest
34 ; Knight of Dusk ; Summon Knight 2/2 ; 1BB ; Uncommon ; Ron Spencer ;  Tempest
35 ; Leeching Licid ; Summon Licid 1/1 ; 1B ; Uncommon ; Joel Biske ;  Tempest
36 ; Living Death ; Sorcery ; 3BB ; Rare ; Charles Gillespie ;  Tempest
37 ; Maddening Imp ; Summon Imp 1/1 ; 2B ; Rare ; Zina Saunders ;  Tempest
38 ; Marsh Lurker ; Summon Beast 3/2 ; 3B ; Common ; Tom Kyffin ;  Tempest
39 ; Mindwhip Sliver ; Summon Sliver 2/2 ; 2B ; Uncommon ; Jeff Miracola ;  Tempest
40 ; Minion of the Wastes ; Summon Minion */* ; 3BBB ; Rare ; Scott Kirschner ;  Tempest
41 ; Perish ; Sorcery ; 2B ; Uncommon ; Rebecca Guay ;  Tempest
42 ; Pit Imp ; Summon Imp 0/1 ; B ; Common ; Phil Foglio ;  Tempest
43 ; Rain of Tears ; Sorcery ; 1BB ; Uncommon ; Charles Gillespie ;  Tempest
44 ; Rats of Rath ; Summon Rats 2/1 ; 1B ; Common ; John Matson ;  Tempest
45 ; Reanimate ; Sorcery ; B ; Uncommon ; Robert Bliss ;  Tempest
46 ; Reckless Spite ; Instant ; 1BB ; Uncommon ; Pete Venters ;  Tempest
47 ; Sadistic Glee ; Enchant Creature ; B ; Common ; Pete Venters ;  Tempest
48 ; Sarcomancy ; Enchantment ; B ; Rare ; Daren Bader ;  Tempest
49 ; Screeching Harpy ; Summon Beast 2/2 ; 2BB ; Uncommon ; Una Fricker ;  Tempest
50 ; Servant of Volrath ; Summon Minion 3/3 ; 2B ; Common ; Brian Snoddy ;  Tempest
51 ; Skyshroud Vampire ; Summon Vampire 3/3 ; 3BB ; Uncommon ; Gary Leach ;  Tempest
52 ; Souldrinker ; Summon Spirit 2/2 ; 3B ; Uncommon ; Dermot Power ;  Tempest
53 ; Spinal Graft ; Enchant Creature ; 1B ; Common ; Ron Spencer ;  Tempest
54 ; Benthic Behemoth ; Summon Serpent 7/6 ; 5UUU ; Rare ; Jim Nelson ;  Tempest
55 ; Capsize ; Instant ; 1UU ; Common ; Tom Wänerstrand ;  Tempest
56 ; Chill ; Enchantment ; 1U ; Uncommon ; Greg Simanson ;  Tempest
57 ; Counterspell ; Interrupt ; UU ; Common ; Stephen Daniele ;  Tempest
