1 ; Akroma, Angel of Wrath ; Legendary Creature ó Angel 6/6 ; 5WWW ; Special ; Ron Spears ;  Time Spiral "Timeshifted"
2 ; Auratog ; Creature ó Atog 1/2 ; 1W ; Special ; Jeff Miracola ;  Time Spiral "Timeshifted"
3 ; Celestial Dawn ; Enchantment ; 1WW ; Special ; Liz Danforth ;  Time Spiral "Timeshifted"
4 ; Consecrate Land ; Enchantment ó Aura ; W ; Special ; Jeff A. Menges ;  Time Spiral "Timeshifted"
5 ; Defiant Vanguard ; Creature ó Human Rebel 2/2 ; 2W ; Special ; Pete Venters ;  Time Spiral "Timeshifted"
6 ; Disenchant ; Instant ; 1W ; Special ; Amy Weber ;  Time Spiral "Timeshifted"
7 ; Enduring Renewal ; Enchantment ; 2WW ; Special ; Harold McNeill ;  Time Spiral "Timeshifted"
8 ; Essence Sliver ; Creature ó Sliver 3/3 ; 3W ; Special ; Glen Angus ;  Time Spiral "Timeshifted"
9 ; Honorable Passage ; Instant ; 1W ; Special ; Jeff Miracola ;  Time Spiral "Timeshifted"
10 ; Icatian Javelineers ; Creature ó Human Soldier 1/1 ; W ; Special ; Scott Kirschner ;  Time Spiral "Timeshifted"
11 ; Moorish Cavalry ; Creature ó Human Knight 3/3 ; 2WW ; Special ; Dameon Willich ;  Time Spiral "Timeshifted"
12 ; Resurrection ; Sorcery ; 2WW ; Special ; Dan Frazier ;  Time Spiral "Timeshifted"
13 ; Sacred Mesa ; Enchantment ; 2W ; Special ; Margaret Organ-Kean ;  Time Spiral "Timeshifted"
14 ; Soltari Priest ; Creature ó Soltari Cleric 2/1 ; WW ; Special ; Janet Aulisio ;  Time Spiral "Timeshifted"
15 ; Squire ; Creature ó Human Soldier 1/2 ; 1W ; Special ; Dennis Detwiller ;  Time Spiral "Timeshifted"
16 ; Valor ; Creature ó Incarnation 2/2 ; 3W ; Special ; Kev Walker ;  Time Spiral "Timeshifted"
17 ; Witch Hunter ; Creature ó Human Cleric 1/1 ; 2WW ; Special ; Jesper Myrfors ;  Time Spiral "Timeshifted"
18 ; Zhalfirin Commander ; Creature ó Human Knight 2/2 ; 2W ; Special ; Stuart Griffin ;  Time Spiral "Timeshifted"
19 ; Dand‚n ; Creature ó Fish 4/1 ; UU ; Special ; Drew Tucker ;  Time Spiral "Timeshifted"
