1 ; Academy Rector ; Creature - Cleric 1/2 ; 3W ; Rare ; Heather Hudson ;  Urza's Destiny
2 ; Archery Training ; Enchant Creature ; W ; Uncommon ; Mark Brill ;  Urza's Destiny
3 ; Capashen Knight ; Creature - Knight 1/1 ; 1W ; Common ; Kev Walker ;  Urza's Destiny
4 ; Capashen Standard ; Enchant Creature ; W ; Common ; Todd Lockwood ;  Urza's Destiny
5 ; Capashen Templar ; Creature - Knight 2/2 ; 2W ; Common ; Todd Lockwood ;  Urza's Destiny
6 ; False Prophet ; Creature - Cleric 2/2 ; 2WW ; Rare ; Eric Peterson ;  Urza's Destiny
7 ; Fend Off ; Instant ; 1W ; Common ; Paolo Parente ;  Urza's Destiny
8 ; Field Surgeon ; Creature - Cleric 1/1 ; 1W ; Common ; Heather Hudson ;  Urza's Destiny
9 ; Flicker ; Sorcery ; 1W ; Rare ; Douglas Shuler ;  Urza's Destiny
10 ; Jasmine Seer ; Creature - Wizard 1/1 ; 3W ; Uncommon ; Donato Giancola ;  Urza's Destiny
11 ; Mask of Law and Grace ; Enchant Creature ; W ; Common ; Kev Walker ;  Urza's Destiny
12 ; Master Healer ; Creature - Cleric 1/4 ; 4W ; Rare ; Adam Rex ;  Urza's Destiny
13 ; Opalescence ; Enchantment ; 2WW ; Rare ; John Avon ;  Urza's Destiny
14 ; Reliquary Monk ; Creature - Cleric 2/2 ; 2W ; Common ; Thomas M. Baxa ;  Urza's Destiny
15 ; Replenish ; Sorcery ; 3W ; Rare ; Jim Nelson ;  Urza's Destiny
16 ; Sanctimony ; Enchantment ; 1W ; Uncommon ; Mark Brill ;  Urza's Destiny
17 ; Scent of Jasmine ; Instant ; W ; Common ; Douglas Shuler ;  Urza's Destiny
18 ; Scour ; Instant ; 2WW ; Uncommon ; Eric Peterson ;  Urza's Destiny
19 ; Serra Advocate ; Creature - Angel 2/2 ; 3W ; Uncommon ; Scott Hampton ;  Urza's Destiny
20 ; Solidarity ; Instant ; 3W ; Common ; John Zeleznik ;  Urza's Destiny
21 ; Tethered Griffin ; Creature - Griffin 2/3 ; W ; Rare ; Matthew Wilson ;  Urza's Destiny
22 ; Tormented Angel ; Creature - Angel 1/5 ; 3W ; Common ; Greg & Tim Hildebrandt ;  Urza's Destiny
23 ; Voice of Duty ; Creature - Angel 2/2 ; 3W ; Uncommon ; Mark Zug ;  Urza's Destiny
24 ; Voice of Reason ; Creature - Angel 2/2 ; 3W ; Uncommon ; Ray Lago ;  Urza's Destiny
25 ; Wall of Glare ; Creature - Wall 0/5 ; 1W ; Common ; Patrick Ho ;  Urza's Destiny
26 ; Aura Thief ; Creature - Illusion 2/2 ; 3U ; Rare ; Ron Spears ;  Urza's Destiny
27 ; Blizzard Elemental ; Creature - Elemental 5/5 ; 5UU ; Rare ; Thomas M. Baxa ;  Urza's Destiny
28 ; Brine Seer ; Creature - Wizard 1/1 ; 3U ; Uncommon ; Donato Giancola ;  Urza's Destiny
29 ; Bubbling Beebles ; Creature - Beeble 3/3 ; 4U ; Common ; Jeff Miracola ;  Urza's Destiny
30 ; Disappear ; Enchant Creature ; 2UU ; Uncommon ; Edward P. Beard, Jr. ;  Urza's Destiny
31 ; Donate ; Sorcery ; 2U ; Rare ; Jeff Miracola ;  Urza's Destiny
32 ; Fatigue ; Sorcery ; 1U ; Common ; Jeff Miracola ;  Urza's Destiny
33 ; Fledgling Osprey ; Creature - Bird 1/1 ; U ; Common ; Heather Hudson ;  Urza's Destiny
34 ; Illuminated Wings ; Enchant Creature ; 1U ; Common ; Jim Nelson ;  Urza's Destiny
35 ; Iridescent Drake ; Creature - Drake 2/2 ; 3U ; Uncommon ; Jim Nelson ;  Urza's Destiny
36 ; Kingfisher ; Creature - Bird 2/2 ; 3U ; Common ; Edward P. Beard, Jr. ;  Urza's Destiny
