1 ; Animate Dead ; Enchant Dead Creature ; 1B ; Uncommon ; Anson Maddocks ;  Unlimited Edition
2 ; Bad Moon ; Enchantment ; 1B ; Rare ; Jesper Myrfors ;  Unlimited Edition
3 ; Black Knight ; Summon Knight 2/2 ; BB ; Uncommon ; Jeff A. Menges ;  Unlimited Edition
4 ; Bog Wraith ; Summon Wraith 3/3 ; 3B ; Uncommon ; Jeff A. Menges ;  Unlimited Edition
5 ; Contract from Below ; Sorcery ; B ; Rare ; Douglas Schuler ;  Unlimited Edition
6 ; Cursed Land ; Enchant Land ; 2BB ; Uncommon ; Jesper Myrfors ;  Unlimited Edition
7 ; Dark Ritual ; Interrupt ; B ; Common ; Sandra Everingham ;  Unlimited Edition
8 ; Darkpact ; Sorcery ; BBB ; Rare ; Quinton Hoover ;  Unlimited Edition
9 ; Deathgrip ; Enchantment ; BB ; Uncommon ; Anson Maddocks ;  Unlimited Edition
10 ; Deathlace ; Interrupt ; B ; Rare ; Sandra Everingham ;  Unlimited Edition
11 ; Demonic Attorney ; Sorcery ; 1BB ; Rare ; Daniel Gelon ;  Unlimited Edition
12 ; Demonic Hordes ; Summon Demons 5/5 ; 3BBB ; Rare ; Jesper Myrfors ;  Unlimited Edition
13 ; Demonic Tutor ; Sorcery ; 1B ; Uncommon ; Douglas Schuler ;  Unlimited Edition
14 ; Drain Life ; Sorcery ; X1B ; Common ; Douglas Schuler ;  Unlimited Edition
15 ; Drudge Skeletons ; Summon Skeletons 1/1 ; 1B ; Common ; Sandra Everingham ;  Unlimited Edition
16 ; Evil Presence ; Enchant Land ; B ; Uncommon ; Sandra Everingham ;  Unlimited Edition
17 ; Fear ; Enchant Creature ; BB ; Common ; Mark Poole ;  Unlimited Edition
18 ; Frozen Shade ; Summon Shade 0/1 ; 2B ; Common ; Douglas Schuler ;  Unlimited Edition
19 ; Gloom ; Enchantment ; 2B ; Uncommon ; Dan Frazier ;  Unlimited Edition
20 ; Howl from Beyond ; Instant ; XB ; Common ; Mark Poole ;  Unlimited Edition
21 ; Hypnotic Specter ; Summon Specter 2/2 ; 1BB ; Uncommon ; Douglas Schuler ;  Unlimited Edition
22 ; Lich ; Enchantment ; BBBB ; Rare ; Daniel Gelon ;  Unlimited Edition
23 ; Lord of the Pit ; Summon Demon 7/7 ; 4BBB ; Rare ; Mark Tedin ;  Unlimited Edition
24 ; Mind Twist ; Sorcery ; XB ; Rare ; Julie Baroh ;  Unlimited Edition
25 ; Nether Shadow ; Summon Shadow 1/1 ; BB ; Rare ; Christopher Rush ;  Unlimited Edition
26 ; Nettling Imp ; Summon Imp 1/1 ; 2B ; Uncommon ; Quinton Hoover ;  Unlimited Edition
