1 ; Absolute Grace ; Enchantment ; 1W ; Uncommon ; Jeff Miracola ;  Urza's Saga
2 ; Absolute Law ; Enchantment ; 1W ; Uncommon ; Mark Zug ;  Urza's Saga
3 ; Angelic Chorus ; Enchantment ; 3WW ; Rare ; Ron Spencer ;  Urza's Saga
4 ; Angelic Page ; Summon Spirit 1/1 ; 1W ; Common ; Rebecca Guay ;  Urza's Saga
5 ; Brilliant Halo ; Enchant Creature ; 1W ; Common ; Randy Gallegos ;  Urza's Saga
6 ; Catastrophe ; Sorcery ; 4WW ; Rare ; Andrew Robinson ;  Urza's Saga
7 ; Clear ; Instant ; 1W ; Uncommon ; Andrew Robinson ;  Urza's Saga
8 ; Congregate ; Instant ; 3W ; Common ; Mark Zug ;  Urza's Saga
9 ; Defensive Formation ; Enchantment ; W ; Uncommon ; Greg Staples ;  Urza's Saga
10 ; Disciple of Grace ; Summon Cleric 1/2 ; 1W ; Common ; Robh Ruppel ;  Urza's Saga
11 ; Disciple of Law ; Summon Cleric 1/2 ; 1W ; Common ; Matthew Wilson ;  Urza's Saga
12 ; Disenchant ; Instant ; 1W ; Common ; Donato Giancola ;  Urza's Saga
13 ; Elite Archers ; Summon Soldiers 3/3 ; 5W ; Rare ; Greg Staples ;  Urza's Saga
14 ; Faith Healer ; Summon Cleric 1/1 ; 1W ; Rare ; Randy Gallegos ;  Urza's Saga
15 ; Glorious Anthem ; Enchantment ; 1WW ; Rare ; Kev Walker ;  Urza's Saga
16 ; Healing Salve ; Instant ; W ; Common ; Heather Hudson ;  Urza's Saga
17 ; Herald of Serra ; Summon Angel 3/4 ; 2WW ; Rare ; Matthew Wilson ;  Urza's Saga
18 ; Humble ; Instant ; 1W ; Uncommon ; Val Mayerik ;  Urza's Saga
19 ; Intrepid Hero ; Summon Soldier 1/1 ; 2W ; Rare ; Brian Snoddy ;  Urza's Saga
20 ; Monk Idealist ; Summon Cleric 2/2 ; 2W ; Uncommon ; Daren Bader ;  Urza's Saga
21 ; Monk Realist ; Summon Cleric 1/1 ; 1W ; Common ; Daren Bader ;  Urza's Saga
22 ; Opal Acrolith ; Enchantment ; 2W ; Uncommon ; Robh Ruppel ;  Urza's Saga
23 ; Opal Archangel ; Enchantment ; 4W ; Rare ; Jeff Miracola ;  Urza's Saga
24 ; Opal Caryatid ; Enchantment ; W ; Common ; Berry ;  Urza's Saga
25 ; Opal Gargoyle ; Enchantment ; 1W ; Common ; Kev Walker ;  Urza's Saga
26 ; Opal Titan ; Enchantment ; 2WW ; Rare ; Paolo Parente ;  Urza's Saga
27 ; Pacifism ; Enchant Creature ; 1W ; Common ; Randy Gallegos ;  Urza's Saga
28 ; Pariah ; Enchant Creature ; 2W ; Rare ; Jon J Muth ;  Urza's Saga
29 ; Path of Peace ; Sorcery ; 3W ; Common ; Val Mayerik ;  Urza's Saga
30 ; Pegasus Charger ; Summon Pegasus 2/1 ; 2W ; Common ; Val Mayerik ;  Urza's Saga
31 ; Planar Birth ; Sorcery ; 1W ; Rare ; Adam Rex ;  Urza's Saga
32 ; Presence of the Master ; Enchantment ; 3W ; Uncommon ; Ciruelo ;  Urza's Saga
33 ; Redeem ; Instant ; 1W ; Uncommon ; D. Alexander Gregory ;  Urza's Saga
34 ; Remembrance ; Enchantment ; 3W ; Rare ; Val Mayerik ;  Urza's Saga
35 ; Rune of Protection: Artifacts ; Enchantment ; 1W ; Uncommon ; Scott M. Fischer ;  Urza's Saga
36 ; Rune of Protection: Black ; Enchantment ; 1W ; Common ; Scott M. Fischer ;  Urza's Saga
37 ; Rune of Protection: Blue ; Enchantment ; 1W ; Common ; Scott M. Fischer ;  Urza's Saga
38 ; Rune of Protection: Green ; Enchantment ; 1W ; Common ; Scott M. Fischer ;  Urza's Saga
39 ; Rune of Protection: Lands ; Enchantment ; 1W ; Rare ; Scott M. Fischer ;  Urza's Saga
40 ; Rune of Protection: Red ; Enchantment ; 1W ; Common ; Scott M. Fischer ;  Urza's Saga
41 ; Rune of Protection: White ; Enchantment ; 1W ; Common ; Scott M. Fischer ;  Urza's Saga
42 ; Sanctum Custodian ; Summon Cleric 1/2 ; 2W ; Common ; Paolo Parente ;  Urza's Saga
43 ; Sanctum Guardian ; Summon Soldier 1/4 ; 1WW ; Uncommon ; Donato Giancola ;  Urza's Saga
44 ; Seasoned Marshal ; Summon Soldier 2/2 ; 2WW ; Uncommon ; Matthew Wilson ;  Urza's Saga
45 ; Serra Avatar ; Summon Avatar */* ; 4WWW ; Rare ; Dermot Power ;  Urza's Saga
46 ; Serra Zealot ; Summon Soldier 1/1 ; W ; Common ; DiTerlizzi ;  Urza's Saga
47 ; Serra's Embrace ; Enchant Creature ; 2WW ; Uncommon ; Terese Nielsen ;  Urza's Saga
48 ; Serra's Hymn ; Enchantment ; W ; Uncommon ; Rebecca Guay ;  Urza's Saga
49 ; Serra's Liturgy ; Enchantment ; 2WW ; Rare ; rk post ;  Urza's Saga
50 ; Shimmering Barrier ; Summon Wall 1/3 ; 1W ; Uncommon ; D. Alexander Gregory ;  Urza's Saga
51 ; Silent Attendant ; Summon Cleric 0/2 ; 2W ; Common ; Rebecca Guay ;  Urza's Saga
52 ; Songstitcher ; Summon Cleric 1/1 ; W ; Uncommon ; Berry ;  Urza's Saga
53 ; Soul Sculptor ; Summon Townsfolk 1/1 ; 2W ; Rare ; Ciruelo ;  Urza's Saga
54 ; Voice of Grace ; Summon Angel 2/2 ; 3W ; Uncommon ; Jeff Miracola ;  Urza's Saga
55 ; Voice of Law ; Summon Angel 2/2 ; 3W ; Uncommon ; Mark Zug ;  Urza's Saga
56 ; Waylay ; Instant ; 2W ; Uncommon ; Greg Staples ;  Urza's Saga
57 ; Worship ; Enchantment ; 3W ; Rare ; Mark Zug ;  Urza's Saga
58 ; Academy Researchers ; Summon Wizards 2/2 ; 1UU ; Uncommon ; Stephen Daniele ;  Urza's Saga
59 ; Annul ; Interrupt ; U ; Common ; Greg Simanson ;  Urza's Saga
60 ; Arcane Laboratory ; Enchantment ; 2U ; Uncommon ; Stephen Daniele ;  Urza's Saga
61 ; Attunement ; Enchantment ; 2U ; Rare ; Randy Gallegos ;  Urza's Saga
62 ; Back to Basics ; Enchantment ; 2U ; Rare ; Andrew Robinson ;  Urza's Saga
63 ; Barrin, Master Wizard ; Summon Legend 1/1 ; 1UU ; Rare ; Michael Sutfin ;  Urza's Saga
64 ; Catalog ; Instant ; 2U ; Common ; Berry ;  Urza's Saga
65 ; Cloak of Mists ; Enchant Creature ; 1U ; Common ; John Matson ;  Urza's Saga
66 ; Confiscate ; Enchant Permanent ; 4UU ; Uncommon ; Adam Rex ;  Urza's Saga
67 ; Coral Merfolk ; Summon Merfolk 2/1 ; 1U ; Common ; rk post ;  Urza's Saga
68 ; Curfew ; Instant ; U ; Common ; Randy Gallegos ;  Urza's Saga
69 ; Disruptive Student ; Summon Wizard 1/1 ; 2U ; Common ; Randy Gallegos ;  Urza's Saga
70 ; Douse ; Enchantment ; 2U ; Uncommon ; Val Mayerik ;  Urza's Saga
71 ; Drifting Djinn ; Summon Djinn 5/5 ; 4UU ; Rare ; Carl Critchlow ;  Urza's Saga
72 ; Enchantment Alteration ; Instant ; U ; Uncommon ; D. Alexander Gregory ;  Urza's Saga
73 ; Energy Field ; Enchantment ; 1U ; Rare ; John Matson ;  Urza's Saga
74 ; Exhaustion ; Sorcery ; 2U ; Uncommon ; Paolo Parente ;  Urza's Saga
75 ; Fog Bank ; Summon Wall 0/2 ; 1U ; Uncommon ; Scott Kirschner ;  Urza's Saga
76 ; Gilded Drake ; Summon Drake 3/3 ; 1U ; Rare ; Bob Eggleton ;  Urza's Saga
77 ; Great Whale ; Summon Whale 5/5 ; 5UU ; Rare ; Bob Eggleton ;  Urza's Saga
78 ; Hermetic Study ; Enchant Creature ; 1U ; Common ; Ron Spencer ;  Urza's Saga
79 ; Hibernation ; Instant ; 2U ; Uncommon ; Scott Kirschner ;  Urza's Saga
80 ; Horseshoe Crab ; Summon Crab 1/3 ; 2U ; Common ; Scott Kirschner ;  Urza's Saga
81 ; Imaginary Pet ; Summon Illusion 4/4 ; 1U ; Rare ; Heather Hudson ;  Urza's Saga
82 ; Launch ; Enchant Creature ; 1U ; Common ; Val Mayerik ;  Urza's Saga
83 ; Lilting Refrain ; Enchantment ; 1U ; Uncommon ; Berry ;  Urza's Saga
84 ; Lingering Mirage ; Enchant Land ; 1U ; Uncommon ; Jerry Tiritilli ;  Urza's Saga
85 ; Morphling ; Summon Shapeshifter 3/3 ; 3UU ; Rare ; rk post ;  Urza's Saga
86 ; Pendrell Drake ; Summon Drake 2/3 ; 3U ; Common ; Jeff Miracola ;  Urza's Saga
87 ; Pendrell Flux ; Enchant Creature ; 1U ; Common ; Andrew Robinson ;  Urza's Saga
88 ; Peregrine Drake ; Summon Drake 2/3 ; 4U ; Uncommon ; Bob Eggleton ;  Urza's Saga
89 ; Power Sink ; Interrupt ; XU ; Common ; Andrew Robinson ;  Urza's Saga
90 ; Power Taint ; Enchant Enchantment ; 1U ; Common ; Brian Snoddy ;  Urza's Saga
91 ; Recantation ; Enchantment ; 3UU ; Rare ; Greg Simanson ;  Urza's Saga
92 ; Rescind ; Instant ; 1UU ; Common ; Adam Rex ;  Urza's Saga
93 ; Rewind ; Interrupt ; 2UU ; Common ; Dermot Power ;  Urza's Saga
94 ; Sandbar Merfolk ; Summon Merfolk 1/1 ; U ; Common ; rk post ;  Urza's Saga
95 ; Sandbar Serpent ; Summon Serpent 3/4 ; 4U ; Uncommon ; Jim Nelson ;  Urza's Saga
96 ; Show and Tell ; Sorcery ; 2U ; Rare ; Jeff Laubenstein ;  Urza's Saga
97 ; Somnophore ; Summon Illusion 2/2 ; 2UU ; Rare ; Andrew Robinson ;  Urza's Saga
98 ; Spire Owl ; Summon Bird 1/1 ; 1U ; Common ; Steve Firchow ;  Urza's Saga
99 ; Stern Proctor ; Summon Wizard 1/2 ; UU ; Uncommon ; Randy Gallegos ;  Urza's Saga
100 ; Stroke of Genius ; Instant ; X2U ; Rare ; Stephen Daniele ;  Urza's Saga
101 ; Sunder ; Instant ; 3UU ; Rare ; Stephen Daniele ;  Urza's Saga
