1 ; Armament Master ; Creature - Kor Soldier 2/2 ; WW ; Rare ; Steven Belledin ;  Zendikar
2 ; Arrow Volley Trap ; Instant - Trap ; 3WW ; Uncommon ; Steve Argyle ;  Zendikar
3 ; Bold Defense ; Instant ; 2W ; Common ; Scott Chou ;  Zendikar
4 ; Brave the Elements ; Instant ; W ; Uncommon ; Goran Josic ;  Zendikar
5 ; Caravan Hurda ; Creature - Giant 1/5 ; 4W ; Common ; Dave Kendall ;  Zendikar
6 ; Celestial Mantle ; Enchantment - Aura ; 3WWW ; Rare ; Steve Argyle ;  Zendikar
7 ; Cliff Threader ; Creature - Kor Scout 2/1 ; 1W ; Common ; Paul Bonner ;  Zendikar
8 ; Conqueror's Pledge ; Sorcery ; 2WWW ; Rare ; Kev Walker ;  Zendikar
9 ; Day of Judgment ; Sorcery ; 2WW ; Rare ; Vincent Proce ;  Zendikar
10 ; Devout Lightcaster ; Creature - Kor Cleric 2/2 ; WWW ; Rare ; Shelly Wan ;  Zendikar
11 ; Emeria Angel ; Creature - Angel 3/3 ; 2WW ; Rare ; Jim Murray ;  Zendikar
12 ; Felidar Sovereign ; Creature - Cat Beast 4/6 ; 4WW ; Mythic Rare ; Zoltan Boros & Gabor Szikszai ;  Zendikar
13 ; Iona, Shield of Emeria ; Legendary Creature - Angel 7/7 ; 6WWW ; Mythic Rare ; Jason Chan ;  Zendikar
14 ; Journey to Nowhere ; Enchantment ; 1W ; Common ; Warren Mahy ;  Zendikar
15 ; Kabira Evangel ; Creature - Human Cleric Ally 2/3 ; 2W ; Rare ; Eric Deschamps ;  Zendikar
16 ; Kazandu Blademaster ; Creature - Human Soldier Ally 1/1 ; WW ; Uncommon ; Michael Komarck ;  Zendikar
17 ; Kor Aeronaut ; Creature - Kor Soldier 2/2 ; WW ; Uncommon ; Karl Kopinski ;  Zendikar
18 ; Kor Cartographer ; Creature - Kor Scout 2/2 ; 3W ; Common ; Ryan Pancoast ;  Zendikar
19 ; Kor Duelist ; Creature - Kor Soldier 1/1 ; W ; Uncommon ; Izzy ;  Zendikar
20 ; Kor Hookmaster ; Creature - Kor Soldier 2/2 ; 2W ; Common ; Wayne Reynolds ;  Zendikar
21 ; Kor Outfitter ; Creature - Kor Soldier 2/2 ; WW ; Common ; Kieran Yanner ;  Zendikar
22 ; Kor Sanctifiers ; Creature - Kor Cleric 2/3 ; 2W ; Common ; Dan Scott ;  Zendikar
23 ; Kor Skyfisher ; Creature - Kor Soldier 2/3 ; 1W ; Common ; Dan Scott ;  Zendikar
24 ; Landbind Ritual ; Sorcery ; 3WW ; Uncommon ; Steve Prescott ;  Zendikar
25 ; Luminarch Ascension ; Enchantment ; 1W ; Rare ; Michael Komarck ;  Zendikar
26 ; Makindi Shieldmate ; Creature - Kor Soldier Ally 0/3 ; 2W ; Common ; Howard Lyon ;  Zendikar
27 ; Narrow Escape ; Instant ; 2W ; Common ; Karl Kopinski ;  Zendikar
28 ; Nimbus Wings ; Enchantment - Aura ; 1W ; Common ; Chris Rahn ;  Zendikar
29 ; Noble Vestige ; Creature - Spirit 1/2 ; 2W ; Common ; Jason Chan ;  Zendikar
30 ; Ondu Cleric ; Creature - Kor Cleric Ally 1/1 ; 1W ; Common ; Jim Murray ;  Zendikar
31 ; Pillarfield Ox ; Creature - Ox 2/4 ; 3W ; Common ; Andrew Robinson ;  Zendikar
32 ; Pitfall Trap ; Instant - Trap ; 2W ; Uncommon ; Franz Vohwinkel ;  Zendikar
33 ; Quest for the Holy Relic ; Enchantment ; W ; Uncommon ; Greg Staples ;  Zendikar
34 ; Shepherd of the Lost ; Creature - Angel 3/3 ; 4W ; Uncommon ; Kekai Kotaki ;  Zendikar
35 ; Shieldmate's Blessing ; Instant ; W ; Common ; Mike Bierek ;  Zendikar
36 ; Steppe Lynx ; Creature - Cat 0/1 ; W ; Common ; Nic Klein ;  Zendikar
37 ; Sunspring Expedition ; Enchantment ; W ; Common ; Chris J. Anderson ;  Zendikar
38 ; Windborne Charge ; Sorcery ; 2WW ; Uncommon ; Ryan Pancoast ;  Zendikar
39 ; World Queller ; Creature - Avatar 4/4 ; 3WW ; Rare ; James Paick ;  Zendikar
40 ; Ather Figment ; Creature - Illusion 1/1 ; 1U ; Uncommon ; Thomas M. Baxa ;  Zendikar
41 ; Archive Trap ; Instant - Trap ; 3UU ; Rare ; Jason Felix ;  Zendikar
42 ; Archmage Ascension ; Enchantment ; 2U ; Rare ; Christopher Moeller ;  Zendikar
43 ; Caller of Gales ; Creature - Merfolk Wizard 1/1 ; U ; Common ; Alex Horley-Orlandelli ;  Zendikar
44 ; Cancel ; Instant ; 1UU ; Common ; Scott Chou ;  Zendikar
45 ; Cosi's Trickster ; Creature - Merfolk Wizard 1/1 ; U ; Rare ; Igor Kieryluk ;  Zendikar
46 ; Gomazoa ; Creature - Jellyfish 0/3 ; 2U ; Uncommon ; Chippy ;  Zendikar
47 ; Hedron Crab ; Creature - Crab 0/2 ; U ; Uncommon ; Jesper Ejsing ;  Zendikar
48 ; Into the Roil ; Instant ; 1U ; Common ; Kieran Yanner ;  Zendikar
49 ; Ior Ruin Expedition ; Enchantment ; 1U ; Common ; Chris Rahn ;  Zendikar
50 ; Kraken Hatchling ; Creature - Kraken 0/4 ; U ; Common ; Jason Felix ;  Zendikar
51 ; Lethargy Trap ; Instant - Trap ; 3U ; Common ; Anthony Francisco ;  Zendikar
52 ; Living Tsunami ; Creature - Elemental 4/4 ; 2UU ; Uncommon ; Matt Cavotta ;  Zendikar
53 ; Lorthos, the Tidemaker ; Legendary Creature - Octopus 8/8 ; 5UUU ; Mythic Rare ; Kekai Kotaki ;  Zendikar
54 ; Lullmage Mentor ; Creature - Merfolk Wizard 2/2 ; 1UU ; Rare ; Jaime Jones ;  Zendikar
